PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,18.515
210.609,-156.097,18.723
212.642,-156.097,18.987
214.675,-156.097,18.996
216.708,-156.097,19.036
218.741,-156.097,19.192
220.774,-156.097,19.353
222.807,-156.097,19.445
224.841,-156.097,19.597
226.874,-156.097,19.562
228.907,-156.097,19.593
230.940,-156.097,19.619
232.973,-156.097,19.778
235.006,-156.097,19.718
237.039,-156.097,19.793
239.072,-156.097,19.698
241.105,-156.097,19.951
243.138,-156.097,20.020
245.171,-156.097,19.970
247.204,-156.097,23.087
249.237,-156.097,23.153
251.271,-156.097,23.255
253.304,-156.097,23.293
255.337,-156.097,21.053
257.370,-156.097,19.912
259.403,-156.097,19.808
261.436,-156.097,20.365
263.469,-156.097,19.786
265.502,-156.097,20.121
267.535,-156.097,20.046
269.568,-156.097,19.720
271.601,-156.097,19.554
273.634,-156.097,19.660
275.667,-156.097,19.556
277.700,-156.097,19.661
279.734,-156.097,19.758
281.767,-156.097,19.849
283.800,-156.097,19.770
285.833,-156.097,19.813
287.866,-156.097,19.796
289.899,-156.097,19.898
291.932,-156.097,20.047
293.965,-156.097,20.041
295.998,-156.097,20.123
298.031,-156.097,20.048
300.064,-156.097,20.574
302.097,-156.097,20.674
304.130,-156.097,20.697
306.164,-156.097,21.527
308.197,-156.097,23.572
310.230,-156.097,23.514
312.263,-156.097,23.364
314.296,-156.097,23.331
316.329,-156.097,23.157
318.362,-156.097,23.060
208.576,-154.071,18.875
210.609,-154.071,19.257
212.642,-154.071,19.325
214.675,-154.071,19.525
216.708,-154.071,19.713
218.741,-154.071,19.734
220.774,-154.071,19.824
222.807,-154.071,19.882
224.841,-154.071,20.005
226.874,-154.071,19.981
228.907,-154.071,20.063
230.940,-154.071,23.228
232.973,-154.071,23.189
235.006,-154.071,23.479
237.039,-154.071,20.773
239.072,-154.071,19.776
241.105,-154.071,19.447
243.138,-154.071,19.610
245.171,-154.071,19.449
247.204,-154.071,19.256
249.237,-154.071,20.315
251.271,-154.071,19.940
253.304,-154.071,20.843
255.337,-154.071,23.497
257.370,-154.071,23.371
259.403,-154.071,23.449
261.436,-154.071,23.447
263.469,-154.071,23.533
265.502,-154.071,23.544
267.535,-154.071,23.550
269.568,-154.071,23.603
271.601,-154.071,23.653
273.634,-154.071,23.689
275.667,-154.071,23.792
277.700,-154.071,23.750
279.734,-154.071,23.829
281.767,-154.071,23.906
283.800,-154.071,23.990
285.833,-154.071,23.994
287.866,-154.071,24.035
289.899,-154.071,24.098
291.932,-154.071,24.018
293.965,-154.071,23.969
295.998,-154.071,23.980
298.031,-154.071,24.044
300.064,-154.071,23.955
302.097,-154.071,23.920
304.130,-154.071,23.858
306.164,-154.071,23.856
308.197,-154.071,23.691
310.230,-154.071,23.670
312.263,-154.071,23.542
314.296,-154.071,23.483
316.329,-154.071,23.256
318.362,-154.071,23.100
208.576,-152.046,18.916
210.609,-152.046,19.217
212.642,-152.046,19.391
214.675,-152.046,19.526
216.708,-152.046,19.503
218.741,-152.046,19.704
220.774,-152.046,19.766
222.807,-152.046,19.825
224.841,-152.046,19.894
226.874,-152.046,19.433
228.907,-152.046,23.034
230.940,-152.046,19.919
232.973,-152.046,19.673
235.006,-152.046,19.589
237.039,-152.046,19.770
239.072,-152.046,19.845
241.105,-152.046,19.740
243.138,-152.046,22.942
245.171,-152.046,23.353
247.204,-152.046,20.457
249.237,-152.046,21.037
251.271,-152.046,23.403
253.304,-152.046,23.431
255.337,-152.046,23.451
257.370,-152.046,23.494
259.403,-152.046,23.502
261.436,-152.046,23.540
263.469,-152.046,23.579
265.502,-152.046,23.696
267.535,-152.046,23.752
269.568,-152.046,23.745
271.601,-152.046,23.793
273.634,-152.046,23.841
275.667,-152.046,23.916
277.700,-152.046,23.984
279.734,-152.046,24.023
281.767,-152.046,24.071
283.800,-152.046,24.199
285.833,-152.046,24.225
287.866,-152.046,24.233
289.899,-152.046,24.189
291.932,-152.046,21.072
293.965,-152.046,20.843
295.998,-152.046,20.829
298.031,-152.046,21.046
300.064,-152.046,22.806
302.097,-152.046,24.226
304.130,-152.046,24.163
306.164,-152.046,24.001
308.197,-152.046,23.960
310.230,-152.046,23.776
312.263,-152.046,23.815
314.296,-152.046,23.606
316.329,-152.046,21.643
318.362,-152.046,20.267
208.576,-150.021,18.919
210.609,-150.021,19.023
212.642,-150.021,19.363
214.675,-150.021,19.599
216.708,-150.021,19.613
218.741,-150.021,19.659
220.774,-150.021,19.857
222.807,-150.021,22.663
224.841,-150.021,23.159
226.874,-150.021,22.366
228.907,-150.021,19.496
230.940,-150.021,19.609
232.973,-150.021,19.846
235.006,-150.021,19.790
237.039,-150.021,19.954
239.072,-150.021,19.761
241.105,-150.021,19.572
243.138,-150.021,19.531
245.171,-150.021,19.315
247.204,-150.021,19.301
249.237,-150.021,19.366
251.271,-150.021,19.419
253.304,-150.021,19.558
255.337,-150.021,23.499
257.370,-150.021,23.531
259.403,-150.021,23.526
261.436,-150.021,23.639
263.469,-150.021,23.706
265.502,-150.021,23.707
267.535,-150.021,23.848
269.568,-150.021,23.856
271.601,-150.021,23.981
273.634,-150.021,23.994
275.667,-150.021,24.089
277.700,-150.021,24.076
279.734,-150.021,24.252
281.767,-150.021,24.263
283.800,-150.021,24.295
285.833,-150.021,24.368
287.866,-150.021,24.401
289.899,-150.021,24.438
291.932,-150.021,24.452
293.965,-150.021,24.454
295.998,-150.021,24.441
298.031,-150.021,24.393
300.064,-150.021,24.430
302.097,-150.021,24.334
304.130,-150.021,24.318
306.164,-150.021,24.246
308.197,-150.021,24.107
310.230,-150.021,23.946
312.263,-150.021,23.919
314.296,-150.021,23.814
316.329,-150.021,23.659
318.362,-150.021,23.576
208.576,-147.996,18.864
210.609,-147.996,19.273
212.642,-147.996,19.385
214.675,-147.996,19.538
216.708,-147.996,19.563
218.741,-147.996,19.712
220.774,-147.996,22.948
222.807,-147.996,23.090
224.841,-147.996,20.572
226.874,-147.996,19.394
228.907,-147.996,19.500
230.940,-147.996,19.454
232.973,-147.996,19.721
235.006,-147.996,19.609
237.039,-147.996,19.975
239.072,-147.996,21.596
241.105,-147.996,23.200
243.138,-147.996,19.297
245.171,-147.996,19.445
247.204,-147.996,21.529
249.237,-147.996,23.460
251.271,-147.996,23.539
253.304,-147.996,23.509
255.337,-147.996,23.557
257.370,-147.996,23.457
259.403,-147.996,23.584
