PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
208.576,-156.097,-27.998,-29.526,-27.240,-29.527,-26.857,-22.376,-25.284,-30.186,-38.197,-35.839,-31.840,-26.455,-28.908,-31.826,-32.716,-26.476,-37.961,-27.045,-23.363,-27.591,-38.480,-38.219,-31.776,-29.316,-33.061,-37.658,-41.542,-36.991,-31.441,-32.302,-27.051,-28.620,-29.471,-30.897,-49.857,-40.078,-27.377,-24.330,-29.677,-33.767,-35.526,-31.734,-30.152,-35.277,-25.461,-23.309,-31.693,-34.734,-29.102,-27.863,-4.656,11.050,14.604,6.851,-16.098,-41.487,-32.065,-35.277,-30.207,-28.161,-32.930,-31.807,-34.876,-36.391,-39.545,-35.910,-29.250,-22.449,-22.977,-26.233,-31.492,-35.581,-29.811,-25.542,-24.366,-24.755,-24.865,-26.175,-31.259,-39.328,-29.128,-26.689,-39.581,-29.441,-26.185,-37.258,-28.613,-26.364,-30.073,-29.800,-27.282,-34.832,-29.281,-25.431,-26.060,-24.773,-25.639,-28.178,-40.123,-34.239,-47.769
210.609,-156.097,-28.258,-26.612,-28.619,-30.885,-28.919,-31.480,-24.375,-26.413,-47.651,-25.570,-23.250,-27.765,-39.187,-26.733,-28.812,-38.422,-29.527,-29.303,-25.559,-27.161,-45.148,-32.847,-41.231,-30.260,-28.443,-31.112,-30.244,-28.542,-30.525,-25.999,-29.923,-34.421,-30.440,-32.683,-28.456,-27.266,-26.739,-30.039,-29.933,-29.165,-30.608,-38.535,-31.615,-33.991,-29.575,-25.741,-23.218,-24.057,-26.567,-29.076,-3.938,11.286,14.718,6.946,-16.475,-37.923,-32.879,-27.728,-32.821,-38.570,-32.407,-26.945,-31.123,-34.006,-29.683,-30.369,-29.967,-27.506,-29.719,-29.856,-27.120,-25.688,-30.408,-38.444,-30.422,-29.368,-29.699,-27.756,-23.118,-21.822,-25.087,-34.521,-35.156,-27.215,-22.443,-20.364,-21.082,-22.791,-24.817,-28.526,-34.255,-33.272,-28.834,-33.806,-48.742,-36.619,-31.152,-28.125,-30.198,-40.654,-29.733
212.642,-156.097,-34.752,-28.675,-25.208,-28.845,-34.352,-43.651,-29.837,-23.710,-28.631,-34.402,-28.693,-26.884,-29.753,-37.225,-36.992,-28.827,-24.454,-25.378,-24.747,-28.550,-40.727,-28.588,-27.796,-25.401,-23.483,-24.333,-26.405,-34.287,-29.621,-33.176,-34.334,-26.377,-29.966,-31.528,-32.214,-28.938,-30.846,-31.895,-27.165,-25.127,-27.653,-27.003,-35.361,-31.654,-34.902,-29.726,-32.202,-47.650,-35.821,-29.885,-3.708,11.603,15.044,7.355,-13.603,-36.709,-30.585,-30.689,-27.871,-29.202,-38.182,-34.157,-30.058,-28.381,-35.551,-26.488,-22.856,-44.652,-24.848,-23.566,-37.847,-30.568,-38.571,-29.853,-26.383,-25.434,-27.688,-29.663,-38.346,-34.363,-43.743,-35.831,-29.025,-32.738,-49.298,-34.564,-27.621,-28.320,-31.353,-33.856,-33.249,-34.738,-27.751,-26.091,-30.694,-31.847,-38.779,-27.892,-30.170,-33.694,-32.136
214.675,-156.097,-30.132,-26.926,-33.509,-29.859,-24.733,-25.261,-27.960,-30.027,-31.855,-30.650,-33.691,-27.323,-23.168,-24.444,-26.096,-30.923,-38.930,-45.510,-31.296,-26.947,-38.799,-31.128,-26.645,-33.266,-24.491,-22.854,-29.038,-32.512,-34.729,-31.190,-34.883,-30.399,-29.851,-32.364,-33.689,-22.952,-21.104,-23.757,-25.834,-35.401,-53.606,-48.110,-29.346,-28.475,-30.240,-26.795,-26.171,-27.001,-27.368,-27.900,-4.480,11.527,15.057,7.205,-18.256,-34.220,-31.818,-32.918,-29.494,-31.767,-34.478,-35.646,-31.575,-36.496,-32.885,-37.091,-22.164,-23.893,-31.739,-24.427,-25.878,-29.944,-32.450,-39.600,-40.962,-49.641,-38.753,-40.310,-35.102,-35.196,-28.620,-25.379,-25.642,-25.219,-33.333,-26.603,-28.130,-34.270,-32.714,-25.957,-29.103,-49.612,-39.965,-37.261,-32.502,-31.490,-35.024,-27.965,-30.747,-28.082,-26.305
216.708,-156.097,-29.471,-26.820,-29.736,-30.941,-29.540,-25.804,-28.324,-29.036,-30.810,-35.099,-32.850,-25.185,-35.065,-28.687,-31.980,-35.791,-42.373,-31.276,-26.571,-25.132,-23.504,-27.509,-34.325,-39.313,-31.672,-34.665,-40.898,-33.743,-28.586,-27.602,-37.282,-32.053,-30.435,-37.552,-30.672,-28.209,-29.209,-30.989,-28.579,-31.126,-41.541,-31.206,-33.238,-37.985,-40.620,-33.835,-34.343,-34.153,-27.085,-25.561,-3.731,11.651,15.113,7.240,-15.524,-30.970,-32.995,-43.488,-39.108,-38.060,-40.867,-37.412,-30.938,-28.071,-26.884,-37.370,-40.460,-28.544,-25.139,-48.217,-31.749,-34.218,-31.952,-30.326,-28.889,-37.471,-26.737,-29.597,-32.573,-28.786,-32.903,-27.262,-24.199,-25.861,-32.804,-37.080,-30.248,-25.646,-22.841,-24.669,-33.654,-29.954,-24.643,-30.448,-39.206,-33.964,-31.468,-44.842,-33.713,-26.040,-22.780
218.741,-156.097,-33.946,-35.311,-27.928,-27.053,-29.446,-26.915,-25.253,-28.053,-29.685,-26.336,-28.306,-29.021,-25.390,-27.594,-35.680,-32.046,-28.894,-33.243,-37.414,-35.839,-31.748,-24.446,-25.972,-31.033,-40.544,-25.109,-23.121,-31.105,-27.412,-21.581,-24.785,-32.153,-29.386,-27.066,-33.245,-26.340,-22.605,-29.832,-33.167,-27.237,-29.840,-27.773,-29.428,-33.396,-33.317,-32.180,-35.565,-28.374,-27.005,-27.963,-3.366,11.855,15.302,7.492,-15.480,-26.901,-27.709,-33.283,-43.201,-37.142,-27.459,-30.832,-43.419,-38.967,-35.114,-40.708,-33.713,-31.395,-39.856,-33.254,-27.758,-33.777,-32.422,-28.270,-26.850,-25.173,-24.577,-28.409,-23.809,-25.724,-29.629,-27.461,-28.261,-40.517,-28.933,-25.286,-26.621,-28.784,-28.115,-26.183,-29.771,-34.982,-31.254,-26.407,-23.994,-22.918,-28.937,-32.963,-29.389,-40.833,-30.959
220.774,-156.097,-32.798,-43.644,-33.992,-29.288,-30.208,-30.765,-28.756,-29.289,-30.222,-31.269,-33.840,-34.900,-33.351,-28.934,-35.489,-32.264,-35.241,-33.459,-35.614,-40.022,-31.060,-24.177,-22.525,-24.970,-25.331,-36.868,-25.151,-28.567,-35.315,-30.829,-26.136,-23.484,-24.244,-26.389,-27.824,-29.949,-34.203,-39.759,-37.320,-31.248,-35.301,-41.856,-35.821,-34.724,-31.318,-32.952,-46.654,-25.903,-22.731,-24.604,-3.979,11.869,15.385,7.527,-19.304,-26.203,-25.363,-33.075,-32.373,-24.195,-22.914,-25.719,-32.242,-34.129,-31.589,-27.869,-24.419,-26.514,-36.428,-31.812,-30.620,-38.455,-31.168,-35.610,-36.215,-35.016,-31.854,-28.200,-31.652,-29.246,-38.041,-35.998,-26.167,-26.761,-32.047,-36.466,-30.014,-27.275,-33.135,-47.226,-33.416,-27.605,-28.323,-27.841,-26.934,-24.603,-23.881,-24.810,-31.741,-28.554,-31.617
222.807,-156.097,-33.474,-22.010,-23.872,-37.346,-27.657,-24.742,-23.767,-26.676,-31.067,-30.715,-29.614,-26.630,-31.097,-31.487,-26.107,-39.635,-31.169,-40.182,-38.268,-31.927,-29.411,-35.442,-41.790,-28.523,-25.250,-28.033,-30.956,-31.831,-29.512,-28.190,-40.357,-37.760,-36.617,-24.734,-24.169,-22.932,-23.756,-26.806,-35.274,-36.883,-25.677,-29.561,-33.646,-33.720,-27.596,-24.280,-26.218,-24.837,-24.096,-37.028,-3.165,11.974,15.393,7.605,-14.584,-34.591,-44.122,-33.525,-27.585,-25.709,-31.744,-39.178,-34.780,-27.418,-25.877,-32.110,-32.431,-24.745,-23.543,-29.850,-28.644,-27.106,-30.305,-36.738,-31.759,-29.381,-29.398,-29.881,-34.104,-32.169,-26.623,-33.676,-38.207,-32.803,-30.836,-33.126,-32.153,-27.073,-45.537,-22.116,-22.880,-26.104,-29.390,-28.427,-25.988,-33.157,-34.662,-29.389,-30.942,-35.563,-31.001
224.841,-156.097,-29.886,-37.983,-29.171,-27.225,-30.381,-26.744,-28.043,-28.223,-22.543,-23.662,-32.216,-25.636,-22.846,-32.170,-27.864,-35.480,-29.983,-26.228,-28.079,-31.093,-28.750,-24.928,-24.333,-25.741,-30.885,-29.996,-24.987,-32.398,-37.884,-35.158,-36.822,-27.007,-25.629,-29.242,-32.024,-33.500,-28.591,-30.366,-33.782,-29.124,-32.307,-40.186,-29.163,-27.206,-33.380,-29.783,-27.862,-39.473,-34.642,-36.767,-3.916,11.753,15.269,7.494,-16.754,-24.200,-28.385,-40.325,-31.617,-26.651,-25.146,-32.139,-39.483,-37.570,-26.830,-40.411,-24.925,-23.957,-30.110,-30.988,-28.198,-33.233,-37.100,-34.673,-33.886,-30.691,-33.839,-38.879,-37.927,-29.506,-26.137,-27.210,-33.748,-26.208,-28.730,-34.397,-28.698,-25.178,-24.156,-25.446,-29.310,-30.218,-26.881,-25.389,-28.026,-25.864,-24.999,-22.733,-25.173,-34.205,-26.668
226.874,-156.097,-35.252,-34.945,-31.751,-34.229,-42.976,-37.068,-34.164,-29.198,-25.929,-28.834,-33.001,-28.886,-32.833,-36.443,-29.429,-26.927,-29.450,-35.656,-36.107,-38.495,-36.589,-28.517,-25.839,-24.696,-32.578,-39.297,-33.164,-28.323,-27.279,-26.043,-27.711,-35.156,-30.341,-32.111,-32.525,-27.196,-32.082,-31.250,-27.394,-33.564,-40.202,-35.389,-36.033,-32.384,-37.455,-28.992,-30.353,-29.828,-33.830,-28.250,-3.204,11.763,15.184,7.377,-14.678,-23.264,-26.052,-32.248,-39.066,-34.421,-34.743,-31.896,-38.458,-31.817,-29.266,-25.890,-28.715,-30.008,-37.173,-34.296,-29.097,-32.513,-28.270,-25.503,-24.270,-23.294,-43.831,-29.904,-32.630,-45.774,-27.448,-22.140,-25.743,-30.576,-26.863,-22.015,-20.189,-22.549,-28.258,-31.567,-25.042,-26.493,-30.268,-30.434,-31.692,-29.576,-27.513,-33.755,-23.888,-22.608,-27.327
