PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
208.576,-156.097,-29.250,-32.909,-35.528,-27.146,-23.909,-31.855,-27.486,-33.853,-32.263,-29.654,-33.699,-31.546,-39.545,-27.867,-24.856,-29.164,-37.502,-34.928,-27.330,-33.642,-39.621,-33.941,-30.624,-32.386,-41.147,-29.853,-45.881,-33.890,-33.723,-28.442,-29.667,-35.075,-48.118,-34.558,-33.528,-35.293,-29.931,-27.637,-29.508,-28.038,-23.471,-28.505,-30.324,-23.919,-25.597,-33.559,-29.925,-31.686,-39.753,-28.860,3.286,18.662,22.110,14.211,-11.555,-29.415,-42.409,-32.761,-34.620,-33.380,-28.355,-23.675,-27.794,-33.960,-31.490,-28.851,-26.208,-25.120,-27.796,-33.426,-36.514,-24.585,-23.132,-28.132,-31.789,-29.997,-28.189,-29.760,-31.751,-26.722,-23.227,-26.953,-40.268,-36.139,-45.248,-33.859,-28.661,-32.638,-37.610,-29.593,-24.878,-28.916,-35.082,-27.682,-24.756,-26.756,-26.398,-24.888,-34.029,-33.280,-41.948
210.609,-156.097,-24.456,-28.725,-27.552,-31.535,-37.610,-29.447,-28.118,-27.099,-24.584,-31.533,-34.487,-36.294,-44.040,-40.562,-34.426,-27.459,-25.030,-30.178,-31.029,-27.142,-31.653,-30.687,-38.051,-28.949,-34.525,-28.447,-26.768,-41.318,-33.709,-28.244,-25.003,-30.821,-35.922,-30.379,-29.947,-30.080,-32.990,-30.667,-34.196,-42.582,-33.909,-28.370,-34.219,-42.702,-28.417,-29.591,-32.373,-22.963,-21.432,-26.939,3.210,18.736,22.202,14.424,-8.324,-25.922,-23.160,-25.047,-32.557,-29.254,-30.370,-31.344,-26.092,-24.587,-33.520,-28.298,-24.658,-25.731,-31.690,-43.911,-30.364,-31.654,-41.343,-36.690,-34.074,-29.826,-31.466,-34.599,-40.569,-35.493,-31.263,-30.446,-32.497,-31.017,-28.231,-30.589,-40.531,-30.326,-38.208,-31.700,-33.104,-28.531,-30.359,-40.030,-31.481,-26.880,-31.752,-32.178,-27.759,-29.261,-30.717
212.642,-156.097,-32.099,-39.948,-31.771,-28.018,-29.829,-27.858,-29.256,-30.110,-27.363,-27.299,-23.370,-21.995,-24.406,-27.283,-27.632,-26.541,-28.111,-36.866,-38.150,-31.937,-35.133,-31.082,-33.533,-36.973,-39.834,-30.988,-29.217,-26.982,-30.729,-39.996,-32.389,-22.670,-20.163,-24.671,-30.663,-26.478,-27.055,-26.250,-35.164,-39.529,-40.141,-31.606,-29.746,-37.263,-27.927,-26.089,-24.581,-26.608,-33.172,-30.069,3.484,18.926,22.367,14.555,-7.527,-27.941,-29.792,-30.744,-26.134,-29.759,-34.612,-26.483,-27.468,-29.703,-35.386,-39.301,-35.098,-27.200,-30.126,-35.196,-26.560,-31.944,-28.868,-25.714,-36.069,-35.988,-25.009,-23.304,-22.583,-23.797,-34.163,-29.262,-26.966,-25.392,-26.212,-27.361,-24.606,-30.664,-27.608,-23.731,-25.175,-34.146,-31.950,-29.748,-36.790,-44.434,-28.221,-24.462,-25.473,-26.840,-31.979
214.675,-156.097,-34.571,-29.355,-27.636,-32.930,-40.657,-36.564,-28.715,-33.071,-30.437,-24.429,-27.284,-29.689,-32.037,-33.719,-51.552,-40.923,-31.239,-36.421,-33.283,-32.621,-37.398,-31.637,-32.823,-33.824,-27.953,-26.260,-24.810,-21.409,-23.723,-32.479,-33.478,-33.700,-34.355,-46.569,-41.663,-31.726,-25.984,-28.537,-26.615,-23.355,-24.783,-29.323,-33.352,-31.270,-33.267,-32.925,-35.041,-44.898,-35.868,-35.178,3.245,18.965,22.448,14.664,-6.744,-23.585,-22.502,-25.286,-33.247,-31.187,-35.608,-31.231,-26.127,-27.862,-34.199,-28.761,-28.077,-23.744,-22.134,-22.878,-25.794,-28.838,-29.489,-31.371,-28.520,-27.739,-28.908,-32.982,-42.243,-39.041,-35.070,-32.776,-31.789,-28.377,-30.302,-32.066,-33.227,-33.846,-33.099,-33.503,-38.320,-32.750,-29.139,-34.965,-36.946,-36.438,-27.310,-22.742,-23.493,-26.925,-39.465
216.708,-156.097,-28.195,-25.930,-31.536,-42.745,-38.565,-46.512,-34.588,-31.063,-26.477,-28.076,-33.064,-38.910,-41.640,-29.258,-22.059,-21.236,-22.625,-25.749,-24.881,-26.948,-34.281,-26.924,-32.536,-35.062,-35.816,-30.321,-25.420,-26.772,-32.080,-27.609,-30.000,-31.256,-36.168,-29.784,-26.798,-28.070,-31.258,-31.431,-27.877,-30.187,-33.712,-32.815,-30.886,-27.103,-28.815,-24.220,-27.832,-33.464,-34.885,-30.344,3.457,19.033,22.520,14.721,-9.194,-30.015,-31.335,-30.481,-31.134,-32.361,-34.094,-30.198,-31.055,-29.297,-28.561,-27.213,-31.517,-35.194,-31.316,-41.391,-33.392,-26.882,-26.052,-33.311,-37.887,-27.388,-28.894,-38.549,-31.924,-34.572,-34.951,-36.956,-40.479,-32.949,-37.777,-28.005,-25.939,-26.255,-27.550,-28.744,-27.005,-42.742,-24.177,-25.899,-35.379,-28.265,-26.455,-27.450,-28.516,-25.933,-28.290
218.741,-156.097,-31.167,-32.948,-30.032,-32.680,-25.116,-23.216,-26.265,-30.525,-33.481,-38.509,-29.751,-22.636,-25.080,-33.703,-51.963,-34.462,-30.308,-31.507,-25.036,-29.470,-30.568,-34.007,-41.937,-41.290,-37.164,-29.873,-23.472,-24.510,-28.988,-40.779,-41.552,-33.266,-39.859,-30.061,-26.225,-25.032,-27.940,-34.604,-29.560,-26.876,-25.370,-32.571,-31.746,-28.100,-40.575,-26.407,-31.795,-49.945,-37.093,-37.658,3.649,19.192,22.646,14.764,-10.815,-26.023,-28.592,-27.704,-26.593,-28.047,-25.808,-31.366,-29.668,-25.820,-31.914,-25.786,-28.066,-38.657,-28.765,-31.466,-31.527,-29.655,-29.090,-27.984,-36.290,-25.171,-24.582,-24.601,-27.710,-42.039,-34.589,-35.650,-33.280,-27.780,-34.914,-37.165,-31.233,-27.557,-26.190,-33.295,-29.424,-26.045,-27.089,-27.587,-26.796,-26.440,-27.354,-31.166,-28.070,-38.038,-32.380
220.774,-156.097,-34.382,-29.171,-29.980,-28.493,-38.004,-36.050,-43.802,-38.745,-33.628,-31.776,-27.984,-27.627,-28.933,-27.600,-30.944,-40.023,-30.449,-30.155,-24.022,-26.061,-30.180,-28.828,-31.008,-31.371,-29.011,-35.836,-38.606,-32.216,-33.613,-40.174,-33.462,-31.281,-28.653,-35.728,-32.286,-26.251,-33.421,-28.048,-24.730,-23.689,-25.711,-33.501,-32.246,-24.510,-28.989,-35.560,-36.146,-26.296,-23.602,-25.569,3.638,19.290,22.762,14.966,-7.689,-25.638,-27.322,-34.030,-25.465,-22.778,-25.156,-26.347,-25.049,-27.967,-34.792,-31.581,-30.352,-40.322,-31.763,-40.326,-31.302,-40.621,-26.642,-25.144,-30.241,-32.599,-31.612,-30.870,-33.179,-26.761,-26.076,-31.925,-28.566,-27.430,-32.167,-35.328,-32.449,-27.985,-27.013,-30.931,-31.761,-40.629,-33.568,-27.415,-29.081,-27.515,-26.414,-29.182,-39.771,-44.701,-31.434
222.807,-156.097,-22.595,-40.130,-52.620,-34.842,-32.608,-28.102,-28.853,-28.035,-23.554,-24.483,-35.975,-30.698,-35.040,-35.905,-42.265,-40.490,-33.335,-30.835,-29.350,-32.278,-31.082,-25.424,-26.985,-35.551,-29.178,-24.441,-29.632,-31.710,-29.825,-30.845,-28.090,-27.321,-27.895,-33.258,-29.546,-25.690,-28.629,-39.236,-33.986,-34.261,-27.491,-22.801,-24.989,-24.838,-21.944,-22.952,-25.097,-31.870,-38.576,-28.814,3.710,19.333,22.824,15.034,-7.929,-27.640,-22.354,-25.885,-32.400,-32.823,-27.113,-38.312,-26.531,-27.869,-37.332,-46.373,-40.078,-32.056,-33.439,-42.591,-28.639,-32.105,-30.785,-32.928,-34.893,-35.076,-34.858,-48.985,-28.142,-23.854,-25.672,-27.736,-33.511,-43.435,-38.629,-27.767,-31.952,-31.461,-35.744,-28.435,-24.081,-29.136,-27.881,-26.339,-32.347,-26.947,-38.809,-29.097,-25.538,-27.328,-44.757
224.841,-156.097,-25.052,-36.005,-29.688,-44.149,-30.522,-34.302,-29.108,-28.130,-25.796,-29.462,-27.669,-31.190,-41.523,-28.224,-24.934,-26.035,-24.467,-27.345,-37.110,-23.332,-24.768,-37.257,-33.886,-24.377,-23.195,-29.975,-29.926,-28.996,-35.699,-30.718,-25.599,-26.034,-23.782,-23.123,-25.712,-27.380,-31.939,-41.462,-29.684,-30.343,-31.376,-24.172,-22.357,-25.891,-27.395,-23.642,-28.313,-28.808,-28.254,-25.162,3.946,19.470,22.913,15.044,-7.674,-28.738,-27.543,-25.022,-24.600,-30.261,-34.388,-30.832,-35.434,-31.439,-26.245,-30.062,-33.218,-27.065,-26.387,-31.803,-30.371,-27.165,-33.475,-36.280,-27.602,-26.232,-28.121,-29.786,-39.442,-30.044,-38.826,-40.537,-33.219,-34.983,-39.666,-41.452,-25.932,-24.534,-31.567,-25.994,-31.245,-37.017,-28.435,-26.032,-23.283,-25.993,-27.790,-28.000,-29.519,-28.861,-26.194
226.874,-156.097,-25.740,-28.519,-31.970,-32.192,-29.249,-28.268,-29.537,-32.901,-35.094,-33.233,-38.802,-32.934,-24.213,-23.424,-25.726,-29.182,-25.995,-24.015,-23.377,-25.899,-37.865,-40.105,-31.530,-27.212,-28.188,-30.561,-30.549,-47.160,-32.634,-34.577,-34.210,-28.109,-31.242,-48.631,-33.129,-28.842,-24.139,-28.733,-29.114,-31.631,-30.011,-25.656,-32.837,-46.655,-38.052,-31.314,-43.171,-32.737,-33.004,-24.556,3.676,19.493,22.955,15.103,-6.927,-33.829,-24.452,-27.431,-37.894,-32.784,-24.688,-27.103,-32.664,-25.799,-23.588,-23.624,-24.019,-31.231,-32.153,-27.234,-26.061,-33.726,-38.299,-45.966,-38.399,-37.009,-30.791,-28.239,-24.689,-26.966,-27.714,-31.760,-26.122,-24.749,-28.960,-29.306,-29.542,-27.768,-25.211,-28.122,-41.084,-27.473,-31.784,-39.491,-36.838,-41.182,-38.001,-35.112,-27.885,-25.150,-30.759
