PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,11.541
210.609,-156.097,11.877
212.642,-156.097,11.877
214.675,-156.097,12.134
216.708,-156.097,12.221
218.741,-156.097,12.337
220.774,-156.097,12.477
222.807,-156.097,12.416
224.841,-156.097,12.422
226.874,-156.097,12.370
228.907,-156.097,12.427
230.940,-156.097,12.521
232.973,-156.097,12.470
235.006,-156.097,12.554
237.039,-156.097,12.597
239.072,-156.097,12.638
241.105,-156.097,12.578
243.138,-156.097,12.778
245.171,-156.097,12.770
247.204,-156.097,12.838
249.237,-156.097,13.087
251.271,-156.097,13.147
253.304,-156.097,13.245
255.337,-156.097,13.353
257.370,-156.097,13.474
259.403,-156.097,13.573
261.436,-156.097,13.657
263.469,-156.097,13.922
265.502,-156.097,14.034
267.535,-156.097,14.133
269.568,-156.097,14.315
271.601,-156.097,14.376
273.634,-156.097,14.500
275.667,-156.097,14.569
277.700,-156.097,14.625
279.734,-156.097,14.623
281.767,-156.097,14.719
283.800,-156.097,14.733
285.833,-156.097,14.784
287.866,-156.097,14.676
289.899,-156.097,14.737
291.932,-156.097,14.713
293.965,-156.097,14.629
295.998,-156.097,14.576
298.031,-156.097,14.595
300.064,-156.097,14.447
302.097,-156.097,14.400
304.130,-156.097,14.297
306.164,-156.097,14.198
308.197,-156.097,14.101
310.230,-156.097,13.850
312.263,-156.097,13.715
314.296,-156.097,13.479
316.329,-156.097,13.391
318.362,-156.097,13.167
208.576,-154.071,15.392
210.609,-154.071,15.591
212.642,-154.071,15.651
214.675,-154.071,15.748
216.708,-154.071,15.748
218.741,-154.071,15.775
220.774,-154.071,15.840
222.807,-154.071,15.705
224.841,-154.071,15.746
226.874,-154.071,15.762
228.907,-154.071,15.878
230.940,-154.071,15.835
232.973,-154.071,15.954
235.006,-154.071,15.976
237.039,-154.071,15.981
239.072,-154.071,16.013
241.105,-154.071,16.053
243.138,-154.071,16.156
245.171,-154.071,16.197
247.204,-154.071,16.328
249.237,-154.071,16.401
251.271,-154.071,16.473
253.304,-154.071,16.535
255.337,-154.071,16.690
257.370,-154.071,16.781
259.403,-154.071,16.822
261.436,-154.071,16.921
263.469,-154.071,17.045
265.502,-154.071,17.155
267.535,-154.071,17.306
269.568,-154.071,17.438
271.601,-154.071,17.576
273.634,-154.071,17.624
275.667,-154.071,17.746
277.700,-154.071,17.724
279.734,-154.071,17.740
281.767,-154.071,17.801
283.800,-154.071,17.822
285.833,-154.071,17.851
287.866,-154.071,17.903
289.899,-154.071,17.969
291.932,-154.071,18.025
293.965,-154.071,18.119
295.998,-154.071,18.216
298.031,-154.071,18.279
300.064,-154.071,18.294
302.097,-154.071,18.409
304.130,-154.071,18.355
306.164,-154.071,18.301
308.197,-154.071,18.310
310.230,-154.071,18.257
312.263,-154.071,18.144
314.296,-154.071,18.065
316.329,-154.071,17.972
318.362,-154.071,17.835
208.576,-152.046,15.058
210.609,-152.046,15.266
212.642,-152.046,15.798
214.675,-152.046,15.960
216.708,-152.046,16.030
218.741,-152.046,15.977
220.774,-152.046,16.047
222.807,-152.046,16.103
224.841,-152.046,16.133
226.874,-152.046,15.947
228.907,-152.046,16.103
230.940,-152.046,16.070
232.973,-152.046,16.146
235.006,-152.046,16.206
