PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,11.860
210.609,-156.097,11.974
212.642,-156.097,12.063
214.675,-156.097,11.817
216.708,-156.097,11.637
218.741,-156.097,11.583
220.774,-156.097,11.330
222.807,-156.097,11.007
224.841,-156.097,10.968
226.874,-156.097,10.809
228.907,-156.097,10.920
230.940,-156.097,10.930
232.973,-156.097,10.956
235.006,-156.097,11.110
237.039,-156.097,11.299
239.072,-156.097,11.665
241.105,-156.097,11.921
243.138,-156.097,12.324
245.171,-156.097,12.664
247.204,-156.097,12.973
249.237,-156.097,13.663
251.271,-156.097,14.249
253.304,-156.097,14.809
255.337,-156.097,15.387
257.370,-156.097,15.965
259.403,-156.097,16.533
261.436,-156.097,17.015
263.469,-156.097,17.456
265.502,-156.097,17.873
267.535,-156.097,18.184
269.568,-156.097,18.426
271.601,-156.097,18.659
273.634,-156.097,18.822
275.667,-156.097,19.024
277.700,-156.097,19.169
279.734,-156.097,19.285
281.767,-156.097,19.391
283.800,-156.097,19.462
285.833,-156.097,19.553
287.866,-156.097,19.645
289.899,-156.097,19.660
291.932,-156.097,19.698
293.965,-156.097,19.711
295.998,-156.097,19.773
298.031,-156.097,19.762
300.064,-156.097,19.722
302.097,-156.097,19.769
304.130,-156.097,19.671
306.164,-156.097,19.654
308.197,-156.097,19.550
310.230,-156.097,19.453
312.263,-156.097,19.378
314.296,-156.097,19.202
316.329,-156.097,18.992
318.362,-156.097,18.836
208.576,-154.071,14.208
210.609,-154.071,14.228
212.642,-154.071,14.151
214.675,-154.071,14.131
216.708,-154.071,14.153
218.741,-154.071,14.145
220.774,-154.071,14.258
222.807,-154.071,14.336
224.841,-154.071,14.389
226.874,-154.071,14.590
228.907,-154.071,14.752
230.940,-154.071,14.868
232.973,-154.071,15.054
235.006,-154.071,15.198
237.039,-154.071,15.488
239.072,-154.071,15.748
241.105,-154.071,15.976
243.138,-154.071,16.234
245.171,-154.071,16.513
247.204,-154.071,16.803
249.237,-154.071,17.093
251.271,-154.071,17.408
253.304,-154.071,17.781
255.337,-154.071,18.231
257.370,-154.071,18.715
259.403,-154.071,19.252
261.436,-154.071,19.666
263.469,-154.071,20.059
265.502,-154.071,20.345
267.535,-154.071,20.617
269.568,-154.071,20.876
271.601,-154.071,21.057
273.634,-154.071,21.262
275.667,-154.071,21.399
277.700,-154.071,21.546
279.734,-154.071,21.655
281.767,-154.071,21.768
283.800,-154.071,21.817
285.833,-154.071,21.873
287.866,-154.071,21.948
289.899,-154.071,22.002
291.932,-154.071,22.051
