PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,14.906
210.609,-156.097,14.749
212.642,-156.097,14.734
214.675,-156.097,14.697
216.708,-156.097,14.737
218.741,-156.097,14.695
220.774,-156.097,14.725
222.807,-156.097,14.503
224.841,-156.097,15.095
226.874,-156.097,15.229
228.907,-156.097,15.501
230.940,-156.097,15.543
232.973,-156.097,15.685
235.006,-156.097,15.758
237.039,-156.097,15.799
239.072,-156.097,16.056
241.105,-156.097,16.442
243.138,-156.097,16.615
245.171,-156.097,16.666
247.204,-156.097,16.702
249.237,-156.097,16.796
251.271,-156.097,16.791
253.304,-156.097,16.912
255.337,-156.097,16.949
257.370,-156.097,17.091
259.403,-156.097,17.151
261.436,-156.097,17.248
263.469,-156.097,17.370
265.502,-156.097,17.498
267.535,-156.097,17.621
269.568,-156.097,17.752
271.601,-156.097,17.812
273.634,-156.097,17.997
275.667,-156.097,18.190
277.700,-156.097,18.247
279.734,-156.097,18.363
281.767,-156.097,18.461
283.800,-156.097,18.449
285.833,-156.097,18.548
287.866,-156.097,18.565
289.899,-156.097,18.614
291.932,-156.097,18.562
293.965,-156.097,18.630
295.998,-156.097,18.598
298.031,-156.097,18.629
300.064,-156.097,18.578
302.097,-156.097,18.577
304.130,-156.097,18.527
306.164,-156.097,18.505
308.197,-156.097,18.490
310.230,-156.097,18.413
312.263,-156.097,18.340
314.296,-156.097,18.204
316.329,-156.097,18.074
318.362,-156.097,18.016
208.576,-154.071,15.952
210.609,-154.071,15.848
212.642,-154.071,15.698
214.675,-154.071,15.763
216.708,-154.071,15.764
218.741,-154.071,15.780
220.774,-154.071,15.843
222.807,-154.071,15.806
224.841,-154.071,15.866
226.874,-154.071,15.959
228.907,-154.071,16.028
230.940,-154.071,16.165
232.973,-154.071,16.297
235.006,-154.071,16.418
237.039,-154.071,16.578
239.072,-154.071,16.786
241.105,-154.071,16.996
243.138,-154.071,17.498
245.171,-154.071,17.589
247.204,-154.071,17.634
249.237,-154.071,17.729
251.271,-154.071,17.797
253.304,-154.071,17.783
255.337,-154.071,17.880
257.370,-154.071,17.972
259.403,-154.071,18.018
261.436,-154.071,18.140
263.469,-154.071,20.777
265.502,-154.071,21.025
267.535,-154.071,21.035
269.568,-154.071,21.096
271.601,-154.071,21.134
273.634,-154.071,21.165
275.667,-154.071,21.184
277.700,-154.071,21.229
279.734,-154.071,21.237
281.767,-154.071,21.221
283.800,-154.071,21.212
285.833,-154.071,21.192
287.866,-154.071,21.140
289.899,-154.071,21.130
291.932,-154.071,21.094
293.965,-154.071,21.011
295.998,-154.071,20.953
298.031,-154.071,20.886
300.064,-154.071,20.810
302.097,-154.071,20.689
304.130,-154.071,20.581
306.164,-154.071,20.437
308.197,-154.071,20.307
310.230,-154.071,20.179
312.263,-154.071,20.014
314.296,-154.071,19.890
316.329,-154.071,19.705
318.362,-154.071,19.532
208.576,-152.046,15.619
210.609,-152.046,15.702
212.642,-152.046,15.748
214.675,-152.046,15.951
216.708,-152.046,15.974
218.741,-152.046,16.069
220.774,-152.046,16.172
222.807,-152.046,16.104
224.841,-152.046,16.092
226.874,-152.046,16.279
228.907,-152.046,16.406
230.940,-152.046,16.565
232.973,-152.046,16.699
235.006,-152.046,16.863
237.039,-152.046,17.081
239.072,-152.046,17.383
241.105,-152.046,17.634
243.138,-152.046,17.782
245.171,-152.046,18.000
247.204,-152.046,18.296
249.237,-152.046,18.711
251.271,-152.046,18.996
253.304,-152.046,19.450
255.337,-152.046,19.782
257.370,-152.046,20.038
259.403,-152.046,20.715
261.436,-152.046,20.816
263.469,-152.046,20.885
265.502,-152.046,20.955
267.535,-152.046,21.063
269.568,-152.046,21.140
271.601,-152.046,21.194
273.634,-152.046,21.276
275.667,-152.046,21.319
277.700,-152.046,21.349
279.734,-152.046,21.393
281.767,-152.046,21.383
283.800,-152.046,21.397
285.833,-152.046,21.411
287.866,-152.046,21.416
289.899,-152.046,21.372
291.932,-152.046,21.347
293.965,-152.046,21.301
295.998,-152.046,21.279
298.031,-152.046,21.235
300.064,-152.046,21.176
302.097,-152.046,21.104
304.130,-152.046,21.003
306.164,-152.046,20.917
308.197,-152.046,20.789
310.230,-152.046,20.681
312.263,-152.046,20.577
314.296,-152.046,20.467
316.329,-152.046,20.321
318.362,-152.046,20.164
208.576,-150.021,16.389
210.609,-150.021,16.176
212.642,-150.021,16.192
214.675,-150.021,16.235
216.708,-150.021,16.330
218.741,-150.021,16.370
220.774,-150.021,16.387
222.807,-150.021,16.524
224.841,-150.021,16.538
226.874,-150.021,16.662
228.907,-150.021,16.694
230.940,-150.021,16.831
232.973,-150.021,17.027
235.006,-150.021,17.074
237.039,-150.021,17.286
239.072,-150.021,17.431
241.105,-150.021,17.475
243.138,-150.021,17.695
245.171,-150.021,17.825
247.204,-150.021,18.012
249.237,-150.021,18.206
251.271,-150.021,18.474
253.304,-150.021,18.677
255.337,-150.021,18.941
257.370,-150.021,19.199
259.403,-150.021,19.467
261.436,-150.021,19.696
263.469,-150.021,19.985
265.502,-150.021,20.314
267.535,-150.021,21.187
269.568,-150.021,21.249
271.601,-150.021,21.387
273.634,-150.021,21.591
275.667,-150.021,21.786
277.700,-150.021,21.954
279.734,-150.021,21.992
281.767,-150.021,22.031
283.800,-150.021,22.012
285.833,-150.021,21.990
287.866,-150.021,21.977
289.899,-150.021,21.962
291.932,-150.021,21.887
293.965,-150.021,21.834
295.998,-150.021,21.757
298.031,-150.021,21.683
300.064,-150.021,21.540
302.097,-150.021,21.426
304.130,-150.021,21.317
306.164,-150.021,21.194
308.197,-150.021,21.062
310.230,-150.021,20.905
312.263,-150.021,20.722
314.296,-150.021,20.576
316.329,-150.021,20.347
318.362,-150.021,20.113
208.576,-147.996,16.431
210.609,-147.996,16.314
212.642,-147.996,16.339
214.675,-147.996,16.487
216.708,-147.996,16.538
218.741,-147.996,16.573
220.774,-147.996,16.671
222.807,-147.996,16.716
224.841,-147.996,16.764
226.874,-147.996,16.816
228.907,-147.996,16.938
230.940,-147.996,17.113
232.973,-147.996,17.202
235.006,-147.996,17.380
237.039,-147.996,17.384
239.072,-147.996,17.408
241.105,-147.996,17.537
243.138,-147.996,17.726
245.171,-147.996,17.843
247.204,-147.996,17.995
249.237,-147.996,18.124
251.271,-147.996,18.215
253.304,-147.996,18.406
255.337,-147.996,18.548
257.370,-147.996,18.703
259.403,-147.996,18.804
261.436,-147.996,18.944
263.469,-147.996,19.058
265.502,-147.996,19.162
267.535,-147.996,19.190
269.568,-147.996,19.365
271.601,-147.996,19.480
273.634,-147.996,19.515
275.667,-147.996,19.686
277.700,-147.996,19.849
279.734,-147.996,19.969
281.767,-147.996,20.081
283.800,-147.996,20.179
285.833,-147.996,20.301
287.866,-147.996,20.391
289.899,-147.996,20.454
291.932,-147.996,20.531
293.965,-147.996,20.502
295.998,-147.996,20.443
298.031,-147.996,20.380
300.064,-147.996,20.284
302.097,-147.996,20.194
304.130,-147.996,20.069
306.164,-147.996,19.950
308.197,-147.996,19.824
310.230,-147.996,19.693
312.263,-147.996,19.515
314.296,-147.996,19.329
316.329,-147.996,19.101
318.362,-147.996,18.973
208.576,-145.970,16.448
210.609,-145.970,16.509
212.642,-145.970,16.449
214.675,-145.970,16.565
216.708,-145.970,16.712
218.741,-145.970,16.770
220.774,-145.970,16.818
222.807,-145.970,16.915
224.841,-145.970,16.945
226.874,-145.970,16.990
228.907,-145.970,17.129
230.940,-145.970,17.278
232.973,-145.970,17.402
235.006,-145.970,17.497
237.039,-145.970,17.327
239.072,-145.970,17.459
241.105,-145.970,17.570
243.138,-145.970,17.690
245.171,-145.970,17.799
247.204,-145.970,17.897
249.237,-145.970,17.979
251.271,-145.970,18.118
253.304,-145.970,18.186
255.337,-145.970,18.243
257.370,-145.970,18.349
259.403,-145.970,18.440
261.436,-145.970,18.486
263.469,-145.970,18.535
265.502,-145.970,18.555
267.535,-145.970,18.522
269.568,-145.970,18.579
271.601,-145.970,18.459
273.634,-145.970,18.411
275.667,-145.970,17.994
277.700,-145.970,18.081
279.734,-145.970,18.345
281.767,-145.970,18.513
283.800,-145.970,18.613
285.833,-145.970,18.753
287.866,-145.970,18.841
289.899,-145.970,18.948
291.932,-145.970,19.003
293.965,-145.970,19.009
295.998,-145.970,19.014
298.031,-145.970,19.074
300.064,-145.970,18.968
302.097,-145.970,18.964
304.130,-145.970,18.880
306.164,-145.970,18.844
308.197,-145.970,18.674
310.230,-145.970,18.637
312.263,-145.970,18.474
314.296,-145.970,18.342
316.329,-145.970,18.174
318.362,-145.970,18.004
208.576,-143.945,16.489
210.609,-143.945,16.489
212.642,-143.945,16.614
214.675,-143.945,16.688
216.708,-143.945,16.761
218.741,-143.945,16.832
220.774,-143.945,16.911
222.807,-143.945,16.986
224.841,-143.945,17.030
226.874,-143.945,17.163
228.907,-143.945,17.243
230.940,-143.945,17.380
232.973,-143.945,17.299
235.006,-143.945,17.352
237.039,-143.945,17.485
239.072,-143.945,17.525
241.105,-143.945,17.598
243.138,-143.945,17.729
245.171,-143.945,17.707
247.204,-143.945,17.777
249.237,-143.945,17.841
251.271,-143.945,17.913
253.304,-143.945,17.935
255.337,-143.945,18.018
257.370,-143.945,18.033
259.403,-143.945,18.093
261.436,-143.945,18.187
263.469,-143.945,18.250
265.502,-143.945,18.256
267.535,-143.945,18.244
269.568,-143.945,18.318
271.601,-143.945,18.288
273.634,-143.945,18.260
275.667,-143.945,18.304
277.700,-143.945,18.300
279.734,-143.945,18.267
281.767,-143.945,18.730
283.800,-143.945,19.527
285.833,-143.945,19.840
287.866,-143.945,19.977
289.899,-143.945,19.999
291.932,-143.945,20.114
293.965,-143.945,20.182
295.998,-143.945,20.134
298.031,-143.945,20.128
300.064,-143.945,20.099
302.097,-143.945,19.994
304.130,-143.945,19.932
306.164,-143.945,19.849
308.197,-143.945,19.728
310.230,-143.945,19.553
312.263,-143.945,19.423
314.296,-143.945,19.234
316.329,-143.945,19.090
318.362,-143.945,18.810
208.576,-141.920,16.633
210.609,-141.920,16.489
212.642,-141.920,16.456
214.675,-141.920,16.619
216.708,-141.920,16.713
218.741,-141.920,16.799
220.774,-141.920,16.953
222.807,-141.920,17.009
224.841,-141.920,17.110
226.874,-141.920,17.171
228.907,-141.920,17.315
230.940,-141.920,17.397
232.973,-141.920,17.366
235.006,-141.920,17.438
237.039,-141.920,17.426
239.072,-141.920,17.546
241.105,-141.920,17.628
243.138,-141.920,17.698
245.171,-141.920,17.705
247.204,-141.920,17.780
249.237,-141.920,17.779
251.271,-141.920,17.787
253.304,-141.920,17.771
255.337,-141.920,17.809
257.370,-141.920,17.804
259.403,-141.920,17.853
261.436,-141.920,17.899
263.469,-141.920,17.875
265.502,-141.920,18.029
267.535,-141.920,18.097
269.568,-141.920,18.133
271.601,-141.920,18.243
273.634,-141.920,18.320
275.667,-141.920,18.505
277.700,-141.920,18.657
279.734,-141.920,18.968
281.767,-141.920,19.317
283.800,-141.920,19.549
285.833,-141.920,20.186
287.866,-141.920,20.261
289.899,-141.920,20.356
291.932,-141.920,20.444
293.965,-141.920,20.493
295.998,-141.920,20.492
298.031,-141.920,20.491
300.064,-141.920,20.424
302.097,-141.920,20.324
304.130,-141.920,20.285
306.164,-141.920,20.148
308.197,-141.920,19.998
310.230,-141.920,19.872
312.263,-141.920,19.668
314.296,-141.920,19.492
316.329,-141.920,19.281
318.362,-141.920,19.047
208.576,-139.895,16.553
210.609,-139.895,16.434
212.642,-139.895,16.483
214.675,-139.895,16.590
216.708,-139.895,16.618
218.741,-139.895,16.800
220.774,-139.895,16.834
222.807,-139.895,16.953
224.841,-139.895,17.026
226.874,-139.895,17.173
228.907,-139.895,17.291
230.940,-139.895,17.298
232.973,-139.895,17.355
235.006,-139.895,17.438
237.039,-139.895,17.501
239.072,-139.895,17.578
241.105,-139.895,17.565
243.138,-139.895,17.627
245.171,-139.895,17.661
247.204,-139.895,17.657
249.237,-139.895,17.604
251.271,-139.895,17.572
253.304,-139.895,17.564
255.337,-139.895,17.596
257.370,-139.895,17.576
259.403,-139.895,17.662
261.436,-139.895,17.736
263.469,-139.895,17.831
265.502,-139.895,17.958
267.535,-139.895,18.047
269.568,-139.895,18.173
271.601,-139.895,18.363
273.634,-139.895,18.509
275.667,-139.895,18.701
277.700,-139.895,18.918
279.734,-139.895,19.135
281.767,-139.895,19.387
283.800,-139.895,19.719
285.833,-139.895,20.124
287.866,-139.895,20.422
289.899,-139.895,20.520
291.932,-139.895,20.617
293.965,-139.895,20.692
295.998,-139.895,20.659
298.031,-139.895,20.671
300.064,-139.895,20.632
302.097,-139.895,20.526
304.130,-139.895,20.496
306.164,-139.895,20.321
308.197,-139.895,20.212
310.230,-139.895,20.053
312.263,-139.895,19.874
314.296,-139.895,19.649
316.329,-139.895,19.480
318.362,-139.895,19.196
208.576,-137.869,16.406
210.609,-137.869,16.380
212.642,-137.869,16.492
214.675,-137.869,16.611
216.708,-137.869,16.717
218.741,-137.869,16.846
220.774,-137.869,16.898
222.807,-137.869,16.962
224.841,-137.869,17.031
226.874,-137.869,17.182
228.907,-137.869,17.252
230.940,-137.869,17.325
232.973,-137.869,17.359
235.006,-137.869,17.444
237.039,-137.869,17.471
239.072,-137.869,17.529
241.105,-137.869,17.544
243.138,-137.869,17.545
245.171,-137.869,17.602
247.204,-137.869,17.497
249.237,-137.869,17.475
251.271,-137.869,17.468
253.304,-137.869,17.446
255.337,-137.869,17.485
257.370,-137.869,17.569
259.403,-137.869,17.609
261.436,-137.869,17.721
263.469,-137.869,17.889
265.502,-137.869,18.108
267.535,-137.869,18.315
269.568,-137.869,18.478
271.601,-137.869,18.743
273.634,-137.869,18.875
275.667,-137.869,19.029
277.700,-137.869,19.211
279.734,-137.869,19.383
281.767,-137.869,19.602
283.800,-137.869,19.753
285.833,-137.869,20.005
287.866,-137.869,20.345
289.899,-137.869,20.561
291.932,-137.869,20.652
293.965,-137.869,20.739
295.998,-137.869,20.792
298.031,-137.869,20.826
300.064,-137.869,20.796
302.097,-137.869,20.723
304.130,-137.869,20.582
306.164,-137.869,20.458
308.197,-137.869,20.356
310.230,-137.869,20.208
312.263,-137.869,20.022
314.296,-137.869,19.786
316.329,-137.869,19.521
318.362,-137.869,19.332
208.576,-135.844,16.368
210.609,-135.844,16.435
212.642,-135.844,16.599
214.675,-135.844,16.642
216.708,-135.844,16.700
218.741,-135.844,16.805
220.774,-135.844,16.892
222.807,-135.844,16.989
224.841,-135.844,17.059
226.874,-135.844,17.183
228.907,-135.844,17.277
230.940,-135.844,17.337
