PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,19.490
210.609,-156.097,19.503
212.642,-156.097,19.462
214.675,-156.097,19.382
216.708,-156.097,19.201
218.741,-156.097,19.000
220.774,-156.097,18.796
222.807,-156.097,18.555
224.841,-156.097,18.214
226.874,-156.097,17.796
228.907,-156.097,17.420
230.940,-156.097,16.967
232.973,-156.097,16.499
235.006,-156.097,15.999
237.039,-156.097,15.412
239.072,-156.097,14.902
241.105,-156.097,14.169
243.138,-156.097,13.429
245.171,-156.097,12.406
247.204,-156.097,11.430
249.237,-156.097,10.217
251.271,-156.097,8.822
253.304,-156.097,7.055
255.337,-156.097,5.171
257.370,-156.097,3.128
259.403,-156.097,1.644
261.436,-156.097,2.823
263.469,-156.097,4.478
265.502,-156.097,6.411
267.535,-156.097,8.222
269.568,-156.097,9.682
271.601,-156.097,10.731
273.634,-156.097,11.428
275.667,-156.097,12.190
277.700,-156.097,12.221
279.734,-156.097,13.173
281.767,-156.097,13.556
283.800,-156.097,14.234
285.833,-156.097,14.809
287.866,-156.097,15.457
289.899,-156.097,16.215
291.932,-156.097,15.925
293.965,-156.097,16.559
295.998,-156.097,17.144
298.031,-156.097,17.534
300.064,-156.097,18.119
302.097,-156.097,18.571
304.130,-156.097,18.173
306.164,-156.097,19.730
308.197,-156.097,20.536
310.230,-156.097,18.951
312.263,-156.097,18.730
314.296,-156.097,18.833
316.329,-156.097,18.950
318.362,-156.097,18.885
208.576,-154.071,20.453
210.609,-154.071,20.377
212.642,-154.071,20.420
214.675,-154.071,20.410
216.708,-154.071,20.401
218.741,-154.071,20.255
220.774,-154.071,20.175
222.807,-154.071,20.068
224.841,-154.071,19.764
226.874,-154.071,19.434
228.907,-154.071,19.238
230.940,-154.071,18.859
232.973,-154.071,18.665
235.006,-154.071,18.375
237.039,-154.071,18.073
239.072,-154.071,17.550
241.105,-154.071,17.223
243.138,-154.071,17.008
245.171,-154.071,16.606
247.204,-154.071,15.943
249.237,-154.071,15.413
251.271,-154.071,14.534
253.304,-154.071,14.252
255.337,-154.071,12.731
257.370,-154.071,12.444
259.403,-154.071,11.331
261.436,-154.071,10.411
263.469,-154.071,9.486
265.502,-154.071,8.641
267.535,-154.071,8.028
269.568,-154.071,7.661
271.601,-154.071,7.304
273.634,-154.071,6.998
275.667,-154.071,6.623
277.700,-154.071,6.150
279.734,-154.071,5.522
281.767,-154.071,5.377
283.800,-154.071,4.640
285.833,-154.071,4.299
287.866,-154.071,4.648
289.899,-154.071,4.830
291.932,-154.071,5.785
293.965,-154.071,6.779
295.998,-154.071,10.924
298.031,-154.071,14.259
300.064,-154.071,15.143
302.097,-154.071,15.466
304.130,-154.071,16.103
306.164,-154.071,16.110
308.197,-154.071,16.893
310.230,-154.071,17.650
312.263,-154.071,17.787
314.296,-154.071,18.040
316.329,-154.071,18.381
318.362,-154.071,18.768
208.576,-152.046,20.052
210.609,-152.046,19.912
212.642,-152.046,20.003
214.675,-152.046,20.131
216.708,-152.046,20.187
218.741,-152.046,20.225
220.774,-152.046,20.329
222.807,-152.046,20.251
224.841,-152.046,20.184
226.874,-152.046,20.162
228.907,-152.046,19.970
230.940,-152.046,19.710
232.973,-152.046,19.428
235.006,-152.046,19.397
237.039,-152.046,18.962
239.072,-152.046,19.010
241.105,-152.046,18.634
243.138,-152.046,17.618
245.171,-152.046,17.478
247.204,-152.046,17.514
249.237,-152.046,16.910
251.271,-152.046,17.112
253.304,-152.046,15.120
255.337,-152.046,15.202
257.370,-152.046,14.723
259.403,-152.046,14.191
261.436,-152.046,13.765
263.469,-152.046,13.421
265.502,-152.046,13.192
267.535,-152.046,13.251
269.568,-152.046,13.073
271.601,-152.046,13.042
273.634,-152.046,12.971
275.667,-152.046,12.695
277.700,-152.046,12.178
279.734,-152.046,11.936
281.767,-152.046,11.544
283.800,-152.046,11.164
285.833,-152.046,10.712
287.866,-152.046,10.201
289.899,-152.046,9.678
291.932,-152.046,9.551
293.965,-152.046,9.131
295.998,-152.046,9.449
298.031,-152.046,9.430
300.064,-152.046,9.565
302.097,-152.046,9.740
304.130,-152.046,9.954
306.164,-152.046,10.252
308.197,-152.046,10.585
310.230,-152.046,11.128
312.263,-152.046,11.415
314.296,-152.046,11.749
316.329,-152.046,12.172
318.362,-152.046,12.485
208.576,-150.021,11.873
210.609,-150.021,10.744
212.642,-150.021,10.482
214.675,-150.021,10.410
216.708,-150.021,10.276
218.741,-150.021,10.035
220.774,-150.021,8.936
222.807,-150.021,8.150
224.841,-150.021,8.287
226.874,-150.021,8.113
228.907,-150.021,7.658
230.940,-150.021,7.455
232.973,-150.021,7.272
235.006,-150.021,6.518
237.039,-150.021,7.286
239.072,-150.021,7.554
241.105,-150.021,7.998
243.138,-150.021,8.558
245.171,-150.021,9.530
247.204,-150.021,9.781
249.237,-150.021,11.859
251.271,-150.021,13.275
253.304,-150.021,14.598
255.337,-150.021,15.588
257.370,-150.021,16.650
259.403,-150.021,17.561
261.436,-150.021,18.436
263.469,-150.021,19.236
265.502,-150.021,19.835
267.535,-150.021,20.311
269.568,-150.021,20.657
271.601,-150.021,21.018
273.634,-150.021,21.238
275.667,-150.021,21.373
277.700,-150.021,21.427
279.734,-150.021,21.479
281.767,-150.021,21.484
283.800,-150.021,21.437
285.833,-150.021,21.381
287.866,-150.021,21.332
289.899,-150.021,21.294
291.932,-150.021,21.289
293.965,-150.021,21.328
295.998,-150.021,21.276
298.031,-150.021,21.321
300.064,-150.021,21.309
302.097,-150.021,21.370
304.130,-150.021,21.381
306.164,-150.021,21.323
308.197,-150.021,21.173
310.230,-150.021,20.954
312.263,-150.021,20.751
314.296,-150.021,20.556
316.329,-150.021,20.339
318.362,-150.021,20.083
208.576,-147.996,10.864
210.609,-147.996,9.878
212.642,-147.996,9.538
214.675,-147.996,9.368
216.708,-147.996,9.166
218.741,-147.996,8.837
220.774,-147.996,8.598
222.807,-147.996,8.173
224.841,-147.996,7.688
226.874,-147.996,7.455
228.907,-147.996,7.271
230.940,-147.996,7.179
232.973,-147.996,6.969
235.006,-147.996,6.982
237.039,-147.996,7.263
239.072,-147.996,7.900
241.105,-147.996,8.383
243.138,-147.996,9.196
245.171,-147.996,10.308
247.204,-147.996,11.505
249.237,-147.996,12.879
251.271,-147.996,14.119
253.304,-147.996,15.522
255.337,-147.996,16.793
257.370,-147.996,17.790
259.403,-147.996,18.801
261.436,-147.996,19.675
263.469,-147.996,20.382
265.502,-147.996,21.002
267.535,-147.996,21.562
269.568,-147.996,21.971
271.601,-147.996,22.251
273.634,-147.996,22.438
275.667,-147.996,22.626
277.700,-147.996,22.710
279.734,-147.996,22.770
281.767,-147.996,22.728
283.800,-147.996,22.745
285.833,-147.996,22.608
287.866,-147.996,22.615
289.899,-147.996,22.539
291.932,-147.996,22.508
293.965,-147.996,22.458
295.998,-147.996,22.444
298.031,-147.996,22.414
300.064,-147.996,22.389
302.097,-147.996,22.332
304.130,-147.996,22.239
306.164,-147.996,22.156
308.197,-147.996,22.069
310.230,-147.996,21.965
312.263,-147.996,21.851
314.296,-147.996,21.551
316.329,-147.996,21.297
318.362,-147.996,20.981
208.576,-145.970,9.745
210.609,-145.970,9.437
212.642,-145.970,9.159
214.675,-145.970,8.852
216.708,-145.970,8.657
218.741,-145.970,8.638
220.774,-145.970,8.293
222.807,-145.970,8.066
224.841,-145.970,7.805
226.874,-145.970,7.778
228.907,-145.970,7.661
230.940,-145.970,7.829
232.973,-145.970,7.619
235.006,-145.970,7.979
237.039,-145.970,8.449
239.072,-145.970,8.793
241.105,-145.970,9.681
243.138,-145.970,10.372
245.171,-145.970,11.449
247.204,-145.970,12.534
249.237,-145.970,13.686
251.271,-145.970,15.338
253.304,-145.970,16.544
255.337,-145.970,17.708
257.370,-145.970,18.790
259.403,-145.970,19.812
261.436,-145.970,20.619
263.469,-145.970,21.373
265.502,-145.970,21.940
267.535,-145.970,22.470
269.568,-145.970,22.899
271.601,-145.970,23.239
273.634,-145.970,23.504
275.667,-145.970,23.653
277.700,-145.970,23.759
279.734,-145.970,23.789
281.767,-145.970,23.728
283.800,-145.970,23.732
285.833,-145.970,23.659
287.866,-145.970,23.542
289.899,-145.970,23.461
291.932,-145.970,23.388
293.965,-145.970,23.343
295.998,-145.970,23.299
298.031,-145.970,23.215
300.064,-145.970,23.221
302.097,-145.970,23.156
304.130,-145.970,23.050
306.164,-145.970,22.958
308.197,-145.970,22.864
310.230,-145.970,22.709
312.263,-145.970,22.572
314.296,-145.970,22.387
316.329,-145.970,22.031
318.362,-145.970,21.670
208.576,-143.945,9.791
210.609,-143.945,9.229
212.642,-143.945,8.896
