PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,15.588
210.609,-156.097,15.674
212.642,-156.097,15.727
214.675,-156.097,15.697
216.708,-156.097,15.690
218.741,-156.097,15.752
220.774,-156.097,15.839
222.807,-156.097,15.898
224.841,-156.097,16.094
226.874,-156.097,16.264
228.907,-156.097,16.514
230.940,-156.097,16.790
232.973,-156.097,17.029
235.006,-156.097,17.275
237.039,-156.097,17.557
239.072,-156.097,17.946
241.105,-156.097,18.305
243.138,-156.097,18.480
245.171,-156.097,18.671
247.204,-156.097,18.838
249.237,-156.097,20.386
251.271,-156.097,20.334
253.304,-156.097,20.186
255.337,-156.097,21.085
257.370,-156.097,21.448
259.403,-156.097,21.562
261.436,-156.097,21.603
263.469,-156.097,21.688
265.502,-156.097,21.734
267.535,-156.097,21.831
269.568,-156.097,21.866
271.601,-156.097,21.950
273.634,-156.097,22.009
275.667,-156.097,22.077
277.700,-156.097,22.145
279.734,-156.097,22.178
281.767,-156.097,22.241
283.800,-156.097,22.289
285.833,-156.097,22.334
287.866,-156.097,22.357
289.899,-156.097,22.373
291.932,-156.097,22.363
293.965,-156.097,22.316
295.998,-156.097,22.303
298.031,-156.097,22.307
300.064,-156.097,22.229
302.097,-156.097,22.197
304.130,-156.097,22.099
306.164,-156.097,22.048
308.197,-156.097,21.964
310.230,-156.097,21.840
312.263,-156.097,21.687
314.296,-156.097,21.594
316.329,-156.097,21.411
318.362,-156.097,21.255
208.576,-154.071,16.242
210.609,-154.071,16.553
212.642,-154.071,16.601
214.675,-154.071,16.522
216.708,-154.071,16.504
218.741,-154.071,16.558
220.774,-154.071,16.576
222.807,-154.071,16.688
224.841,-154.071,16.774
226.874,-154.071,16.899
228.907,-154.071,16.995
230.940,-154.071,17.298
232.973,-154.071,17.423
235.006,-154.071,17.512
237.039,-154.071,17.803
239.072,-154.071,18.027
241.105,-154.071,18.208
243.138,-154.071,18.465
245.171,-154.071,18.723
247.204,-154.071,18.867
249.237,-154.071,19.146
251.271,-154.071,19.459
253.304,-154.071,19.663
