PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
208.576,-156.097,-36.877,-25.564,-29.543,-27.090,-34.260,-29.230,-25.805,-25.598,-28.488,-31.607,-25.867,-23.261,-25.665,-28.330,-29.552,-38.881,-28.851,-26.925,-25.733,-30.998,-44.958,-36.017,-32.522,-28.244,-26.299,-31.371,-32.515,-36.071,-45.837,-30.675,-35.909,-44.174,-26.332,-22.524,-24.464,-26.282,-29.134,-26.168,-23.233,-26.673,-31.455,-39.403,-26.033,-24.533,-31.903,-26.961,-25.639,-33.336,-29.140,-25.035,-4.186,11.844,15.601,8.137,-17.969,-24.656,-27.043,-34.855,-36.000,-32.714,-27.365,-29.028,-31.809,-28.875,-32.616,-26.358,-24.908,-27.969,-28.688,-40.229,-39.743,-43.401,-30.566,-34.976,-29.229,-26.591,-27.079,-31.639,-25.180,-29.118,-34.117,-36.485,-29.255,-29.595,-26.633,-31.037,-31.995,-28.744,-31.619,-31.495,-42.241,-28.873,-27.152,-33.680,-27.389,-33.228,-30.179,-26.997,-29.314,-29.757,-24.587
210.609,-156.097,-32.198,-32.001,-33.359,-45.810,-35.065,-37.106,-26.196,-24.661,-33.356,-28.593,-30.553,-35.968,-34.140,-30.724,-29.116,-28.278,-33.529,-34.015,-30.531,-26.281,-29.993,-27.348,-25.187,-22.813,-26.715,-42.499,-30.865,-24.269,-23.817,-22.889,-27.108,-35.733,-29.322,-35.358,-28.140,-23.757,-30.179,-31.670,-46.033,-33.786,-28.980,-26.689,-32.205,-32.633,-28.792,-30.807,-24.908,-25.599,-25.879,-24.611,-3.798,11.917,15.667,8.331,-12.810,-35.210,-27.892,-30.770,-29.935,-31.445,-30.009,-30.866,-32.501,-27.884,-25.483,-24.658,-31.406,-45.978,-32.255,-25.439,-25.818,-27.066,-30.006,-27.553,-29.049,-34.476,-26.467,-27.581,-30.874,-27.168,-26.071,-32.532,-32.686,-39.841,-44.411,-45.557,-32.380,-25.914,-27.528,-30.411,-30.758,-29.194,-26.573,-29.825,-31.632,-26.140,-25.747,-28.465,-29.282,-27.738,-34.360
212.642,-156.097,-46.818,-33.651,-27.487,-30.533,-31.161,-33.449,-39.780,-40.375,-50.437,-35.218,-29.397,-32.876,-30.931,-28.063,-33.384,-35.347,-45.356,-32.886,-30.712,-27.412,-25.186,-27.745,-32.215,-28.330,-24.121,-25.657,-31.919,-32.070,-36.211,-35.405,-31.538,-35.518,-30.609,-24.488,-23.603,-26.415,-29.015,-37.430,-31.354,-28.750,-31.823,-33.546,-32.920,-37.999,-35.916,-28.901,-27.314,-35.652,-28.181,-28.481,-3.976,11.934,15.713,8.393,-13.506,-31.049,-26.854,-33.327,-40.401,-26.053,-23.469,-28.433,-30.787,-28.097,-42.188,-30.000,-25.872,-27.311,-27.714,-26.093,-27.108,-27.563,-29.366,-29.055,-29.583,-32.193,-36.454,-40.189,-34.433,-32.008,-30.410,-25.489,-33.493,-27.754,-31.197,-31.817,-25.463,-27.700,-25.090,-23.859,-27.719,-33.364,-29.490,-25.975,-23.804,-25.416,-38.941,-38.242,-33.017,-38.112,-34.458
214.675,-156.097,-38.366,-32.569,-32.996,-27.956,-26.041,-26.580,-26.803,-24.944,-22.039,-23.578,-26.654,-25.730,-34.351,-27.861,-34.824,-22.869,-25.787,-39.196,-33.359,-30.640,-29.363,-32.212,-39.472,-41.159,-42.869,-29.629,-31.820,-37.208,-31.987,-27.400,-32.005,-47.845,-35.081,-27.756,-26.688,-27.020,-27.274,-25.371,-24.610,-29.072,-28.793,-26.369,-36.488,-31.696,-35.723,-32.497,-27.825,-34.306,-30.154,-30.393,-3.592,12.025,15.723,8.268,-14.162,-32.521,-26.595,-28.279,-28.874,-24.383,-21.833,-25.522,-23.648,-27.064,-38.081,-31.148,-31.096,-27.631,-35.224,-32.485,-27.695,-33.993,-29.958,-27.859,-26.994,-26.427,-28.240,-28.876,-26.474,-31.530,-36.753,-36.441,-44.902,-29.177,-31.351,-34.759,-34.105,-38.289,-32.176,-34.368,-29.277,-22.525,-24.140,-26.300,-23.743,-23.313,-24.953,-29.552,-33.200,-30.917,-32.936
216.708,-156.097,-38.938,-33.263,-27.751,-28.207,-24.526,-33.180,-25.800,-22.655,-24.681,-26.601,-29.569,-32.899,-38.431,-32.115,-30.270,-40.515,-28.721,-31.667,-41.578,-31.988,-45.077,-30.963,-31.829,-30.620,-31.371,-27.916,-29.339,-34.545,-27.492,-30.385,-39.759,-39.258,-39.383,-32.173,-38.560,-40.127,-33.133,-26.736,-24.765,-23.851,-34.959,-34.879,-30.008,-24.485,-25.604,-34.485,-28.006,-25.308,-28.491,-34.966,-3.823,11.957,15.663,8.172,-14.324,-29.124,-24.878,-23.538,-27.297,-32.973,-29.817,-29.352,-29.437,-32.713,-33.967,-28.564,-29.886,-36.725,-44.683,-34.779,-28.888,-32.975,-27.632,-21.299,-22.659,-26.757,-29.903,-28.601,-34.079,-25.143,-24.345,-25.767,-26.706,-28.489,-34.090,-32.126,-35.486,-37.776,-32.660,-27.598,-31.351,-31.065,-27.238,-34.914,-22.448,-25.231,-29.750,-24.945,-22.276,-25.296,-26.287
218.741,-156.097,-38.648,-37.859,-29.990,-35.396,-26.019,-26.639,-26.180,-27.644,-31.434,-32.045,-32.709,-26.621,-28.244,-33.285,-32.024,-35.343,-29.034,-29.585,-23.381,-22.288,-29.799,-38.747,-33.150,-28.694,-29.880,-29.747,-31.937,-35.740,-25.345,-24.033,-25.554,-24.305,-37.977,-29.247,-30.565,-34.355,-35.306,-34.133,-32.986,-34.392,-40.159,-30.098,-37.482,-36.261,-30.735,-27.745,-30.137,-31.817,-31.606,-29.767,-3.976,11.839,15.575,8.117,-14.521,-37.258,-29.784,-31.614,-32.770,-26.797,-31.090,-33.808,-35.456,-25.005,-25.007,-38.076,-32.826,-26.444,-37.724,-34.771,-26.777,-37.567,-31.115,-48.962,-31.793,-30.893,-32.057,-38.972,-27.516,-24.765,-23.447,-25.003,-28.593,-29.927,-30.785,-36.689,-32.560,-22.980,-24.572,-31.080,-33.514,-32.833,-30.898,-31.112,-32.107,-29.623,-33.419,-32.846,-29.424,-25.767,-23.293
220.774,-156.097,-29.917,-25.800,-24.459,-22.743,-30.056,-29.828,-28.415,-26.821,-28.889,-29.006,-29.045,-27.666,-27.062,-31.214,-41.057,-34.559,-32.128,-28.083,-32.376,-43.379,-38.160,-39.099,-36.428,-33.320,-27.384,-30.890,-36.966,-41.445,-33.140,-27.583,-26.129,-40.717,-31.261,-28.451,-30.673,-28.176,-32.382,-38.876,-28.821,-25.655,-24.739,-31.212,-32.654,-34.768,-29.831,-24.786,-23.604,-23.454,-28.663,-31.946,-4.186,11.698,15.388,7.865,-16.131,-36.483,-32.469,-30.844,-31.044,-32.432,-34.944,-37.385,-28.345,-22.670,-26.014,-35.588,-37.473,-32.664,-35.916,-36.054,-37.950,-27.825,-25.770,-23.571,-24.666,-27.049,-37.487,-29.354,-34.116,-35.846,-49.275,-32.319,-26.320,-28.886,-30.684,-28.180,-26.899,-23.051,-28.332,-39.464,-32.398,-41.044,-33.221,-30.253,-26.966,-22.024,-26.243,-29.814,-34.504,-33.040,-30.113
222.807,-156.097,-26.743,-24.911,-23.543,-48.594,-29.552,-36.865,-39.616,-41.144,-47.391,-42.058,-39.854,-34.421,-30.775,-35.192,-44.197,-41.304,-28.181,-26.096,-33.565,-25.924,-30.889,-30.947,-33.582,-27.403,-27.403,-34.739,-27.680,-25.901,-29.754,-34.202,-33.762,-27.854,-28.285,-29.625,-28.385,-30.205,-27.451,-26.772,-30.087,-31.354,-48.418,-37.117,-26.363,-24.175,-25.976,-31.688,-34.519,-29.774,-23.306,-23.944,-4.339,11.459,15.181,7.735,-17.365,-30.072,-33.601,-28.322,-29.369,-31.406,-24.565,-25.409,-30.231,-39.215,-29.175,-31.266,-28.781,-26.809,-28.115,-26.836,-30.643,-43.508,-36.782,-35.929,-43.008,-31.963,-27.577,-28.243,-28.483,-33.614,-32.110,-38.884,-30.777,-26.841,-24.376,-22.417,-25.429,-34.122,-35.369,-36.674,-27.708,-29.163,-44.966,-36.563,-29.556,-25.408,-24.781,-24.333,-27.588,-35.200,-26.934
224.841,-156.097,-26.640,-32.028,-34.080,-34.649,-30.496,-27.370,-25.073,-26.280,-32.811,-29.413,-47.846,-29.517,-27.523,-26.764,-24.790,-23.859,-25.289,-30.778,-44.677,-30.954,-26.799,-25.614,-39.346,-45.756,-44.171,-41.827,-32.060,-40.111,-33.118,-37.111,-31.315,-26.502,-29.328,-42.521,-43.930,-34.123,-30.935,-44.129,-30.696,-41.006,-43.583,-32.592,-42.941,-30.312,-26.610,-30.710,-34.675,-28.218,-26.768,-27.179,-4.204,11.467,15.157,7.732,-13.868,-27.708,-36.125,-30.944,-22.645,-29.523,-33.272,-29.868,-36.555,-32.195,-27.493,-32.760,-42.446,-25.963,-21.929,-27.476,-55.984,-44.802,-29.625,-22.795,-25.563,-37.032,-37.633,-29.493,-25.465,-37.251,-34.361,-40.347,-35.564,-30.812,-46.750,-35.193,-39.039,-41.889,-30.842,-29.692,-30.547,-33.263,-33.201,-33.079,-34.354,-33.620,-37.872,-36.005,-23.898,-25.278,-35.895
226.874,-156.097,-23.325,-43.182,-37.635,-23.938,-20.968,-24.927,-29.121,-29.143,-24.937,-25.925,-32.651,-43.945,-36.532,-30.311,-28.291,-37.967,-28.466,-25.816,-25.128,-31.053,-43.940,-31.766,-23.678,-22.623,-25.749,-26.644,-25.440,-27.592,-27.393,-31.366,-33.876,-32.533,-31.509,-35.077,-43.292,-36.625,-30.244,-33.339,-41.290,-33.141,-29.042,-32.031,-37.134,-23.878,-20.959,-22.492,-32.116,-27.218,-29.344,-43.753,-4.459,11.284,14.991,7.494,-18.187,-30.817,-42.631,-36.631,-31.336,-28.618,-30.297,-26.935,-28.997,-31.992,-27.563,-26.914,-37.125,-30.308,-28.735,-32.920,-37.985,-39.756,-32.752,-34.492,-37.190,-30.662,-38.592,-30.383,-37.767,-35.598,-37.469,-32.038,-27.806,-26.309,-31.511,-46.762,-38.907,-33.160,-33.646,-32.206,-27.877,-25.950,-29.978,-26.360,-34.624,-33.370,-29.930,-38.169,-41.695,-30.158,-27.117
