PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,15.601
210.609,-156.097,15.667
212.642,-156.097,15.713
214.675,-156.097,15.723
216.708,-156.097,15.663
218.741,-156.097,15.575
220.774,-156.097,15.388
222.807,-156.097,15.181
224.841,-156.097,15.157
226.874,-156.097,14.991
228.907,-156.097,14.750
230.940,-156.097,14.513
232.973,-156.097,14.002
235.006,-156.097,13.710
237.039,-156.097,13.335
239.072,-156.097,12.896
241.105,-156.097,12.488
243.138,-156.097,12.030
245.171,-156.097,11.239
247.204,-156.097,10.555
249.237,-156.097,10.171
251.271,-156.097,9.195
253.304,-156.097,8.249
255.337,-156.097,8.560
257.370,-156.097,8.165
259.403,-156.097,8.956
261.436,-156.097,10.202
263.469,-156.097,10.944
265.502,-156.097,12.510
267.535,-156.097,13.424
269.568,-156.097,14.768
271.601,-156.097,14.685
273.634,-156.097,14.569
275.667,-156.097,13.838
277.700,-156.097,12.553
279.734,-156.097,11.703
281.767,-156.097,10.736
283.800,-156.097,10.078
285.833,-156.097,9.354
287.866,-156.097,8.797
289.899,-156.097,8.149
291.932,-156.097,7.953
293.965,-156.097,7.769
295.998,-156.097,7.500
298.031,-156.097,7.325
300.064,-156.097,7.270
302.097,-156.097,7.097
304.130,-156.097,7.353
306.164,-156.097,7.413
308.197,-156.097,7.490
310.230,-156.097,7.303
312.263,-156.097,7.291
314.296,-156.097,7.273
316.329,-156.097,7.331
318.362,-156.097,7.191
208.576,-154.071,20.719
210.609,-154.071,20.733
212.642,-154.071,20.661
214.675,-154.071,20.642
216.708,-154.071,20.555
218.741,-154.071,20.473
220.774,-154.071,20.428
222.807,-154.071,20.293
224.841,-154.071,20.162
226.874,-154.071,20.017
228.907,-154.071,19.833
230.940,-154.071,19.658
232.973,-154.071,19.509
235.006,-154.071,19.268
237.039,-154.071,19.089
239.072,-154.071,18.882
241.105,-154.071,18.623
243.138,-154.071,18.334
245.171,-154.071,18.047
247.204,-154.071,17.741
249.237,-154.071,17.390
251.271,-154.071,17.110
253.304,-154.071,16.847
255.337,-154.071,16.649
257.370,-154.071,16.560
259.403,-154.071,16.632
261.436,-154.071,16.856
263.469,-154.071,17.191
265.502,-154.071,17.598
267.535,-154.071,18.027
269.568,-154.071,18.255
271.601,-154.071,18.211
273.634,-154.071,17.984
275.667,-154.071,17.572
277.700,-154.071,17.052
279.734,-154.071,16.631
281.767,-154.071,16.127
283.800,-154.071,15.693
285.833,-154.071,15.597
287.866,-154.071,15.543
289.899,-154.071,15.109
291.932,-154.071,14.570
293.965,-154.071,13.847
295.998,-154.071,13.481
298.031,-154.071,12.619
300.064,-154.071,11.994
302.097,-154.071,10.972
304.130,-154.071,10.139
306.164,-154.071,7.827
308.197,-154.071,7.890
310.230,-154.071,8.125
312.263,-154.071,8.251
314.296,-154.071,8.593
316.329,-154.071,11.785
318.362,-154.071,12.442
208.576,-152.046,21.983
210.609,-152.046,21.981
212.642,-152.046,21.991
214.675,-152.046,21.947
216.708,-152.046,21.897
218.741,-152.046,21.796
220.774,-152.046,21.696
222.807,-152.046,21.506
224.841,-152.046,21.375
226.874,-152.046,21.187
228.907,-152.046,20.937
230.940,-152.046,20.754
232.973,-152.046,20.349
235.006,-152.046,20.199
237.039,-152.046,20.053
239.072,-152.046,19.850
241.105,-152.046,19.717
243.138,-152.046,19.591
245.171,-152.046,19.509
247.204,-152.046,19.442
249.237,-152.046,19.383
251.271,-152.046,19.280
253.304,-152.046,19.260
255.337,-152.046,19.316
257.370,-152.046,19.454
259.403,-152.046,19.718
261.436,-152.046,20.930
263.469,-152.046,21.176
265.502,-152.046,21.456
267.535,-152.046,21.712
269.568,-152.046,21.808
271.601,-152.046,21.664
273.634,-152.046,21.444
275.667,-152.046,20.804
277.700,-152.046,20.362
279.734,-152.046,19.914
281.767,-152.046,19.373
283.800,-152.046,18.866
285.833,-152.046,18.315
287.866,-152.046,17.756
289.899,-152.046,17.269
291.932,-152.046,16.662
293.965,-152.046,15.683
295.998,-152.046,15.115
298.031,-152.046,14.636
300.064,-152.046,14.075
302.097,-152.046,13.456
304.130,-152.046,12.739
306.164,-152.046,12.653
308.197,-152.046,12.430
310.230,-152.046,12.410
312.263,-152.046,12.461
314.296,-152.046,12.481
316.329,-152.046,14.454
318.362,-152.046,14.810
208.576,-150.021,22.228
210.609,-150.021,22.202
212.642,-150.021,22.227
214.675,-150.021,22.203
216.708,-150.021,22.223
218.741,-150.021,22.250
220.774,-150.021,22.277
222.807,-150.021,22.214
224.841,-150.021,22.190
226.874,-150.021,22.609
228.907,-150.021,22.655
230.940,-150.021,22.583
232.973,-150.021,22.482
235.006,-150.021,22.196
237.039,-150.021,22.045
239.072,-150.021,21.948
241.105,-150.021,21.744
243.138,-150.021,21.565
245.171,-150.021,21.410
247.204,-150.021,21.278
249.237,-150.021,21.159
251.271,-150.021,21.104
253.304,-150.021,21.103
255.337,-150.021,21.166
257.370,-150.021,21.329
259.403,-150.021,21.505
261.436,-150.021,21.783
263.469,-150.021,22.149
265.502,-150.021,22.512
267.535,-150.021,22.675
269.568,-150.021,22.785
271.601,-150.021,22.605
273.634,-150.021,22.452
275.667,-150.021,21.979
277.700,-150.021,21.580
279.734,-150.021,21.148
281.767,-150.021,20.650
283.800,-150.021,20.169
285.833,-150.021,19.694
287.866,-150.021,19.256
289.899,-150.021,18.768
291.932,-150.021,18.033
293.965,-150.021,17.576
295.998,-150.021,17.124
298.031,-150.021,16.649
300.064,-150.021,16.156
302.097,-150.021,15.719
304.130,-150.021,15.155
306.164,-150.021,14.504
308.197,-150.021,14.314
310.230,-150.021,14.103
312.263,-150.021,13.983
314.296,-150.021,14.096
316.329,-150.021,14.143
318.362,-150.021,15.428
208.576,-147.996,22.691
210.609,-147.996,22.727
212.642,-147.996,22.752
214.675,-147.996,22.740
216.708,-147.996,22.960
218.741,-147.996,22.989
220.774,-147.996,23.075
222.807,-147.996,23.084
224.841,-147.996,23.091
226.874,-147.996,22.981
228.907,-147.996,22.923
230.940,-147.996,22.802
232.973,-147.996,22.725
235.006,-147.996,22.595
237.039,-147.996,22.502
239.072,-147.996,22.445
241.105,-147.996,22.321
243.138,-147.996,22.175
245.171,-147.996,22.017
247.204,-147.996,21.739
249.237,-147.996,21.618
251.271,-147.996,21.591
253.304,-147.996,21.600
255.337,-147.996,21.713
257.370,-147.996,21.918
259.403,-147.996,22.292
261.436,-147.996,22.623
263.469,-147.996,22.897
265.502,-147.996,23.166
267.535,-147.996,23.375
269.568,-147.996,23.498
271.601,-147.996,23.498
273.634,-147.996,23.285
275.667,-147.996,23.013
277.700,-147.996,22.611
279.734,-147.996,22.177
281.767,-147.996,21.700
283.800,-147.996,21.318
285.833,-147.996,20.883
287.866,-147.996,20.453
289.899,-147.996,20.027
291.932,-147.996,19.620
293.965,-147.996,19.169
295.998,-147.996,18.797
298.031,-147.996,18.364
300.064,-147.996,17.972
302.097,-147.996,17.483
304.130,-147.996,16.987
306.164,-147.996,16.513
308.197,-147.996,16.025
310.230,-147.996,15.503
312.263,-147.996,15.018
314.296,-147.996,14.610
316.329,-147.996,14.159
318.362,-147.996,13.881
208.576,-145.970,23.108
210.609,-145.970,23.053
212.642,-145.970,23.054
214.675,-145.970,23.039
216.708,-145.970,23.037
218.741,-145.970,23.143
220.774,-145.970,23.140
222.807,-145.970,23.148
224.841,-145.970,23.100
226.874,-145.970,23.070
228.907,-145.970,22.990
230.940,-145.970,22.867
232.973,-145.970,22.778
235.006,-145.970,22.695
237.039,-145.970,22.603
239.072,-145.970,22.493
241.105,-145.970,22.400
243.138,-145.970,22.209
245.171,-145.970,22.095
247.204,-145.970,22.028
249.237,-145.970,21.970
251.271,-145.970,21.905
253.304,-145.970,21.995
255.337,-145.970,22.197
257.370,-145.970,22.466
259.403,-145.970,22.781
261.436,-145.970,23.180
263.469,-145.970,23.672
265.502,-145.970,23.771
267.535,-145.970,24.098
269.568,-145.970,24.276
271.601,-145.970,24.225
273.634,-145.970,24.089
275.667,-145.970,23.860
277.700,-145.970,23.528
279.734,-145.970,23.105
281.767,-145.970,22.703
283.800,-145.970,22.276
285.833,-145.970,21.875
287.866,-145.970,21.447
289.899,-145.970,21.098
291.932,-145.970,20.676
293.965,-145.970,20.296
295.998,-145.970,19.850
298.031,-145.970,19.521
300.064,-145.970,19.034
302.097,-145.970,18.596
304.130,-145.970,18.048
306.164,-145.970,17.636
308.197,-145.970,17.197
310.230,-145.970,16.681
312.263,-145.970,16.196
