PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
208.576,-156.097,-41.153,-29.740,-26.758,-27.124,-27.780,-27.210,-28.359,-28.116,-26.817,-28.260,-32.613,-29.876,-34.364,-38.866,-35.110,-27.586,-25.477,-27.949,-30.710,-27.673,-27.104,-25.912,-32.079,-33.072,-29.229,-39.786,-38.469,-26.462,-28.458,-34.509,-27.581,-32.619,-42.003,-30.608,-32.928,-30.151,-26.213,-29.934,-29.886,-32.973,-40.113,-30.668,-27.750,-34.595,-37.832,-28.048,-31.864,-33.419,-23.560,-24.306,1.511,17.195,20.807,13.250,-8.346,-24.736,-30.035,-28.297,-31.736,-26.011,-24.217,-28.814,-42.744,-33.525,-35.102,-45.459,-52.072,-32.306,-28.834,-35.374,-37.662,-34.472,-31.039,-30.023,-31.575,-39.147,-30.588,-35.566,-30.990,-25.886,-33.530,-30.954,-25.381,-26.954,-37.212,-27.960,-30.259,-42.437,-25.160,-20.455,-21.543,-26.454,-30.881,-28.860,-35.557,-33.826,-27.379,-30.617,-45.188,-46.819,-33.155
210.609,-156.097,-28.116,-31.844,-40.245,-32.562,-25.590,-34.403,-24.776,-22.901,-28.261,-47.472,-36.821,-35.018,-37.725,-57.098,-46.745,-39.477,-24.447,-26.294,-35.974,-36.273,-36.772,-44.771,-28.872,-31.473,-28.205,-25.777,-24.844,-24.259,-28.835,-25.845,-23.900,-23.639,-26.055,-41.725,-27.087,-28.388,-33.216,-28.640,-37.059,-36.308,-32.013,-35.406,-32.625,-34.982,-43.788,-36.475,-46.904,-29.992,-28.856,-27.069,1.542,17.362,20.938,13.358,-8.385,-28.040,-24.509,-23.925,-28.662,-33.087,-28.179,-28.911,-29.077,-34.230,-33.155,-30.949,-29.682,-38.230,-31.720,-28.636,-32.978,-32.006,-39.552,-36.933,-29.186,-31.038,-46.798,-27.777,-23.530,-31.732,-24.938,-26.123,-44.775,-30.640,-27.594,-33.114,-41.975,-32.539,-38.223,-30.298,-32.201,-41.791,-30.223,-27.947,-31.990,-25.382,-35.187,-28.563,-24.349,-26.415,-26.258
212.642,-156.097,-29.663,-27.237,-26.480,-34.567,-30.789,-26.785,-32.422,-32.656,-27.790,-24.782,-32.627,-28.891,-25.930,-30.570,-35.352,-31.391,-27.520,-37.371,-32.775,-33.574,-29.505,-30.131,-38.468,-41.585,-31.742,-25.281,-30.149,-37.598,-36.605,-38.894,-27.390,-33.559,-32.935,-31.509,-37.058,-44.794,-42.240,-26.355,-24.165,-28.869,-32.848,-34.836,-29.466,-34.400,-37.507,-31.727,-46.872,-39.400,-29.488,-27.774,1.447,17.333,20.976,13.407,-8.707,-34.114,-25.293,-28.603,-28.924,-26.925,-28.375,-25.846,-33.225,-37.589,-37.262,-32.514,-38.456,-30.917,-28.814,-27.873,-26.253,-32.161,-31.291,-26.877,-27.617,-25.506,-25.952,-23.712,-22.460,-27.539,-32.554,-30.399,-25.929,-27.501,-41.606,-40.660,-36.797,-35.012,-24.987,-22.879,-23.893,-25.794,-27.637,-27.716,-28.635,-35.270,-35.465,-34.378,-27.113,-33.249,-30.432
214.675,-156.097,-31.428,-30.531,-25.568,-27.269,-36.027,-33.680,-51.861,-27.563,-28.870,-31.159,-25.601,-24.154,-32.060,-32.469,-27.369,-26.625,-32.281,-33.021,-31.763,-31.439,-41.586,-27.388,-34.064,-33.529,-26.093,-28.055,-45.686,-37.312,-32.752,-27.110,-30.075,-30.003,-26.201,-26.841,-28.115,-29.165,-35.950,-35.554,-38.640,-33.707,-35.377,-34.392,-42.246,-31.804,-43.398,-34.808,-27.399,-24.192,-26.099,-27.858,2.318,17.644,21.172,13.542,-8.763,-26.114,-25.602,-26.434,-29.735,-37.086,-30.948,-28.377,-32.129,-32.970,-34.615,-28.844,-27.181,-50.676,-30.731,-34.900,-30.774,-32.418,-38.256,-28.154,-45.668,-25.561,-31.279,-32.590,-27.019,-25.392,-30.850,-25.493,-27.243,-29.408,-37.345,-35.078,-37.493,-31.123,-32.525,-31.000,-28.567,-27.461,-33.297,-34.633,-29.272,-37.455,-25.150,-26.486,-35.181,-44.858,-32.636
216.708,-156.097,-29.734,-28.481,-27.645,-36.913,-38.089,-29.165,-24.871,-29.668,-39.602,-35.873,-32.319,-29.378,-34.777,-30.659,-29.100,-36.337,-34.418,-29.258,-31.335,-37.326,-36.227,-30.963,-27.152,-26.004,-36.172,-29.577,-33.511,-27.879,-24.557,-29.574,-38.535,-34.134,-36.606,-38.854,-29.398,-30.410,-31.515,-29.420,-30.038,-25.987,-25.825,-24.814,-28.932,-40.064,-36.031,-34.747,-35.021,-33.281,-29.061,-26.688,1.755,17.583,21.184,13.517,-10.759,-34.837,-34.651,-37.752,-49.160,-33.152,-29.973,-25.846,-28.096,-32.819,-30.940,-34.232,-37.028,-29.888,-27.713,-27.097,-27.426,-28.744,-28.612,-29.274,-30.131,-33.171,-37.969,-27.738,-27.141,-24.536,-22.657,-24.441,-28.949,-30.905,-26.116,-23.371,-24.127,-28.102,-29.437,-26.695,-28.473,-37.611,-34.425,-25.055,-27.412,-34.826,-33.400,-37.245,-28.274,-33.968,-43.760
218.741,-156.097,-35.287,-36.167,-43.067,-31.436,-23.046,-21.581,-22.842,-31.025,-42.464,-33.049,-29.608,-25.164,-24.203,-29.201,-30.116,-27.996,-29.259,-43.298,-25.534,-26.419,-29.519,-28.498,-29.075,-29.186,-27.692,-30.670,-33.117,-32.418,-34.284,-32.057,-32.465,-27.898,-25.428,-30.171,-42.489,-33.195,-25.723,-30.861,-40.794,-28.234,-26.233,-30.485,-41.001,-28.913,-32.379,-30.806,-24.429,-28.864,-31.634,-34.071,1.883,17.685,21.291,13.697,-8.766,-32.256,-35.378,-27.438,-23.848,-24.378,-29.036,-27.506,-28.301,-28.442,-31.266,-31.657,-26.616,-23.479,-27.990,-32.222,-37.682,-41.545,-41.764,-48.412,-35.902,-28.624,-23.258,-22.308,-28.957,-30.330,-24.539,-28.611,-25.795,-28.113,-32.324,-34.389,-31.501,-29.008,-29.679,-32.865,-41.593,-33.440,-31.831,-29.939,-28.021,-28.828,-24.612,-26.461,-24.493,-22.696,-27.611
220.774,-156.097,-24.657,-25.126,-23.858,-24.893,-32.837,-29.395,-34.662,-34.221,-26.058,-27.077,-31.628,-31.219,-33.521,-31.418,-27.448,-34.526,-42.912,-45.658,-33.430,-27.804,-25.452,-26.232,-28.156,-30.515,-31.395,-34.151,-30.109,-39.841,-37.166,-25.718,-23.322,-31.802,-32.222,-30.688,-36.944,-27.574,-26.569,-31.064,-32.369,-27.459,-33.881,-38.921,-37.353,-30.541,-27.625,-28.316,-30.454,-29.468,-36.333,-30.461,2.049,17.740,21.341,13.719,-9.714,-32.167,-29.831,-29.345,-28.304,-27.555,-25.002,-26.863,-44.114,-34.245,-29.954,-28.685,-29.285,-29.206,-42.030,-38.733,-24.901,-26.521,-27.678,-28.964,-27.320,-24.222,-25.213,-33.539,-40.937,-38.535,-39.095,-37.576,-32.993,-32.289,-31.759,-31.525,-33.636,-40.991,-35.930,-29.730,-32.663,-37.200,-32.985,-33.571,-27.378,-29.287,-36.462,-33.075,-30.092,-29.010,-27.355
222.807,-156.097,-33.711,-37.577,-31.351,-32.710,-31.944,-35.744,-30.134,-32.568,-37.332,-34.261,-31.894,-34.483,-31.427,-25.034,-23.789,-26.263,-26.712,-25.919,-33.553,-31.410,-35.661,-33.648,-25.237,-28.203,-28.980,-30.108,-40.106,-37.247,-30.625,-32.614,-32.078,-29.140,-35.440,-29.270,-31.107,-34.387,-32.867,-27.340,-26.286,-26.550,-26.146,-28.529,-39.360,-28.199,-29.455,-33.008,-48.136,-35.974,-41.474,-30.159,1.872,17.825,21.438,13.794,-9.200,-35.335,-34.867,-29.132,-26.722,-40.884,-36.431,-27.121,-23.353,-28.473,-33.641,-29.513,-27.388,-32.107,-32.106,-26.061,-29.735,-46.043,-32.219,-25.852,-26.071,-24.678,-29.064,-43.786,-37.142,-40.433,-30.431,-25.137,-26.849,-26.905,-25.357,-26.020,-25.044,-27.657,-27.191,-28.203,-34.156,-38.385,-31.977,-33.356,-26.090,-35.973,-30.161,-27.195,-35.182,-35.418,-39.825
224.841,-156.097,-24.252,-35.222,-30.719,-25.608,-24.052,-28.488,-28.742,-25.021,-25.756,-36.272,-38.392,-29.063,-23.800,-27.540,-40.438,-31.359,-40.152,-31.039,-38.991,-34.817,-37.267,-42.657,-33.772,-26.316,-24.437,-29.359,-36.452,-25.164,-22.843,-28.254,-25.339,-22.963,-24.110,-27.891,-25.507,-28.493,-39.590,-43.041,-27.788,-24.552,-28.584,-32.769,-29.793,-35.951,-31.670,-29.960,-32.738,-29.511,-33.413,-39.734,2.215,17.922,21.493,13.819,-10.551,-27.388,-25.816,-26.336,-32.553,-41.738,-31.322,-30.175,-31.779,-35.804,-25.703,-29.312,-39.438,-32.505,-27.594,-27.239,-27.678,-29.144,-27.851,-29.905,-45.008,-29.649,-24.716,-25.413,-26.878,-25.286,-24.370,-29.591,-34.539,-40.370,-31.971,-38.418,-29.015,-27.820,-32.547,-35.371,-37.306,-34.669,-33.083,-37.201,-25.774,-22.972,-21.758,-23.314,-27.124,-24.373,-25.082
226.874,-156.097,-31.942,-29.938,-27.935,-26.156,-30.266,-29.958,-31.813,-29.335,-26.590,-31.916,-47.322,-32.056,-29.503,-40.504,-33.727,-22.405,-24.483,-32.460,-31.783,-28.800,-42.655,-32.836,-38.581,-28.060,-24.775,-26.297,-29.617,-29.255,-24.346,-25.857,-29.598,-34.588,-30.739,-26.544,-25.675,-30.216,-31.313,-24.896,-22.274,-25.743,-33.045,-29.059,-24.971,-27.850,-36.448,-43.242,-35.563,-27.787,-36.085,-25.859,1.973,17.904,21.534,13.980,-7.363,-25.163,-26.620,-33.897,-30.652,-33.205,-30.766,-31.422,-29.716,-23.974,-27.030,-30.826,-26.142,-27.206,-33.358,-40.182,-32.814,-31.431,-32.990,-36.249,-33.042,-30.240,-36.718,-46.261,-31.728,-40.909,-36.506,-33.822,-39.523,-36.144,-32.719,-37.675,-33.285,-32.454,-36.437,-35.019,-45.602,-32.936,-33.391,-41.359,-38.608,-34.350,-33.512,-25.820,-27.334,-39.039,-23.925
