PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
208.576,-156.097,20.807
210.609,-156.097,20.938
212.642,-156.097,20.976
214.675,-156.097,21.172
216.708,-156.097,21.184
218.741,-156.097,21.291
220.774,-156.097,21.341
222.807,-156.097,21.438
224.841,-156.097,21.493
226.874,-156.097,21.534
228.907,-156.097,21.584
230.940,-156.097,21.610
232.973,-156.097,21.591
235.006,-156.097,21.559
237.039,-156.097,21.617
239.072,-156.097,21.659
241.105,-156.097,21.687
243.138,-156.097,21.665
245.171,-156.097,21.695
247.204,-156.097,21.663
249.237,-156.097,21.650
251.271,-156.097,21.596
253.304,-156.097,21.579
255.337,-156.097,21.585
257.370,-156.097,21.550
259.403,-156.097,21.530
261.436,-156.097,21.539
263.469,-156.097,21.580
265.502,-156.097,21.604
267.535,-156.097,21.679
269.568,-156.097,21.704
271.601,-156.097,21.778
273.634,-156.097,21.866
275.667,-156.097,21.950
277.700,-156.097,22.038
279.734,-156.097,22.145
281.767,-156.097,22.265
283.800,-156.097,22.349
285.833,-156.097,22.469
287.866,-156.097,22.534
289.899,-156.097,22.563
291.932,-156.097,22.677
293.965,-156.097,22.730
295.998,-156.097,22.773
298.031,-156.097,22.773
300.064,-156.097,22.836
302.097,-156.097,22.818
304.130,-156.097,22.798
306.164,-156.097,22.759
308.197,-156.097,22.766
310.230,-156.097,22.685
312.263,-156.097,22.604
314.296,-156.097,22.573
316.329,-156.097,22.426
318.362,-156.097,22.347
208.576,-154.071,21.050
210.609,-154.071,21.197
212.642,-154.071,21.303
214.675,-154.071,21.439
216.708,-154.071,21.562
218.741,-154.071,21.629
220.774,-154.071,21.744
222.807,-154.071,21.794
224.841,-154.071,21.877
226.874,-154.071,21.912
228.907,-154.071,21.943
230.940,-154.071,21.945
232.973,-154.071,21.985
235.006,-154.071,22.000
237.039,-154.071,21.634
239.072,-154.071,21.744
241.105,-154.071,21.798
243.138,-154.071,21.816
245.171,-154.071,21.805
247.204,-154.071,21.841
249.237,-154.071,21.814
251.271,-154.071,21.817
253.304,-154.071,21.764
255.337,-154.071,21.746
257.370,-154.071,21.770
259.403,-154.071,21.795
261.436,-154.071,21.794
263.469,-154.071,21.852
265.502,-154.071,21.852
267.535,-154.071,21.986
269.568,-154.071,21.989
271.601,-154.071,22.115
273.634,-154.071,22.205
275.667,-154.071,22.279
