PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
231.407,-195.225,19.083
233.446,-195.225,19.207
235.484,-195.225,19.223
237.523,-195.225,19.374
239.561,-195.225,19.529
241.599,-195.225,19.629
243.638,-195.225,19.767
245.676,-195.225,20.183
247.714,-195.225,20.404
249.753,-195.225,20.689
251.791,-195.225,20.956
253.830,-195.225,21.047
255.868,-195.225,20.645
257.906,-195.225,20.351
259.945,-195.225,20.195
261.983,-195.225,20.027
264.021,-195.225,19.971
266.060,-195.225,19.852
268.098,-195.225,19.807
270.137,-195.225,19.628
272.175,-195.225,19.282
274.213,-195.225,18.737
276.252,-195.225,18.348
278.290,-195.225,17.859
280.328,-195.225,17.234
282.367,-195.225,16.673
284.405,-195.225,16.119
286.444,-195.225,15.244
288.482,-195.225,14.464
290.520,-195.225,13.640
292.559,-195.225,12.641
294.597,-195.225,11.797
296.635,-195.225,10.580
298.674,-195.225,9.235
300.712,-195.225,8.280
302.751,-195.225,6.429
304.789,-195.225,5.368
306.827,-195.225,3.109
308.866,-195.225,1.726
310.904,-195.225,0.230
312.942,-195.225,-0.934
314.981,-195.225,-1.310
317.019,-195.225,-0.015
319.058,-195.225,1.514
321.096,-195.225,2.666
323.134,-195.225,4.234
325.173,-195.225,5.463
327.211,-195.225,6.480
329.249,-195.225,7.188
331.288,-195.225,7.698
333.326,-195.225,8.445
335.365,-195.225,8.816
337.403,-195.225,9.127
339.441,-195.225,9.571
341.480,-195.225,9.741
231.407,-193.172,-0.300
233.446,-193.172,-3.233
235.484,-193.172,-7.633
237.523,-193.172,-10.505
239.561,-193.172,-7.761
241.599,-193.172,-4.697
243.638,-193.172,-2.507
245.676,-193.172,0.307
247.714,-193.172,1.216
249.753,-193.172,2.587
251.791,-193.172,3.794
253.830,-193.172,4.987
255.868,-193.172,5.740
257.906,-193.172,6.615
259.945,-193.172,7.062
261.983,-193.172,7.655
264.021,-193.172,7.972
266.060,-193.172,8.411
268.098,-193.172,8.633
270.137,-193.172,8.864
272.175,-193.172,8.885
274.213,-193.172,8.694
276.252,-193.172,8.742
278.290,-193.172,8.688
280.328,-193.172,8.753
282.367,-193.172,8.846
284.405,-193.172,8.815
286.444,-193.172,8.466
288.482,-193.172,8.131
290.520,-193.172,7.671
292.559,-193.172,7.228
294.597,-193.172,6.324
296.635,-193.172,5.412
298.674,-193.172,3.835
300.712,-193.172,1.452
302.751,-193.172,-1.617
304.789,-193.172,-6.895
306.827,-193.172,-17.490
308.866,-193.172,-11.309
310.904,-193.172,-4.144
312.942,-193.172,0.279
314.981,-193.172,2.219
317.019,-193.172,4.146
319.058,-193.172,5.756
321.096,-193.172,6.897
323.134,-193.172,7.873
325.173,-193.172,9.670
327.211,-193.172,9.993
329.249,-193.172,10.751
331.288,-193.172,11.296
333.326,-193.172,11.925
335.365,-193.172,12.300
337.403,-193.172,12.756
339.441,-193.172,13.021
341.480,-193.172,13.511
231.407,-191.118,13.888
233.446,-191.118,11.937
235.484,-191.118,12.129
237.523,-191.118,12.376
239.561,-191.118,12.380
241.599,-191.118,12.370
243.638,-191.118,12.496
245.676,-191.118,12.403
247.714,-191.118,12.299
249.753,-191.118,12.275
251.791,-191.118,12.262
253.830,-191.118,12.096
255.868,-191.118,11.981
257.906,-191.118,11.779
259.945,-191.118,11.692
261.983,-191.118,11.482
264.021,-191.118,11.199
266.060,-191.118,11.058
268.098,-191.118,10.864
270.137,-191.118,10.605
272.175,-191.118,10.333
274.213,-191.118,9.891
276.252,-191.118,9.449
278.290,-191.118,9.024
280.328,-191.118,8.668
282.367,-191.118,8.011
284.405,-191.118,7.561
286.444,-191.118,6.830
288.482,-191.118,6.075
290.520,-191.118,5.049
292.559,-191.118,3.748
294.597,-191.118,2.300
296.635,-191.118,0.421
298.674,-191.118,-1.576
300.712,-191.118,-4.379
302.751,-191.118,-4.913
304.789,-191.118,-3.743
306.827,-191.118,-0.778
308.866,-191.118,1.006
310.904,-191.118,3.045
312.942,-191.118,4.190
314.981,-191.118,5.616
317.019,-191.118,6.858
319.058,-191.118,8.153
321.096,-191.118,8.936
323.134,-191.118,9.712
325.173,-191.118,10.262
327.211,-191.118,12.222
329.249,-191.118,12.778
331.288,-191.118,13.293
333.326,-191.118,13.627
335.365,-191.118,14.132
337.403,-191.118,14.415
339.441,-191.118,14.783
341.480,-191.118,15.013
231.407,-189.065,16.659
233.446,-189.065,16.675
235.484,-189.065,16.576
237.523,-189.065,16.542
239.561,-189.065,16.539
241.599,-189.065,16.336
243.638,-189.065,16.243
245.676,-189.065,16.146
247.714,-189.065,15.994
249.753,-189.065,15.771
251.791,-189.065,15.541
253.830,-189.065,15.394
255.868,-189.065,15.048
257.906,-189.065,14.706
259.945,-189.065,14.439
261.983,-189.065,14.039
264.021,-189.065,13.723
266.060,-189.065,13.300
268.098,-189.065,12.816
270.137,-189.065,12.420
272.175,-189.065,11.845
274.213,-189.065,11.368
276.252,-189.065,10.650
278.290,-189.065,9.969
280.328,-189.065,9.371
282.367,-189.065,8.629
284.405,-189.065,7.815
286.444,-189.065,7.167
288.482,-189.065,6.253
290.520,-189.065,5.271
292.559,-189.065,4.457
294.597,-189.065,3.748
296.635,-189.065,3.356
298.674,-189.065,3.258
300.712,-189.065,3.030
302.751,-189.065,4.264
304.789,-189.065,5.320
306.827,-189.065,6.574
308.866,-189.065,7.233
310.904,-189.065,8.011
312.942,-189.065,8.982
314.981,-189.065,9.316
317.019,-189.065,10.194
319.058,-189.065,10.828
321.096,-189.065,11.389
323.134,-189.065,12.069
325.173,-189.065,12.486
327.211,-189.065,12.890
329.249,-189.065,13.325
331.288,-189.065,13.639
333.326,-189.065,14.130
335.365,-189.065,14.535
337.403,-189.065,14.870
339.441,-189.065,15.090
341.480,-189.065,15.286
231.407,-187.012,16.593
233.446,-187.012,16.499
235.484,-187.012,16.507
237.523,-187.012,16.368
239.561,-187.012,16.207
241.599,-187.012,16.085
243.638,-187.012,15.934
245.676,-187.012,15.813
247.714,-187.012,15.639
249.753,-187.012,15.364
251.791,-187.012,15.217
253.830,-187.012,14.815
255.868,-187.012,14.553
257.906,-187.012,14.264
259.945,-187.012,14.385
261.983,-187.012,13.994
264.021,-187.012,13.640
266.060,-187.012,13.163
268.098,-187.012,12.597
270.137,-187.012,12.065
272.175,-187.012,11.553
274.213,-187.012,10.910
276.252,-187.012,10.245
278.290,-187.012,9.565
280.328,-187.012,8.672
282.367,-187.012,8.075
284.405,-187.012,6.983
286.444,-187.012,6.098
288.482,-187.012,5.238
290.520,-187.012,4.180
292.559,-187.012,3.276
294.597,-187.012,2.272
296.635,-187.012,2.436
298.674,-187.012,2.681
300.712,-187.012,2.821
302.751,-187.012,3.894
304.789,-187.012,4.975
306.827,-187.012,5.881
308.866,-187.012,6.809
310.904,-187.012,7.675
312.942,-187.012,8.804
314.981,-187.012,9.658
317.019,-187.012,10.348
319.058,-187.012,11.030
321.096,-187.012,11.788
323.134,-187.012,12.229
325.173,-187.012,12.799
