PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
231.407,-195.225,20.387
233.446,-195.225,20.564
235.484,-195.225,20.690
237.523,-195.225,20.773
239.561,-195.225,20.812
241.599,-195.225,20.845
243.638,-195.225,20.878
245.676,-195.225,20.874
247.714,-195.225,20.891
249.753,-195.225,20.867
251.791,-195.225,20.841
253.830,-195.225,20.807
255.868,-195.225,20.713
257.906,-195.225,20.655
259.945,-195.225,20.541
261.983,-195.225,19.593
264.021,-195.225,19.426
266.060,-195.225,18.378
268.098,-195.225,18.536
270.137,-195.225,20.539
272.175,-195.225,21.777
274.213,-195.225,22.496
276.252,-195.225,22.693
278.290,-195.225,22.818
280.328,-195.225,22.763
282.367,-195.225,22.633
284.405,-195.225,22.498
286.444,-195.225,22.314
288.482,-195.225,22.137
290.520,-195.225,21.964
292.559,-195.225,21.759
294.597,-195.225,21.580
296.635,-195.225,21.392
298.674,-195.225,21.263
300.712,-195.225,21.155
302.751,-195.225,21.025
304.789,-195.225,20.871
306.827,-195.225,20.855
308.866,-195.225,20.741
310.904,-195.225,20.718
312.942,-195.225,20.727
314.981,-195.225,20.696
317.019,-195.225,20.749
319.058,-195.225,20.771
321.096,-195.225,20.781
323.134,-195.225,20.801
325.173,-195.225,20.812
327.211,-195.225,20.844
329.249,-195.225,20.895
331.288,-195.225,20.868
333.326,-195.225,20.888
335.365,-195.225,20.888
337.403,-195.225,20.886
339.441,-195.225,20.815
341.480,-195.225,20.837
231.407,-193.172,6.916
233.446,-193.172,7.782
235.484,-193.172,8.332
237.523,-193.172,8.850
239.561,-193.172,9.474
241.599,-193.172,10.231
243.638,-193.172,10.738
245.676,-193.172,11.322
247.714,-193.172,11.808
249.753,-193.172,12.444
251.791,-193.172,13.003
253.830,-193.172,13.457
255.868,-193.172,13.943
257.906,-193.172,14.385
259.945,-193.172,14.761
261.983,-193.172,15.269
264.021,-193.172,15.640
266.060,-193.172,15.893
268.098,-193.172,16.034
270.137,-193.172,16.309
272.175,-193.172,16.490
274.213,-193.172,20.267
276.252,-193.172,18.788
278.290,-193.172,22.001
280.328,-193.172,21.973
282.367,-193.172,22.325
284.405,-193.172,22.346
286.444,-193.172,22.235
288.482,-193.172,22.109
290.520,-193.172,21.952
292.559,-193.172,21.748
294.597,-193.172,21.587
296.635,-193.172,21.398
298.674,-193.172,21.300
300.712,-193.172,21.093
302.751,-193.172,21.015
304.789,-193.172,20.913
306.827,-193.172,20.837
308.866,-193.172,20.799
310.904,-193.172,20.726
312.942,-193.172,20.743
314.981,-193.172,20.707
317.019,-193.172,20.771
319.058,-193.172,20.794
321.096,-193.172,20.809
323.134,-193.172,20.861
325.173,-193.172,20.856
327.211,-193.172,20.956
329.249,-193.172,20.976
331.288,-193.172,21.040
333.326,-193.172,21.019
335.365,-193.172,21.037
337.403,-193.172,21.045
339.441,-193.172,21.046
341.480,-193.172,21.044
231.407,-191.118,11.595
233.446,-191.118,11.720
235.484,-191.118,12.004
