PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
210.478,-158.029,-51.172,-37.086,-28.749,-28.660,-22.505,-20.695,-21.453,-23.747,-31.115,-34.072,-33.158,-34.967,-28.178,-24.594,-22.588,-24.955,-30.070,-42.608,-37.823,-34.262,-25.342,-26.996,-39.277,-27.718,-29.271,-31.876,-24.486,-25.417,-23.468,-21.293,-26.146,-28.597,-25.246,-24.499,-28.402,-31.739,-37.987,-32.901,-28.236,-26.910,-28.878,-27.388,-29.814,-27.553,-25.515,-22.659,-24.521,-30.353,-33.889,-24.747,1.941,13.428,11.715,-0.638,-27.587,-29.022,-32.198,-35.356,-26.425,-27.073,-29.154,-31.619,-28.731,-24.476,-23.559,-22.831,-29.058,-37.484,-32.821,-29.777,-28.766,-35.272,-31.958,-28.203,-24.921,-23.602,-30.248,-30.498,-35.224,-39.996,-28.944,-26.777,-38.829,-37.470,-30.039,-28.898,-32.469,-43.663,-37.612,-34.102,-32.930,-37.928,-28.239,-31.984,-31.305,-27.293,-32.254,-39.762,-31.491,-37.873,-31.733
212.502,-158.029,-34.245,-26.993,-23.372,-30.524,-32.518,-24.950,-26.273,-35.023,-36.421,-33.888,-28.022,-23.995,-21.519,-22.348,-26.328,-20.395,-19.365,-25.157,-26.964,-25.421,-25.510,-23.452,-24.936,-26.561,-31.901,-38.267,-33.726,-44.150,-32.980,-29.980,-35.576,-24.034,-21.946,-28.360,-25.735,-23.748,-28.364,-35.576,-32.128,-33.197,-39.694,-31.130,-26.913,-30.092,-31.234,-33.061,-31.763,-28.023,-23.969,-20.472,2.026,13.424,11.702,-0.776,-22.794,-23.195,-22.543,-32.075,-38.816,-33.740,-33.151,-36.288,-28.725,-30.230,-32.122,-34.148,-43.675,-29.805,-25.736,-26.462,-35.421,-35.427,-29.306,-28.860,-29.227,-27.386,-24.392,-21.763,-24.134,-29.549,-40.372,-28.130,-30.054,-39.443,-34.895,-25.270,-23.509,-26.752,-37.899,-22.954,-25.023,-31.820,-40.666,-27.827,-24.478,-30.498,-28.978,-39.669,-27.452,-25.713,-35.214
214.526,-158.029,-30.385,-37.744,-40.127,-28.617,-26.831,-34.586,-30.619,-25.373,-32.055,-35.301,-30.652,-25.542,-28.384,-35.365,-38.382,-33.967,-29.604,-34.146,-40.602,-32.191,-28.172,-24.806,-23.393,-25.560,-32.467,-48.679,-29.947,-26.018,-25.233,-25.763,-27.794,-30.725,-26.228,-24.784,-32.538,-22.477,-28.915,-39.602,-36.388,-34.254,-24.626,-26.545,-39.235,-35.746,-31.945,-39.517,-36.511,-30.308,-23.958,-50.557,1.661,13.328,11.642,-0.583,-38.421,-34.573,-30.341,-25.642,-31.032,-22.874,-26.576,-26.156,-23.631,-24.579,-32.409,-36.454,-31.486,-24.857,-24.411,-31.507,-39.435,-36.671,-33.636,-35.989,-48.438,-32.141,-24.676,-24.131,-23.917,-28.453,-33.932,-31.800,-39.683,-32.874,-26.864,-27.865,-25.424,-26.630,-32.577,-28.626,-30.499,-40.340,-36.992,-37.011,-28.711,-26.997,-28.561,-31.873,-53.513,-32.857,-27.266
216.550,-158.029,-24.939,-25.796,-33.207,-31.969,-25.031,-26.410,-31.429,-28.480,-24.509,-27.151,-35.706,-24.304,-25.876,-27.819,-25.736,-33.633,-31.493,-27.788,-29.688,-28.783,-27.464,-36.869,-23.519,-25.992,-32.083,-24.512,-35.014,-31.982,-32.006,-27.965,-37.541,-31.709,-33.406,-33.025,-37.690,-33.462,-37.538,-38.282,-36.408,-35.457,-30.208,-25.957,-24.959,-26.564,-33.250,-45.668,-31.360,-27.384,-31.698,-26.675,2.090,13.408,11.678,-0.493,-29.592,-29.875,-27.484,-40.516,-34.129,-32.575,-26.527,-26.066,-28.308,-32.085,-29.160,-32.606,-29.601,-30.754,-31.051,-36.351,-37.783,-35.787,-27.517,-30.754,-34.078,-27.185,-25.756,-27.238,-34.584,-25.397,-27.645,-34.064,-23.100,-25.648,-41.649,-39.901,-32.487,-41.926,-31.263,-28.367,-30.112,-32.309,-32.545,-39.877,-33.751,-36.686,-32.597,-30.500,-31.010,-26.331,-24.576
218.574,-158.029,-27.469,-33.614,-30.667,-26.630,-48.297,-32.564,-40.141,-33.003,-29.905,-27.416,-32.347,-32.517,-26.225,-25.447,-26.346,-32.297,-28.853,-34.665,-38.264,-30.686,-31.973,-35.318,-50.770,-38.051,-33.237,-36.221,-27.353,-28.078,-35.386,-46.379,-45.545,-41.669,-30.478,-36.118,-33.161,-31.177,-25.582,-28.351,-25.636,-28.390,-37.868,-40.400,-33.820,-31.350,-29.242,-29.017,-32.346,-44.688,-36.169,-23.509,2.103,13.471,11.757,-0.573,-24.987,-28.906,-39.248,-27.432,-24.472,-25.315,-33.680,-28.836,-26.821,-37.293,-31.708,-36.459,-30.413,-32.596,-44.942,-34.831,-40.470,-34.851,-30.485,-28.658,-26.854,-26.719,-26.471,-25.329,-26.675,-27.158,-29.010,-30.958,-28.840,-31.049,-28.558,-25.611,-38.367,-36.501,-41.710,-41.037,-35.723,-26.603,-24.644,-28.559,-30.878,-50.046,-30.566,-37.755,-26.449,-24.434,-30.139
220.598,-158.029,-35.238,-28.987,-35.776,-27.271,-25.812,-31.216,-32.639,-30.872,-31.650,-28.674,-30.398,-31.177,-24.746,-25.085,-24.951,-25.717,-27.793,-33.756,-32.396,-29.215,-34.711,-38.869,-28.418,-27.248,-23.508,-21.589,-27.743,-33.833,-35.682,-38.360,-32.099,-21.816,-22.817,-26.767,-27.258,-33.593,-28.196,-28.386,-27.077,-34.522,-36.560,-36.743,-34.793,-35.627,-26.413,-23.754,-31.956,-32.661,-25.462,-29.764,1.892,13.623,11.953,-0.037,-30.214,-38.410,-35.004,-35.078,-26.209,-24.076,-39.315,-30.937,-31.991,-30.656,-26.562,-30.413,-25.660,-31.939,-21.878,-23.890,-28.983,-27.615,-31.104,-32.219,-28.716,-29.586,-23.934,-20.197,-18.509,-19.751,-25.220,-32.279,-29.676,-32.228,-42.271,-31.747,-25.992,-29.515,-31.244,-29.613,-31.831,-31.089,-27.838,-27.454,-25.639,-26.965,-34.180,-27.899,-26.767,-27.169,-30.933
222.622,-158.029,-28.619,-25.625,-35.907,-27.908,-28.780,-28.042,-27.467,-25.626,-33.055,-27.219,-24.858,-28.654,-27.038,-28.318,-31.206,-25.758,-22.298,-28.901,-30.420,-25.660,-35.282,-30.605,-27.029,-29.326,-34.976,-29.148,-22.642,-23.745,-29.009,-29.712,-28.404,-29.058,-27.443,-26.533,-45.062,-31.756,-32.671,-26.578,-30.206,-29.150,-27.462,-30.048,-31.163,-34.041,-27.660,-19.879,-21.428,-34.787,-34.190,-25.401,2.061,13.685,12.037,0.031,-33.426,-31.709,-26.050,-28.944,-29.928,-22.935,-22.645,-26.429,-33.265,-37.860,-32.202,-29.113,-26.279,-29.585,-28.995,-26.306,-32.063,-28.199,-30.363,-32.223,-27.059,-22.864,-23.717,-23.183,-25.478,-25.629,-24.855,-34.484,-34.242,-35.819,-33.998,-34.122,-31.188,-27.406,-33.306,-39.645,-27.746,-25.132,-25.022,-24.879,-27.237,-38.422,-44.202,-31.283,-30.068,-29.230,-23.700
224.646,-158.029,-27.128,-26.766,-37.099,-33.375,-37.485,-35.778,-38.564,-33.799,-32.644,-28.832,-31.999,-33.122,-25.665,-20.057,-21.654,-29.887,-28.866,-29.682,-31.666,-35.546,-28.224,-29.492,-27.758,-25.003,-27.978,-29.196,-33.374,-35.598,-31.317,-28.553,-30.807,-32.159,-35.513,-27.403,-24.408,-40.075,-27.855,-29.572,-28.363,-31.826,-31.584,-24.824,-24.344,-21.671,-19.478,-26.564,-28.672,-27.030,-27.764,-26.779,1.950,13.765,12.096,-0.026,-24.883,-34.272,-36.363,-29.612,-27.740,-31.082,-28.011,-24.881,-25.211,-30.691,-33.065,-25.045,-25.908,-36.579,-38.245,-31.723,-31.109,-31.412,-25.776,-23.654,-26.673,-28.861,-29.475,-27.338,-34.292,-29.061,-29.710,-30.359,-33.035,-26.536,-28.065,-34.446,-26.204,-34.470,-34.139,-30.915,-33.851,-30.295,-26.639,-29.040,-37.119,-36.571,-25.670,-27.107,-28.256,-29.189,-32.497
226.670,-158.029,-25.200,-29.700,-27.137,-25.433,-30.921,-39.434,-32.689,-25.506,-36.798,-42.390,-48.741,-41.422,-30.196,-28.858,-24.047,-26.584,-32.161,-27.382,-37.640,-40.180,-35.089,-31.751,-52.101,-37.336,-34.063,-31.025,-38.795,-29.514,-26.125,-30.883,-29.374,-29.693,-27.976,-32.711,-29.559,-30.457,-32.515,-28.352,-26.598,-28.434,-25.028,-35.199,-34.851,-25.784,-24.491,-33.933,-43.033,-25.508,-22.352,-25.695,2.447,14.013,12.380,0.511,-23.797,-22.644,-24.281,-29.724,-29.173,-23.594,-24.171,-25.901,-30.390,-32.963,-28.890,-30.589,-38.737,-32.977,-35.518,-31.493,-35.431,-34.580,-40.523,-33.497,-30.033,-30.955,-33.900,-28.841,-25.760,-28.735,-33.023,-27.223,-25.847,-33.987,-29.342,-30.027,-33.311,-34.370,-32.144,-34.468,-26.830,-37.701,-35.259,-30.001,-32.166,-30.221,-23.842,-30.535,-28.233,-30.498,-39.673
228.694,-158.029,-28.533,-35.483,-32.483,-27.204,-25.462,-44.020,-24.186,-22.046,-25.908,-25.354,-23.770,-35.244,-25.321,-24.170,-30.306,-29.424,-23.363,-23.764,-23.846,-25.377,-31.912,-31.138,-22.112,-23.262,-29.377,-28.042,-29.120,-42.651,-35.885,-25.459,-25.399,-30.150,-25.436,-24.195,-29.911,-30.612,-24.966,-29.518,-35.337,-61.737,-31.358,-27.826,-26.300,-28.395,-26.864,-29.673,-34.189,-25.157,-22.095,-22.068,2.586,14.180,12.503,0.530,-26.050,-34.230,-27.911,-32.717,-32.228,-34.714,-43.359,-47.037,-36.856,-39.833,-33.938,-35.711,-39.075,-30.663,-28.989,-33.681,-37.787,-25.420,-33.364,-29.184,-30.920,-31.442,-29.599,-35.709,-32.669,-30.947,-25.431,-27.827,-39.989,-32.531,-29.643,-29.955,-28.963,-27.747,-38.170,-21.352,-19.669,-28.192,-39.933,-33.738,-39.463,-50.849,-44.031,-29.391,-25.354,-35.077,-33.563
