PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
210.478,-158.029,13.428
212.502,-158.029,13.424
214.526,-158.029,13.328
216.550,-158.029,13.408
218.574,-158.029,13.471
220.598,-158.029,13.623
222.622,-158.029,13.685
224.646,-158.029,13.765
226.670,-158.029,14.013
228.694,-158.029,14.180
230.718,-158.029,14.305
232.742,-158.029,14.413
234.765,-158.029,14.232
236.789,-158.029,14.385
238.813,-158.029,14.516
240.837,-158.029,14.783
242.861,-158.029,14.883
244.885,-158.029,15.358
246.909,-158.029,15.807
248.933,-158.029,16.191
250.957,-158.029,16.396
252.981,-158.029,16.833
255.005,-158.029,17.174
257.029,-158.029,17.491
259.052,-158.029,17.802
261.076,-158.029,18.155
263.100,-158.029,18.352
265.124,-158.029,18.642
267.148,-158.029,18.858
269.172,-158.029,18.983
271.196,-158.029,19.177
273.220,-158.029,19.260
275.244,-158.029,19.358
277.268,-158.029,19.547
279.292,-158.029,19.602
281.316,-158.029,19.762
283.339,-158.029,19.939
285.363,-158.029,20.024
287.387,-158.029,20.128
289.411,-158.029,20.270
291.435,-158.029,20.369
293.459,-158.029,20.497
295.483,-158.029,20.610
297.507,-158.029,20.720
299.531,-158.029,20.827
301.555,-158.029,20.930
303.579,-158.029,21.124
305.603,-158.029,21.163
307.627,-158.029,21.179
309.650,-158.029,21.197
311.674,-158.029,21.202
313.698,-158.029,21.174
315.722,-158.029,21.102
317.746,-158.029,21.007
319.770,-158.029,20.940
210.478,-155.982,13.692
212.502,-155.982,13.837
214.526,-155.982,14.043
216.550,-155.982,14.212
218.574,-155.982,14.423
220.598,-155.982,14.599
222.622,-155.982,14.771
224.646,-155.982,14.875
226.670,-155.982,15.130
228.694,-155.982,15.369
230.718,-155.982,15.546
232.742,-155.982,15.808
234.765,-155.982,15.995
236.789,-155.982,16.192
238.813,-155.982,16.275
240.837,-155.982,16.412
242.861,-155.982,16.588
244.885,-155.982,16.729
246.909,-155.982,16.870
248.933,-155.982,17.044
250.957,-155.982,17.206
252.981,-155.982,17.385
255.005,-155.982,17.489
257.029,-155.982,17.765
259.052,-155.982,18.081
261.076,-155.982,18.351
263.100,-155.982,18.562
265.124,-155.982,18.811
267.148,-155.982,19.013
269.172,-155.982,19.245
271.196,-155.982,19.383
273.220,-155.982,19.489
275.244,-155.982,19.654
277.268,-155.982,19.831
279.292,-155.982,19.944
281.316,-155.982,20.037
283.339,-155.982,20.236
285.363,-155.982,20.318
287.387,-155.982,20.476
289.411,-155.982,20.589
291.435,-155.982,20.659
293.459,-155.982,20.763
295.483,-155.982,20.877
297.507,-155.982,20.935
299.531,-155.982,21.037
301.555,-155.982,21.219
303.579,-155.982,21.260
305.603,-155.982,21.278
307.627,-155.982,21.389
309.650,-155.982,21.442
311.674,-155.982,21.448
313.698,-155.982,21.428
315.722,-155.982,21.337
317.746,-155.982,21.222
319.770,-155.982,21.125
210.478,-153.934,13.543
212.502,-153.934,13.834
214.526,-153.934,13.973
216.550,-153.934,14.231
218.574,-153.934,14.356
220.598,-153.934,14.633
222.622,-153.934,14.830
224.646,-153.934,15.015
226.670,-153.934,15.289
228.694,-153.934,15.515
230.718,-153.934,15.739
232.742,-153.934,15.977
234.765,-153.934,16.164
236.789,-153.934,16.423
238.813,-153.934,16.568
240.837,-153.934,16.724
242.861,-153.934,16.958
244.885,-153.934,17.120
246.909,-153.934,17.245
248.933,-153.934,17.468
250.957,-153.934,17.785
252.981,-153.934,18.010
255.005,-153.934,18.262
257.029,-153.934,18.352
259.052,-153.934,18.536
261.076,-153.934,18.809
263.100,-153.934,19.016
265.124,-153.934,19.229
267.148,-153.934,19.457
269.172,-153.934,19.596
271.196,-153.934,19.751
273.220,-153.934,19.847
275.244,-153.934,19.973
277.268,-153.934,20.086
279.292,-153.934,20.159
281.316,-153.934,20.289
283.339,-153.934,20.374
285.363,-153.934,20.566
287.387,-153.934,20.609
289.411,-153.934,20.682
291.435,-153.934,20.788
293.459,-153.934,20.921
295.483,-153.934,21.013
297.507,-153.934,21.160
299.531,-153.934,21.257
301.555,-153.934,21.317
303.579,-153.934,21.359
305.603,-153.934,21.428
307.627,-153.934,21.468
309.650,-153.934,21.494
311.674,-153.934,21.528
313.698,-153.934,21.560
315.722,-153.934,21.454
317.746,-153.934,21.369
319.770,-153.934,21.219
210.478,-151.886,13.452
212.502,-151.886,13.712
214.526,-151.886,13.869
216.550,-151.886,14.097
218.574,-151.886,14.336
220.598,-151.886,14.543
222.622,-151.886,14.815
224.646,-151.886,15.016
226.670,-151.886,15.324
228.694,-151.886,15.626
230.718,-151.886,15.894
232.742,-151.886,16.175
234.765,-151.886,16.422
236.789,-151.886,16.718
238.813,-151.886,16.953
240.837,-151.886,17.171
242.861,-151.886,17.422
244.885,-151.886,17.587
246.909,-151.886,17.769
248.933,-151.886,17.973
