PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
210.478,-158.029,-36.532,-30.494,-36.078,-26.983,-33.562,-42.594,-34.214,-28.409,-24.850,-26.127,-29.019,-32.398,-44.014,-26.045,-23.967,-28.978,-39.856,-40.477,-37.378,-52.396,-46.451,-36.878,-34.346,-33.475,-28.832,-33.411,-27.451,-29.283,-31.201,-31.778,-31.370,-26.074,-28.303,-33.396,-28.685,-31.085,-29.758,-30.485,-27.496,-23.695,-22.868,-26.430,-35.088,-25.410,-27.513,-39.483,-32.546,-26.821,-25.631,-16.550,9.668,19.646,17.372,4.116,-23.622,-28.515,-32.689,-28.711,-26.108,-27.841,-29.829,-30.102,-31.890,-35.553,-34.372,-33.584,-29.088,-26.827,-28.767,-30.862,-28.346,-24.524,-26.645,-29.789,-31.498,-37.742,-30.616,-34.941,-33.707,-30.433,-33.883,-29.034,-22.907,-21.207,-37.016,-27.873,-25.786,-27.057,-27.131,-33.404,-29.481,-26.384,-24.037,-24.644,-26.959,-35.424,-23.082,-24.633,-29.104,-28.250,-37.795
212.502,-158.029,-31.197,-27.041,-25.611,-27.047,-24.752,-28.743,-28.048,-33.762,-34.536,-33.783,-35.339,-27.026,-22.496,-24.617,-32.713,-38.146,-28.014,-26.903,-34.927,-32.524,-26.736,-32.446,-27.005,-32.263,-29.152,-28.466,-28.870,-27.320,-29.384,-29.939,-27.529,-24.658,-27.152,-31.038,-26.118,-34.727,-33.355,-32.033,-33.959,-33.361,-29.555,-27.374,-26.674,-33.551,-23.319,-20.264,-32.473,-27.124,-24.900,-19.308,9.506,19.600,17.363,4.212,-21.363,-21.997,-27.352,-31.866,-27.041,-26.063,-39.495,-27.391,-29.772,-33.513,-24.885,-25.847,-30.500,-44.889,-36.584,-34.044,-42.847,-27.215,-23.207,-22.734,-29.721,-26.544,-28.552,-33.565,-30.780,-25.032,-26.282,-33.242,-32.007,-29.651,-28.640,-28.492,-33.277,-29.627,-33.065,-52.862,-36.339,-40.269,-30.473,-24.416,-25.234,-30.877,-37.497,-30.320,-27.871,-26.934,-29.726
214.526,-158.029,-25.753,-29.847,-28.216,-31.708,-35.017,-26.964,-28.978,-35.033,-28.132,-30.282,-48.647,-30.874,-25.478,-26.207,-27.971,-29.985,-28.621,-32.572,-38.892,-27.718,-23.940,-24.717,-35.892,-24.622,-27.064,-31.790,-25.719,-32.028,-30.493,-37.855,-34.963,-31.447,-47.399,-27.701,-37.825,-31.258,-27.447,-34.727,-30.302,-26.543,-38.404,-30.776,-29.063,-31.064,-30.704,-42.884,-30.075,-29.859,-29.742,-13.805,9.703,19.472,17.138,3.677,-31.116,-27.073,-25.770,-30.790,-31.363,-33.210,-29.823,-24.180,-27.022,-23.464,-24.459,-26.195,-25.594,-30.659,-40.283,-32.520,-25.042,-27.237,-38.850,-32.847,-31.883,-27.749,-31.095,-33.665,-29.172,-27.209,-28.230,-20.472,-22.102,-27.824,-40.778,-31.885,-26.125,-25.613,-26.162,-31.205,-37.097,-34.161,-36.829,-32.419,-30.468,-38.048,-29.472,-26.163,-29.845,-37.319,-32.879
216.550,-158.029,-26.621,-22.459,-25.188,-36.304,-34.742,-29.384,-26.724,-25.934,-30.399,-33.730,-33.279,-27.445,-28.004,-36.258,-34.749,-31.652,-29.103,-40.637,-27.879,-25.039,-30.879,-36.571,-29.721,-34.709,-34.114,-28.668,-24.910,-24.216,-28.754,-25.485,-28.118,-36.731,-45.018,-44.917,-36.000,-31.582,-27.947,-28.628,-31.054,-25.299,-28.760,-36.669,-30.977,-33.015,-31.331,-41.229,-27.072,-25.847,-27.093,-18.672,9.296,19.398,17.107,3.670,-31.626,-38.898,-33.711,-40.861,-27.960,-29.235,-33.264,-31.177,-28.879,-31.073,-29.595,-34.987,-38.974,-24.166,-22.248,-30.402,-38.185,-30.280,-29.225,-41.189,-34.747,-32.681,-31.148,-23.285,-24.714,-29.826,-27.504,-27.192,-24.138,-27.444,-48.608,-35.319,-31.218,-33.256,-35.267,-28.881,-27.976,-28.747,-32.683,-39.672,-42.750,-33.179,-27.974,-21.138,-21.845,-27.709,-37.351
218.574,-158.029,-28.510,-24.384,-23.764,-23.102,-23.402,-21.495,-24.041,-31.013,-28.456,-27.446,-29.890,-27.784,-26.808,-28.108,-29.043,-33.351,-30.808,-39.670,-27.804,-25.414,-31.125,-34.521,-31.257,-37.771,-27.997,-30.153,-46.654,-32.185,-42.107,-32.918,-30.071,-31.825,-24.642,-37.394,-29.360,-26.264,-29.920,-27.649,-25.406,-28.787,-42.050,-30.347,-29.229,-25.521,-24.325,-23.998,-27.306,-26.379,-28.522,-15.872,9.411,19.418,17.096,3.511,-23.909,-26.922,-30.622,-30.125,-33.568,-24.572,-21.979,-23.826,-28.755,-36.861,-29.031,-31.236,-33.656,-35.265,-30.396,-32.620,-32.956,-29.031,-32.331,-28.729,-24.408,-26.514,-28.145,-26.446,-27.983,-31.992,-35.647,-26.604,-27.920,-38.995,-27.532,-24.491,-23.701,-28.303,-32.116,-30.995,-32.034,-33.256,-30.692,-29.176,-32.127,-26.641,-22.799,-26.220,-38.799,-32.804,-32.347
220.598,-158.029,-37.715,-26.057,-27.568,-32.553,-34.212,-24.854,-30.643,-27.234,-24.426,-26.670,-43.196,-39.156,-28.278,-24.591,-29.245,-31.042,-35.631,-36.947,-43.333,-32.979,-27.062,-25.394,-27.607,-28.628,-26.181,-24.529,-28.742,-40.057,-28.739,-27.382,-31.426,-34.225,-31.374,-32.859,-42.641,-31.127,-51.318,-31.556,-27.374,-28.981,-38.671,-30.386,-24.882,-25.662,-25.284,-26.113,-44.346,-34.364,-34.520,-15.022,9.573,19.425,17.074,3.461,-28.095,-42.923,-39.481,-32.643,-33.814,-27.621,-24.998,-30.643,-48.653,-36.156,-33.308,-24.262,-27.118,-40.934,-35.307,-33.112,-29.694,-26.782,-26.563,-22.632,-25.285,-32.417,-25.762,-34.219,-40.850,-39.383,-35.910,-29.584,-24.993,-25.783,-28.832,-35.602,-33.543,-40.858,-33.291,-31.077,-30.305,-29.030,-36.092,-31.125,-28.678,-27.604,-25.507,-25.893,-34.436,-34.883,-24.752
222.622,-158.029,-20.280,-28.385,-38.050,-34.285,-36.872,-43.263,-42.144,-36.248,-30.643,-32.773,-26.676,-28.923,-29.474,-28.442,-31.654,-39.888,-35.611,-29.739,-40.371,-33.926,-32.209,-44.190,-30.238,-26.411,-29.236,-27.967,-25.126,-23.442,-21.440,-22.163,-30.015,-27.072,-29.462,-33.584,-30.071,-36.166,-30.228,-27.481,-28.777,-42.343,-33.252,-37.849,-27.761,-29.626,-50.708,-46.734,-33.851,-29.723,-26.122,-13.989,9.518,19.433,17.147,3.962,-23.049,-38.722,-34.847,-34.668,-28.221,-36.414,-35.260,-45.112,-34.407,-28.753,-29.599,-51.175,-29.498,-40.251,-33.253,-35.505,-34.080,-30.491,-39.799,-29.795,-30.683,-28.760,-25.239,-24.181,-30.959,-31.090,-34.304,-42.278,-32.631,-28.784,-39.086,-30.999,-30.479,-22.154,-26.278,-35.736,-32.038,-30.140,-31.350,-37.830,-36.921,-30.567,-28.231,-34.807,-25.048,-23.161,-31.072
224.646,-158.029,-35.442,-30.623,-29.036,-35.274,-38.564,-28.530,-29.652,-31.273,-30.601,-34.747,-28.170,-23.232,-26.283,-21.465,-23.037,-27.155,-26.706,-31.069,-38.397,-28.044,-26.753,-31.964,-30.784,-24.218,-25.649,-26.103,-23.152,-24.404,-28.625,-38.821,-35.937,-30.750,-27.814,-32.758,-48.505,-34.884,-36.752,-34.208,-33.106,-30.624,-34.092,-27.265,-26.644,-27.160,-29.905,-29.423,-34.792,-36.992,-39.568,-15.155,9.592,19.507,17.211,3.892,-30.179,-41.298,-30.605,-25.910,-29.443,-33.623,-29.511,-31.017,-32.378,-30.873,-28.805,-35.592,-28.930,-27.213,-26.030,-25.069,-28.885,-36.160,-24.951,-21.494,-23.548,-28.247,-36.336,-41.554,-31.737,-22.917,-21.564,-22.769,-24.379,-27.484,-26.992,-31.195,-39.975,-32.097,-25.834,-27.220,-36.298,-28.511,-32.791,-25.236,-31.759,-25.172,-27.846,-29.818,-31.769,-29.414,-27.139
226.670,-158.029,-33.312,-26.505,-29.612,-28.541,-41.500,-28.104,-33.529,-28.744,-29.112,-26.038,-25.366,-26.604,-27.206,-26.452,-40.724,-32.488,-35.528,-28.486,-30.910,-28.173,-31.443,-32.840,-27.841,-29.640,-28.655,-36.720,-30.465,-24.021,-26.547,-32.818,-26.139,-28.108,-39.321,-40.396,-29.343,-27.481,-33.418,-35.748,-27.008,-23.624,-24.188,-26.268,-33.711,-34.114,-32.128,-27.302,-35.333,-29.138,-25.257,-17.017,9.553,19.472,17.154,3.673,-23.981,-24.466,-41.783,-36.531,-34.027,-40.483,-36.910,-32.229,-30.020,-24.490,-22.247,-25.651,-27.586,-31.006,-36.045,-33.729,-33.043,-30.697,-40.888,-30.478,-24.894,-22.120,-24.693,-42.149,-36.283,-37.532,-28.061,-30.259,-35.359,-32.796,-28.801,-31.683,-37.249,-27.127,-27.932,-39.719,-34.011,-42.240,-32.193,-33.541,-28.436,-30.798,-41.507,-38.989,-31.031,-26.647,-28.182
228.694,-158.029,-40.274,-40.120,-33.298,-29.254,-39.154,-27.948,-36.250,-32.701,-28.021,-28.960,-27.247,-28.801,-46.948,-27.181,-25.324,-26.862,-34.671,-33.062,-25.694,-26.341,-28.331,-34.489,-33.545,-25.880,-23.736,-30.186,-32.178,-33.106,-27.648,-25.996,-31.828,-27.465,-25.348,-37.033,-34.601,-34.623,-28.130,-34.014,-40.884,-34.455,-25.899,-27.850,-30.355,-27.595,-30.677,-26.906,-24.053,-28.496,-34.442,-14.365,9.671,19.488,17.159,3.692,-31.593,-33.708,-27.356,-24.799,-29.496,-46.853,-29.397,-32.089,-33.919,-34.423,-28.751,-31.167,-26.086,-34.745,-28.641,-33.271,-30.712,-35.703,-30.955,-27.669,-32.391,-30.935,-33.722,-42.469,-43.314,-29.245,-24.535,-27.737,-28.870,-25.949,-25.806,-27.568,-40.832,-39.331,-31.611,-28.034,-27.078,-29.707,-26.869,-23.719,-26.600,-27.173,-23.957,-28.703,-38.474,-36.446,-28.498
