PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
210.478,-158.029,19.646
212.502,-158.029,19.600
214.526,-158.029,19.472
216.550,-158.029,19.398
218.574,-158.029,19.418
220.598,-158.029,19.425
222.622,-158.029,19.433
224.646,-158.029,19.507
226.670,-158.029,19.472
228.694,-158.029,19.488
230.718,-158.029,19.467
232.742,-158.029,19.540
234.765,-158.029,19.515
236.789,-158.029,19.624
238.813,-158.029,19.692
240.837,-158.029,19.688
242.861,-158.029,19.733
244.885,-158.029,19.770
246.909,-158.029,19.812
248.933,-158.029,19.899
250.957,-158.029,19.939
252.981,-158.029,19.976
255.005,-158.029,19.990
257.029,-158.029,20.029
259.052,-158.029,20.017
261.076,-158.029,20.029
263.100,-158.029,20.020
265.124,-158.029,19.983
267.148,-158.029,19.984
269.172,-158.029,19.929
271.196,-158.029,19.856
273.220,-158.029,19.702
275.244,-158.029,19.666
277.268,-158.029,19.502
279.292,-158.029,19.333
281.316,-158.029,19.173
283.339,-158.029,19.038
285.363,-158.029,18.927
287.387,-158.029,18.756
289.411,-158.029,18.618
291.435,-158.029,18.388
293.459,-158.029,18.264
295.483,-158.029,18.088
297.507,-158.029,17.915
299.531,-158.029,17.672
301.555,-158.029,17.429
303.579,-158.029,17.284
305.603,-158.029,17.082
307.627,-158.029,16.812
309.650,-158.029,16.594
311.674,-158.029,16.348
313.698,-158.029,16.098
315.722,-158.029,15.786
317.746,-158.029,15.524
319.770,-158.029,15.153
210.478,-155.982,18.643
212.502,-155.982,18.760
214.526,-155.982,18.797
216.550,-155.982,18.807
218.574,-155.982,18.828
220.598,-155.982,18.922
222.622,-155.982,18.935
224.646,-155.982,18.984
226.670,-155.982,19.074
228.694,-155.982,19.101
230.718,-155.982,19.115
232.742,-155.982,19.164
234.765,-155.982,19.192
236.789,-155.982,19.198
238.813,-155.982,19.269
240.837,-155.982,19.353
242.861,-155.982,19.375
244.885,-155.982,19.429
246.909,-155.982,19.419
248.933,-155.982,19.499
250.957,-155.982,19.466
252.981,-155.982,19.503
255.005,-155.982,19.597
257.029,-155.982,19.639
259.052,-155.982,19.656
261.076,-155.982,19.665
263.100,-155.982,19.631
265.124,-155.982,19.617
267.148,-155.982,19.578
269.172,-155.982,19.530
271.196,-155.982,19.381
273.220,-155.982,19.322
275.244,-155.982,19.245
277.268,-155.982,19.162
279.292,-155.982,18.931
281.316,-155.982,18.809
283.339,-155.982,18.723
285.363,-155.982,18.578
287.387,-155.982,18.434
289.411,-155.982,18.349
291.435,-155.982,18.243
293.459,-155.982,18.122
295.483,-155.982,18.039
297.507,-155.982,17.938
299.531,-155.982,17.781
301.555,-155.982,17.760
303.579,-155.982,17.621
305.603,-155.982,17.464
307.627,-155.982,17.357
309.650,-155.982,17.305
311.674,-155.982,17.096
313.698,-155.982,16.991
315.722,-155.982,16.811
317.746,-155.982,16.603
319.770,-155.982,16.394
210.478,-153.934,18.403
212.502,-153.934,18.468
214.526,-153.934,18.446
216.550,-153.934,18.538
218.574,-153.934,18.605
220.598,-153.934,18.625
222.622,-153.934,18.679
224.646,-153.934,18.721
226.670,-153.934,18.756
228.694,-153.934,18.725
230.718,-153.934,18.859
232.742,-153.934,18.837
234.765,-153.934,18.901
236.789,-153.934,18.918
238.813,-153.934,18.992
240.837,-153.934,18.995
242.861,-153.934,19.015
244.885,-153.934,19.089
246.909,-153.934,19.124
248.933,-153.934,19.149
250.957,-153.934,19.192
252.981,-153.934,19.176
255.005,-153.934,19.194
257.029,-153.934,19.251
259.052,-153.934,19.204
261.076,-153.934,19.160
263.100,-153.934,19.166
265.124,-153.934,19.139
267.148,-153.934,19.074
269.172,-153.934,18.953
271.196,-153.934,18.888
273.220,-153.934,18.788
275.244,-153.934,18.718
277.268,-153.934,18.587
279.292,-153.934,18.488
281.316,-153.934,18.405
283.339,-153.934,18.345
285.363,-153.934,18.295
287.387,-153.934,18.143
289.411,-153.934,18.078
291.435,-153.934,17.971
293.459,-153.934,17.974
295.483,-153.934,17.798
297.507,-153.934,17.785
299.531,-153.934,17.621
301.555,-153.934,17.647
303.579,-153.934,17.491
305.603,-153.934,17.396
307.627,-153.934,17.313
309.650,-153.934,17.195
311.674,-153.934,17.109
313.698,-153.934,16.963
315.722,-153.934,16.818
317.746,-153.934,16.701
319.770,-153.934,16.597
210.478,-151.886,17.630
212.502,-151.886,17.932
214.526,-151.886,18.243
216.550,-151.886,18.283
218.574,-151.886,18.306
220.598,-151.886,18.375
222.622,-151.886,18.475
224.646,-151.886,18.530
226.670,-151.886,18.463
228.694,-151.886,18.509
230.718,-151.886,18.556
232.742,-151.886,18.569
234.765,-151.886,18.597
236.789,-151.886,18.643
238.813,-151.886,18.686
240.837,-151.886,18.753
242.861,-151.886,18.706
244.885,-151.886,18.786
246.909,-151.886,18.780
248.933,-151.886,18.798
250.957,-151.886,18.766
252.981,-151.886,18.803
255.005,-151.886,18.814
257.029,-151.886,18.783
259.052,-151.886,18.758
261.076,-151.886,18.757
263.100,-151.886,18.700
265.124,-151.886,18.657
267.148,-151.886,18.625
269.172,-151.886,18.535
