PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
247.388,-125.939,0.277
249.441,-125.939,0.298
251.494,-125.939,-0.347
253.546,-125.939,-0.500
255.599,-125.939,-1.469
257.652,-125.939,-1.483
259.705,-125.939,-2.565
261.757,-125.939,-3.642
263.810,-125.939,-5.347
265.863,-125.939,-7.052
267.916,-125.939,-9.150
269.968,-125.939,-12.372
272.021,-125.939,-18.252
274.074,-125.939,-23.810
276.127,-125.939,-19.233
278.179,-125.939,-14.185
280.232,-125.939,-9.170
282.285,-125.939,-7.931
284.338,-125.939,-6.254
286.391,-125.939,-4.141
288.443,-125.939,-2.736
290.496,-125.939,-1.853
292.549,-125.939,-1.236
294.602,-125.939,-0.410
296.654,-125.939,0.395
298.707,-125.939,0.721
300.760,-125.939,1.383
302.813,-125.939,1.401
304.865,-125.939,2.054
306.918,-125.939,2.405
308.971,-125.939,2.460
311.024,-125.939,2.903
313.076,-125.939,3.139
315.129,-125.939,3.626
317.182,-125.939,3.691
319.235,-125.939,3.865
321.287,-125.939,3.790
323.340,-125.939,3.979
325.393,-125.939,4.105
327.446,-125.939,4.122
329.498,-125.939,4.105
331.551,-125.939,4.214
333.604,-125.939,4.330
335.657,-125.939,4.186
337.710,-125.939,4.011
339.762,-125.939,4.218
341.815,-125.939,4.347
343.868,-125.939,4.212
345.921,-125.939,4.193
347.973,-125.939,4.128
350.026,-125.939,3.822
352.079,-125.939,3.909
354.132,-125.939,3.527
356.184,-125.939,3.611
358.237,-125.939,3.268
247.388,-123.885,0.464
249.441,-123.885,0.717
251.494,-123.885,0.443
253.546,-123.885,0.169
255.599,-123.885,0.071
257.652,-123.885,-0.617
259.705,-123.885,-1.509
261.757,-123.885,-2.810
263.810,-123.885,-3.871
265.863,-123.885,-5.136
267.916,-123.885,-6.811
269.968,-123.885,-10.774
272.021,-123.885,-14.539
274.074,-123.885,-23.289
276.127,-123.885,-24.982
278.179,-123.885,-15.764
280.232,-123.885,-11.490
282.285,-123.885,-7.722
284.338,-123.885,-6.349
286.391,-123.885,-4.062
288.443,-123.885,-2.977
290.496,-123.885,-1.583
292.549,-123.885,-1.032
294.602,-123.885,0.016
296.654,-123.885,0.571
298.707,-123.885,1.174
300.760,-123.885,1.837
302.813,-123.885,2.076
304.865,-123.885,2.630
306.918,-123.885,2.839
308.971,-123.885,3.203
311.024,-123.885,3.378
313.076,-123.885,3.738
315.129,-123.885,3.833
317.182,-123.885,4.010
319.235,-123.885,4.075
321.287,-123.885,4.171
323.340,-123.885,4.409
325.393,-123.885,4.238
327.446,-123.885,4.301
329.498,-123.885,4.488
331.551,-123.885,4.605
333.604,-123.885,4.601
335.657,-123.885,4.707
337.710,-123.885,4.702
339.762,-123.885,4.526
341.815,-123.885,4.490
343.868,-123.885,4.709
345.921,-123.885,4.561
347.973,-123.885,4.507
350.026,-123.885,4.525
352.079,-123.885,4.386
354.132,-123.885,4.278
356.184,-123.885,4.176
358.237,-123.885,4.158
247.388,-121.831,1.551
249.441,-121.831,1.464
251.494,-121.831,1.184
253.546,-121.831,0.865
255.599,-121.831,0.651
257.652,-121.831,0.247
259.705,-121.831,-0.983
261.757,-121.831,-1.272
263.810,-121.831,-2.474
265.863,-121.831,-4.475
267.916,-121.831,-6.205
269.968,-121.831,-8.299
272.021,-121.831,-12.169
274.074,-121.831,-18.347
276.127,-121.831,-24.371
278.179,-121.831,-16.848
280.232,-121.831,-11.062
282.285,-121.831,-8.136
284.338,-121.831,-5.073
286.391,-121.831,-3.313
288.443,-121.831,-1.875
290.496,-121.831,-0.997
292.549,-121.831,-0.130
294.602,-121.831,0.684
296.654,-121.831,1.240
298.707,-121.831,1.664
300.760,-121.831,2.268
302.813,-121.831,2.784
304.865,-121.831,3.248
306.918,-121.831,3.427
308.971,-121.831,3.877
311.024,-121.831,3.745
313.076,-121.831,4.109
315.129,-121.831,4.170
317.182,-121.831,4.493
319.235,-121.831,4.624
321.287,-121.831,4.695
323.340,-121.831,4.672
325.393,-121.831,4.925
327.446,-121.831,4.989
329.498,-121.831,4.853
331.551,-121.831,4.939
333.604,-121.831,5.269
335.657,-121.831,5.030
337.710,-121.831,4.973
339.762,-121.831,5.142
341.815,-121.831,5.161
343.868,-121.831,5.041
345.921,-121.831,4.968
347.973,-121.831,4.958
350.026,-121.831,5.019
352.079,-121.831,4.923
354.132,-121.831,4.781
356.184,-121.831,4.674
358.237,-121.831,4.561
247.388,-119.777,2.488
249.441,-119.777,2.411
251.494,-119.777,2.137
253.546,-119.777,1.837
255.599,-119.777,1.383
257.652,-119.777,1.069
259.705,-119.777,0.234
261.757,-119.777,-0.582
263.810,-119.777,-1.506
265.863,-119.777,-2.849
267.916,-119.777,-4.870
269.968,-119.777,-6.795
272.021,-119.777,-10.810
274.074,-119.777,-15.856
276.127,-119.777,-22.441
278.179,-119.777,-15.155
280.232,-119.777,-10.308
282.285,-119.777,-8.051
284.338,-119.777,-5.058
286.391,-119.777,-3.116
288.443,-119.777,-1.763
290.496,-119.777,-0.554
292.549,-119.777,0.099
294.602,-119.777,1.106
296.654,-119.777,1.714
298.707,-119.777,2.130
300.760,-119.777,2.669
302.813,-119.777,3.124
304.865,-119.777,3.395
306.918,-119.777,3.945
308.971,-119.777,4.056
311.024,-119.777,4.223
313.076,-119.777,4.446
315.129,-119.777,4.689
317.182,-119.777,4.690
319.235,-119.777,4.890
321.287,-119.777,5.029
323.340,-119.777,5.127
325.393,-119.777,5.272
327.446,-119.777,5.206
329.498,-119.777,5.347
331.551,-119.777,5.252
333.604,-119.777,5.327
335.657,-119.777,5.394
337.710,-119.777,5.416
339.762,-119.777,5.423
341.815,-119.777,5.417
343.868,-119.777,5.377
345.921,-119.777,5.440
347.973,-119.777,5.289
350.026,-119.777,5.321
352.079,-119.777,5.208
354.132,-119.777,5.141
356.184,-119.777,5.079
358.237,-119.777,4.832
247.388,-117.723,3.527
249.441,-117.723,3.302
251.494,-117.723,3.235
253.546,-117.723,2.903
255.599,-117.723,2.389
257.652,-117.723,2.011
259.705,-117.723,1.326
261.757,-117.723,0.414
263.810,-117.723,-0.627
265.863,-117.723,-1.739
267.916,-117.723,-3.785
269.968,-117.723,-5.823
272.021,-117.723,-8.715
274.074,-117.723,-14.938
276.127,-117.723,-22.022
278.179,-117.723,-17.959
280.232,-117.723,-10.031
282.285,-117.723,-6.252
284.338,-117.723,-4.194
286.391,-117.723,-2.658
288.443,-117.723,-1.112
290.496,-117.723,-0.249
292.549,-117.723,0.651
294.602,-117.723,1.550
296.654,-117.723,2.207
298.707,-117.723,2.953
300.760,-117.723,3.413
302.813,-117.723,3.541
304.865,-117.723,4.090
306.918,-117.723,4.053
308.971,-117.723,4.356
311.024,-117.723,4.820
313.076,-117.723,4.743
315.129,-117.723,4.868
317.182,-117.723,5.232
319.235,-117.723,5.194
321.287,-117.723,5.268
323.340,-117.723,5.546
325.393,-117.723,5.574
327.446,-117.723,5.665
329.498,-117.723,5.470
331.551,-117.723,5.665
333.604,-117.723,5.825
335.657,-117.723,5.847
337.710,-117.723,5.676
339.762,-117.723,5.603
341.815,-117.723,5.683
343.868,-117.723,5.719
345.921,-117.723,5.572
347.973,-117.723,5.622
350.026,-117.723,5.578
352.079,-117.723,5.388
354.132,-117.723,5.342
356.184,-117.723,5.397
358.237,-117.723,5.140
247.388,-115.669,4.132
249.441,-115.669,4.414
251.494,-115.669,4.336
253.546,-115.669,3.905
255.599,-115.669,3.556
257.652,-115.669,3.017
259.705,-115.669,2.508
261.757,-115.669,1.796
263.810,-115.669,0.507
265.863,-115.669,-0.658
267.916,-115.669,-2.348
269.968,-115.669,-4.607
272.021,-115.669,-7.397
274.074,-115.669,-10.526
276.127,-115.669,-15.835
278.179,-115.669,-17.084
280.232,-115.669,-11.092
282.285,-115.669,-6.710
284.338,-115.669,-4.082
286.391,-115.669,-2.235
288.443,-115.669,-0.922
290.496,-115.669,0.381
292.549,-115.669,1.472
294.602,-115.669,2.100
296.654,-115.669,2.653
298.707,-115.669,3.276
300.760,-115.669,3.622
302.813,-115.669,4.037
304.865,-115.669,4.524
306.918,-115.669,4.753
308.971,-115.669,4.876
311.024,-115.669,5.142
313.076,-115.669,5.343
315.129,-115.669,5.396
317.182,-115.669,5.543
319.235,-115.669,5.639
321.287,-115.669,5.854
323.340,-115.669,5.746
325.393,-115.669,5.932
327.446,-115.669,5.893
329.498,-115.669,6.062
331.551,-115.669,6.106
333.604,-115.669,6.147
335.657,-115.669,6.140
337.710,-115.669,6.191
339.762,-115.669,6.191
341.815,-115.669,6.051
343.868,-115.669,6.084
345.921,-115.669,6.032
347.973,-115.669,6.089
350.026,-115.669,5.698
352.079,-115.669,5.680
354.132,-115.669,5.528
356.184,-115.669,5.589
358.237,-115.669,5.595
247.388,-113.615,5.329
249.441,-113.615,5.306
251.494,-113.615,5.242
253.546,-113.615,4.883
255.599,-113.615,4.496
257.652,-113.615,4.240
259.705,-113.615,3.321
261.757,-113.615,2.665
263.810,-113.615,1.790
265.863,-113.615,0.559
267.916,-113.615,-1.028
269.968,-113.615,-2.848
272.021,-113.615,-5.461
274.074,-113.615,-9.722
276.127,-113.615,-15.183
278.179,-113.615,-18.421
280.232,-113.615,-11.985
282.285,-113.615,-7.416
284.338,-113.615,-4.661
286.391,-113.615,-2.160
288.443,-113.615,-0.360
290.496,-113.615,0.159
292.549,-113.615,1.679
294.602,-113.615,2.390
296.654,-113.615,3.129
298.707,-113.615,3.250
300.760,-113.615,4.010
302.813,-113.615,4.440
304.865,-113.615,4.783
306.918,-113.615,5.130
308.971,-113.615,5.196
311.024,-113.615,5.677
313.076,-113.615,5.689
315.129,-113.615,5.822
317.182,-113.615,5.848
319.235,-113.615,6.000
321.287,-113.615,6.113
323.340,-113.615,6.104
325.393,-113.615,6.323
327.446,-113.615,6.483
329.498,-113.615,6.390
331.551,-113.615,6.381
333.604,-113.615,6.460
335.657,-113.615,6.444
337.710,-113.615,6.387
339.762,-113.615,6.362
341.815,-113.615,6.482
343.868,-113.615,6.315
345.921,-113.615,6.299
347.973,-113.615,6.313
350.026,-113.615,6.230
352.079,-113.615,6.074
354.132,-113.615,6.009
356.184,-113.615,5.903
358.237,-113.615,5.633
247.388,-111.561,6.463
249.441,-111.561,6.296
251.494,-111.561,6.261
253.546,-111.561,6.018
255.599,-111.561,5.829
257.652,-111.561,5.147
259.705,-111.561,4.583
261.757,-111.561,4.018
263.810,-111.561,2.903
265.863,-111.561,1.555
267.916,-111.561,0.598
269.968,-111.561,-1.643
272.021,-111.561,-4.003
274.074,-111.561,-7.634
276.127,-111.561,-12.274
278.179,-111.561,-16.663
280.232,-111.561,-12.800
282.285,-111.561,-6.730
284.338,-111.561,-3.508
286.391,-111.561,-1.434
288.443,-111.561,-0.250
290.496,-111.561,0.952
292.549,-111.561,1.998
294.602,-111.561,2.611
296.654,-111.561,3.368
298.707,-111.561,3.793
300.760,-111.561,4.489
302.813,-111.561,4.742
304.865,-111.561,5.199
306.918,-111.561,5.517
308.971,-111.561,5.778
311.024,-111.561,5.763
313.076,-111.561,6.058
315.129,-111.561,6.262
317.182,-111.561,6.481
319.235,-111.561,6.468
321.287,-111.561,6.565
323.340,-111.561,6.583
325.393,-111.561,6.865
327.446,-111.561,6.821
329.498,-111.561,6.925
331.551,-111.561,6.845
333.604,-111.561,7.013
335.657,-111.561,6.917
337.710,-111.561,6.977
339.762,-111.561,6.943
341.815,-111.561,6.906
343.868,-111.561,6.839
345.921,-111.561,6.739
347.973,-111.561,6.879
350.026,-111.561,6.486
352.079,-111.561,6.628
354.132,-111.561,6.518
356.184,-111.561,6.370
358.237,-111.561,6.122
247.388,-109.507,6.992
249.441,-109.507,7.144
251.494,-109.507,6.910
253.546,-109.507,6.718
255.599,-109.507,6.525
257.652,-109.507,6.095
259.705,-109.507,5.550
261.757,-109.507,4.795
263.810,-109.507,3.801
265.863,-109.507,2.768
267.916,-109.507,1.271
269.968,-109.507,-0.572
272.021,-109.507,-3.074
274.074,-109.507,-6.243
276.127,-109.507,-11.444
278.179,-109.507,-16.732
280.232,-109.507,-10.903
282.285,-109.507,-6.873
284.338,-109.507,-3.461
286.391,-109.507,-1.617
288.443,-109.507,-0.012
290.496,-109.507,1.431
292.549,-109.507,2.553
294.602,-109.507,3.333
296.654,-109.507,4.003
298.707,-109.507,4.410
300.760,-109.507,5.110
302.813,-109.507,5.388
304.865,-109.507,5.580
306.918,-109.507,6.025
308.971,-109.507,6.212
311.024,-109.507,6.393
313.076,-109.507,6.601
315.129,-109.507,6.740
317.182,-109.507,6.763
319.235,-109.507,6.912
321.287,-109.507,6.827
