PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
247.388,-125.939,0.967
249.441,-125.939,1.286
251.494,-125.939,1.652
253.546,-125.939,1.893
255.599,-125.939,2.283
257.652,-125.939,2.366
259.705,-125.939,2.437
261.757,-125.939,2.470
263.810,-125.939,2.802
265.863,-125.939,2.596
267.916,-125.939,2.431
269.968,-125.939,2.411
272.021,-125.939,2.250
274.074,-125.939,1.723
276.127,-125.939,1.250
278.179,-125.939,0.756
280.232,-125.939,0.399
282.285,-125.939,-0.194
284.338,-125.939,-0.838
286.391,-125.939,-1.615
288.443,-125.939,-2.386
290.496,-125.939,-3.799
292.549,-125.939,-4.372
294.602,-125.939,-5.762
296.654,-125.939,-6.780
298.707,-125.939,-8.998
300.760,-125.939,-9.955
302.813,-125.939,-11.601
304.865,-125.939,-11.822
306.918,-125.939,-12.369
308.971,-125.939,-11.348
311.024,-125.939,-10.467
313.076,-125.939,-9.934
315.129,-125.939,-8.459
317.182,-125.939,-7.880
319.235,-125.939,-6.542
321.287,-125.939,-5.679
323.340,-125.939,-5.506
325.393,-125.939,-5.066
327.446,-125.939,-4.498
329.498,-125.939,-4.159
331.551,-125.939,-3.651
333.604,-125.939,-3.342
335.657,-125.939,-3.840
337.710,-125.939,-3.071
339.762,-125.939,-3.138
341.815,-125.939,-3.112
343.868,-125.939,-3.375
345.921,-125.939,-2.869
347.973,-125.939,-2.945
350.026,-125.939,-3.107
352.079,-125.939,-2.971
354.132,-125.939,-3.308
356.184,-125.939,-3.624
358.237,-125.939,-3.685
247.388,-123.885,2.011
249.441,-123.885,2.629
251.494,-123.885,2.859
253.546,-123.885,3.085
255.599,-123.885,3.540
257.652,-123.885,3.611
259.705,-123.885,3.739
261.757,-123.885,4.053
263.810,-123.885,4.156
265.863,-123.885,3.982
267.916,-123.885,3.915
269.968,-123.885,3.724
272.021,-123.885,3.435
274.074,-123.885,3.431
276.127,-123.885,3.060
278.179,-123.885,2.547
280.232,-123.885,2.256
282.285,-123.885,1.729
284.338,-123.885,0.959
286.391,-123.885,0.439
288.443,-123.885,-0.438
290.496,-123.885,-1.169
292.549,-123.885,-2.545
294.602,-123.885,-3.082
296.654,-123.885,-4.591
298.707,-123.885,-5.776
300.760,-123.885,-6.905
302.813,-123.885,-7.934
304.865,-123.885,-8.259
306.918,-123.885,-8.312
308.971,-123.885,-9.882
311.024,-123.885,-8.664
313.076,-123.885,-8.750
315.129,-123.885,-8.085
317.182,-123.885,-7.597
319.235,-123.885,-6.994
321.287,-123.885,-5.870
323.340,-123.885,-5.192
325.393,-123.885,-5.409
327.446,-123.885,-4.440
329.498,-123.885,-4.540
331.551,-123.885,-3.658
333.604,-123.885,-3.121
335.657,-123.885,-3.700
337.710,-123.885,-2.938
339.762,-123.885,-3.058
341.815,-123.885,-3.146
343.868,-123.885,-2.990
345.921,-123.885,-2.745
347.973,-123.885,-2.903
350.026,-123.885,-3.109
352.079,-123.885,-3.066
354.132,-123.885,-3.506
356.184,-123.885,-3.550
358.237,-123.885,-3.599
247.388,-121.831,3.445
249.441,-121.831,4.045
251.494,-121.831,4.293
253.546,-121.831,4.425
255.599,-121.831,4.616
257.652,-121.831,4.876
259.705,-121.831,4.951
261.757,-121.831,5.327
263.810,-121.831,5.180
265.863,-121.831,5.440
267.916,-121.831,5.154
269.968,-121.831,5.104
272.021,-121.831,4.937
274.074,-121.831,4.616
276.127,-121.831,4.247
278.179,-121.831,3.857
280.232,-121.831,3.578
282.285,-121.831,2.924
284.338,-121.831,2.607
286.391,-121.831,1.690
288.443,-121.831,1.289
290.496,-121.831,0.242
292.549,-121.831,-0.737
294.602,-121.831,-1.659
296.654,-121.831,-2.565
298.707,-121.831,-4.115
300.760,-121.831,-4.649
302.813,-121.831,-6.405
304.865,-121.831,-7.138
306.918,-121.831,-8.248
308.971,-121.831,-9.582
311.024,-121.831,-9.724
313.076,-121.831,-9.407
315.129,-121.831,-8.677
317.182,-121.831,-7.932
319.235,-121.831,-7.597
321.287,-121.831,-6.360
323.340,-121.831,-6.281
325.393,-121.831,-5.340
327.446,-121.831,-5.214
329.498,-121.831,-4.853
331.551,-121.831,-3.990
333.604,-121.831,-3.842
335.657,-121.831,-3.351
337.710,-121.831,-3.712
339.762,-121.831,-3.047
341.815,-121.831,-3.547
343.868,-121.831,-2.776
345.921,-121.831,-3.259
347.973,-121.831,-2.894
350.026,-121.831,-3.156
352.079,-121.831,-3.467
354.132,-121.831,-3.553
356.184,-121.831,-3.998
358.237,-121.831,-3.964
247.388,-119.777,4.387
249.441,-119.777,4.730
251.494,-119.777,5.195
253.546,-119.777,5.518
255.599,-119.777,5.663
257.652,-119.777,6.015
259.705,-119.777,6.065
261.757,-119.777,6.125
263.810,-119.777,6.277
265.863,-119.777,6.372
267.916,-119.777,6.496
269.968,-119.777,6.158
272.021,-119.777,5.963
274.074,-119.777,5.873
276.127,-119.777,5.564
278.179,-119.777,5.243
280.232,-119.777,4.730
282.285,-119.777,4.222
284.338,-119.777,3.683
286.391,-119.777,3.101
288.443,-119.777,2.332
290.496,-119.777,1.633
292.549,-119.777,0.765
294.602,-119.777,-0.242
296.654,-119.777,-1.086
298.707,-119.777,-2.252
300.760,-119.777,-2.989
302.813,-119.777,-4.417
304.865,-119.777,-5.713
306.918,-119.777,-6.827
308.971,-119.777,-8.133
311.024,-119.777,-8.049
313.076,-119.777,-9.079
315.129,-119.777,-8.930
317.182,-119.777,-7.770
319.235,-119.777,-7.154
321.287,-119.777,-7.318
323.340,-119.777,-6.769
325.393,-119.777,-5.771
327.446,-119.777,-5.168
329.498,-119.777,-5.385
331.551,-119.777,-4.413
333.604,-119.777,-4.027
335.657,-119.777,-4.366
337.710,-119.777,-3.671
339.762,-119.777,-3.696
341.815,-119.777,-3.380
343.868,-119.777,-3.422
345.921,-119.777,-3.736
347.973,-119.777,-3.558
350.026,-119.777,-3.413
352.079,-119.777,-3.241
354.132,-119.777,-3.938
356.184,-119.777,-4.053
358.237,-119.777,-4.409
247.388,-117.723,5.069
249.441,-117.723,5.647
251.494,-117.723,5.964
253.546,-117.723,6.325
255.599,-117.723,6.680
257.652,-117.723,6.903
259.705,-117.723,6.982
261.757,-117.723,7.145
263.810,-117.723,7.335
265.863,-117.723,7.335
267.916,-117.723,7.206
269.968,-117.723,7.086
272.021,-117.723,6.977
274.074,-117.723,6.710
276.127,-117.723,6.511
278.179,-117.723,6.051
280.232,-117.723,5.707
282.285,-117.723,5.214
284.338,-117.723,4.660
286.391,-117.723,4.167
288.443,-117.723,3.444
290.496,-117.723,2.615
292.549,-117.723,1.743
294.602,-117.723,0.602
296.654,-117.723,-0.090
298.707,-117.723,-1.142
300.760,-117.723,-1.937
302.813,-117.723,-3.376
304.865,-117.723,-4.009
306.918,-117.723,-5.672
308.971,-117.723,-7.251
311.024,-117.723,-8.111
313.076,-117.723,-9.376
315.129,-117.723,-8.538
317.182,-117.723,-8.467
319.235,-117.723,-7.792
321.287,-117.723,-7.541
323.340,-117.723,-6.825
325.393,-117.723,-6.675
327.446,-117.723,-5.489
329.498,-117.723,-4.896
331.551,-117.723,-4.743
333.604,-117.723,-4.217
335.657,-117.723,-4.443
337.710,-117.723,-4.147
339.762,-117.723,-3.988
341.815,-117.723,-3.720
343.868,-117.723,-3.657
345.921,-117.723,-3.766
347.973,-117.723,-3.747
350.026,-117.723,-3.652
352.079,-117.723,-3.721
354.132,-117.723,-3.371
356.184,-117.723,-3.894
358.237,-117.723,-4.372
247.388,-115.669,5.840
249.441,-115.669,6.190
251.494,-115.669,6.636
253.546,-115.669,7.065
255.599,-115.669,7.418
257.652,-115.669,7.648
259.705,-115.669,7.823
261.757,-115.669,7.847
263.810,-115.669,8.089
265.863,-115.669,8.100
267.916,-115.669,8.100
269.968,-115.669,7.979
272.021,-115.669,7.800
274.074,-115.669,7.699
276.127,-115.669,7.387
278.179,-115.669,6.950
280.232,-115.669,6.620
282.285,-115.669,6.120
284.338,-115.669,5.590
286.391,-115.669,5.106
288.443,-115.669,4.540
290.496,-115.669,3.501
292.549,-115.669,2.819
294.602,-115.669,1.935
296.654,-115.669,0.761
298.707,-115.669,-0.123
300.760,-115.669,-1.214
302.813,-115.669,-1.974
304.865,-115.669,-3.462
306.918,-115.669,-4.463
308.971,-115.669,-6.241
311.024,-115.669,-7.731
313.076,-115.669,-7.662
315.129,-115.669,-8.959
317.182,-115.669,-9.381
319.235,-115.669,-9.229
321.287,-115.669,-8.660
323.340,-115.669,-7.806
325.393,-115.669,-7.460
327.446,-115.669,-6.334
329.498,-115.669,-6.695
331.551,-115.669,-5.170
333.604,-115.669,-4.763
335.657,-115.669,-5.036
337.710,-115.669,-4.750
339.762,-115.669,-4.667
341.815,-115.669,-4.283
343.868,-115.669,-4.211
345.921,-115.669,-4.140
347.973,-115.669,-3.877
350.026,-115.669,-4.343
352.079,-115.669,-3.959
354.132,-115.669,-3.687
356.184,-115.669,-4.545
358.237,-115.669,-4.836
247.388,-113.615,6.467
249.441,-113.615,6.797
251.494,-113.615,7.288
253.546,-113.615,7.673
255.599,-113.615,8.033
257.652,-113.615,8.279
259.705,-113.615,8.519
261.757,-113.615,8.575
263.810,-113.615,8.724
265.863,-113.615,8.841
267.916,-113.615,8.772
269.968,-113.615,8.599
272.021,-113.615,8.438
274.074,-113.615,8.426
276.127,-113.615,8.155
278.179,-113.615,7.851
280.232,-113.615,7.460
282.285,-113.615,7.013
284.338,-113.615,6.459
286.391,-113.615,5.883
288.443,-113.615,5.165
290.496,-113.615,4.434
292.549,-113.615,3.763
294.602,-113.615,2.793
296.654,-113.615,1.973
298.707,-113.615,0.921
300.760,-113.615,-0.258
302.813,-113.615,-1.256
304.865,-113.615,-2.471
306.918,-113.615,-3.428
308.971,-113.615,-5.262
311.024,-113.615,-5.651
313.076,-113.615,-7.233
315.129,-113.615,-8.827
317.182,-113.615,-9.428
319.235,-113.615,-8.777
321.287,-113.615,-9.259
323.340,-113.615,-8.641
325.393,-113.615,-8.460
327.446,-113.615,-7.748
329.498,-113.615,-6.983
331.551,-113.615,-6.481
333.604,-113.615,-5.571
335.657,-113.615,-4.937
337.710,-113.615,-5.428
339.762,-113.615,-5.078
341.815,-113.615,-4.977
343.868,-113.615,-4.681
345.921,-113.615,-4.236
347.973,-113.615,-4.632
350.026,-113.615,-4.142
352.079,-113.615,-4.215
354.132,-113.615,-4.529
356.184,-113.615,-5.077
358.237,-113.615,-4.972
247.388,-111.561,6.991
249.441,-111.561,7.538
251.494,-111.561,7.852
253.546,-111.561,8.134
255.599,-111.561,8.557
257.652,-111.561,8.927
259.705,-111.561,8.978
261.757,-111.561,9.245
263.810,-111.561,9.375
265.863,-111.561,9.341
267.916,-111.561,9.388
269.968,-111.561,9.254
272.021,-111.561,9.122
274.074,-111.561,8.925
276.127,-111.561,8.773
278.179,-111.561,8.351
280.232,-111.561,7.941
282.285,-111.561,7.573
284.338,-111.561,7.163
286.391,-111.561,6.397
288.443,-111.561,5.914
290.496,-111.561,5.153
292.549,-111.561,4.494
294.602,-111.561,3.688
296.654,-111.561,2.641
298.707,-111.561,1.726
300.760,-111.561,0.540
302.813,-111.561,-0.329
304.865,-111.561,-1.424
306.918,-111.561,-2.902
308.971,-111.561,-4.067
311.024,-111.561,-5.254
313.076,-111.561,-6.762
315.129,-111.561,-8.628
317.182,-111.561,-9.236
319.235,-111.561,-9.361
321.287,-111.561,-10.001
323.340,-111.561,-10.164
325.393,-111.561,-9.843
327.446,-111.561,-7.586
329.498,-111.561,-7.411
331.551,-111.561,-7.136
333.604,-111.561,-6.213
335.657,-111.561,-6.336
337.710,-111.561,-5.592
339.762,-111.561,-5.581
341.815,-111.561,-4.901
343.868,-111.561,-4.716
345.921,-111.561,-4.260
347.973,-111.561,-4.637
350.026,-111.561,-4.236
352.079,-111.561,-4.900
354.132,-111.561,-5.026
356.184,-111.561,-5.262
358.237,-111.561,-5.269
247.388,-109.507,7.388
249.441,-109.507,7.880
251.494,-109.507,8.362
253.546,-109.507,8.703
255.599,-109.507,8.959
257.652,-109.507,9.155
259.705,-109.507,9.475
261.757,-109.507,9.685
263.810,-109.507,9.708
265.863,-109.507,9.762
267.916,-109.507,9.797
269.968,-109.507,9.768
272.021,-109.507,9.637
274.074,-109.507,9.522
276.127,-109.507,9.275
278.179,-109.507,8.929
280.232,-109.507,8.486
282.285,-109.507,8.144
284.338,-109.507,7.640
286.391,-109.507,7.049
288.443,-109.507,6.390
290.496,-109.507,5.778
292.549,-109.507,5.048
294.602,-109.507,4.276
296.654,-109.507,3.325
298.707,-109.507,2.395
300.760,-109.507,1.126
302.813,-109.507,0.215
304.865,-109.507,-0.923
306.918,-109.507,-2.077
308.971,-109.507,-3.842
311.024,-109.507,-4.823
313.076,-109.507,-6.758
315.129,-109.507,-7.414
317.182,-109.507,-8.507
319.235,-109.507,-10.527
321.287,-109.507,-9.935
323.340,-109.507,-10.365
325.393,-109.507,-9.756
327.446,-109.507,-9.125
329.498,-109.507,-8.148
331.551,-109.507,-8.088
333.604,-109.507,-6.559
335.657,-109.507,-6.484
337.710,-109.507,-6.109
339.762,-109.507,-6.395
341.815,-109.507,-5.152
343.868,-109.507,-5.335
345.921,-109.507,-5.344
347.973,-109.507,-4.835
350.026,-109.507,-5.175
352.079,-109.507,-5.421
354.132,-109.507,-5.431
356.184,-109.507,-5.668
358.237,-109.507,-5.805
247.388,-107.453,7.681
249.441,-107.453,8.174
251.494,-107.453,8.688
253.546,-107.453,9.021
255.599,-107.453,9.280
257.652,-107.453,9.561
259.705,-107.453,9.810
261.757,-107.453,10.031
263.810,-107.453,10.100
265.863,-107.453,10.108
267.916,-107.453,10.181
269.968,-107.453,10.120
272.021,-107.453,10.000
274.074,-107.453,9.770
276.127,-107.453,9.543
278.179,-107.453,9.265
280.232,-107.453,8.888
282.285,-107.453,8.565
284.338,-107.453,8.044
286.391,-107.453,7.445
288.443,-107.453,6.805
290.496,-107.453,6.115
292.549,-107.453,5.357
294.602,-107.453,4.535
296.654,-107.453,3.681
298.707,-107.453,2.783
300.760,-107.453,1.900
302.813,-107.453,0.886
304.865,-107.453,-0.304
306.918,-107.453,-1.940
308.971,-107.453,-2.981
311.024,-107.453,-4.091
313.076,-107.453,-6.148
315.129,-107.453,-7.233
317.182,-107.453,-9.001
319.235,-107.453,-10.852
321.287,-107.453,-11.008
323.340,-107.453,-10.503
325.393,-107.453,-11.869
327.446,-107.453,-10.682
