PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
247.388,-125.939,0.609
249.441,-125.939,0.451
251.494,-125.939,0.165
253.546,-125.939,-0.545
255.599,-125.939,-0.966
257.652,-125.939,-1.406
259.705,-125.939,-3.195
261.757,-125.939,-4.473
263.810,-125.939,-5.717
265.863,-125.939,-8.118
267.916,-125.939,-11.428
269.968,-125.939,-15.159
272.021,-125.939,-19.607
274.074,-125.939,-13.866
276.127,-125.939,-11.139
278.179,-125.939,-7.807
280.232,-125.939,-6.084
282.285,-125.939,-3.756
284.338,-125.939,-2.608
286.391,-125.939,-1.433
288.443,-125.939,-0.523
290.496,-125.939,0.513
292.549,-125.939,1.005
294.602,-125.939,2.078
296.654,-125.939,2.364
298.707,-125.939,2.793
300.760,-125.939,3.186
302.813,-125.939,3.684
304.865,-125.939,3.942
306.918,-125.939,4.145
308.971,-125.939,4.316
311.024,-125.939,4.600
313.076,-125.939,4.650
315.129,-125.939,4.739
317.182,-125.939,5.043
319.235,-125.939,4.970
321.287,-125.939,5.126
323.340,-125.939,4.980
325.393,-125.939,5.034
327.446,-125.939,5.138
329.498,-125.939,4.944
331.551,-125.939,5.156
333.604,-125.939,5.080
335.657,-125.939,5.027
337.710,-125.939,4.999
339.762,-125.939,4.740
341.815,-125.939,4.773
343.868,-125.939,4.590
345.921,-125.939,4.392
347.973,-125.939,4.147
350.026,-125.939,4.129
352.079,-125.939,3.991
354.132,-125.939,3.573
356.184,-125.939,3.264
358.237,-125.939,2.893
247.388,-123.885,1.739
249.441,-123.885,1.512
251.494,-123.885,1.483
253.546,-123.885,1.065
255.599,-123.885,0.791
257.652,-123.885,-0.288
259.705,-123.885,-1.313
261.757,-123.885,-2.229
263.810,-123.885,-3.449
265.863,-123.885,-5.443
267.916,-123.885,-8.517
269.968,-123.885,-14.519
272.021,-123.885,-19.219
274.074,-123.885,-18.432
276.127,-123.885,-11.684
278.179,-123.885,-8.636
280.232,-123.885,-5.321
282.285,-123.885,-3.971
284.338,-123.885,-2.363
286.391,-123.885,-1.061
288.443,-123.885,0.392
290.496,-123.885,1.033
292.549,-123.885,1.707
294.602,-123.885,2.400
296.654,-123.885,3.198
298.707,-123.885,3.707
300.760,-123.885,4.024
302.813,-123.885,4.289
304.865,-123.885,4.623
306.918,-123.885,4.765
308.971,-123.885,5.058
311.024,-123.885,5.156
313.076,-123.885,5.329
315.129,-123.885,5.441
317.182,-123.885,5.378
319.235,-123.885,5.657
321.287,-123.885,5.538
323.340,-123.885,5.670
325.393,-123.885,5.639
327.446,-123.885,5.616
329.498,-123.885,5.707
331.551,-123.885,5.597
333.604,-123.885,5.551
335.657,-123.885,5.408
337.710,-123.885,5.542
339.762,-123.885,5.496
341.815,-123.885,5.214
343.868,-123.885,5.292
345.921,-123.885,5.109
347.973,-123.885,5.007
350.026,-123.885,4.542
352.079,-123.885,4.414
354.132,-123.885,4.128
356.184,-123.885,3.914
358.237,-123.885,3.370
247.388,-121.831,3.021
249.441,-121.831,2.854
251.494,-121.831,3.059
253.546,-121.831,2.601
255.599,-121.831,2.184
257.652,-121.831,1.231
259.705,-121.831,0.653
261.757,-121.831,-0.764
263.810,-121.831,-2.021
265.863,-121.831,-4.386
267.916,-121.831,-6.149
269.968,-121.831,-10.268
272.021,-121.831,-17.474
274.074,-121.831,-23.013
276.127,-121.831,-12.977
278.179,-121.831,-8.424
280.232,-121.831,-5.768
282.285,-121.831,-4.201
284.338,-121.831,-2.423
286.391,-121.831,-0.645
288.443,-121.831,0.444
290.496,-121.831,1.439
292.549,-121.831,2.515
294.602,-121.831,3.104
296.654,-121.831,3.479
298.707,-121.831,4.280
300.760,-121.831,4.638
302.813,-121.831,4.930
304.865,-121.831,5.352
306.918,-121.831,5.466
308.971,-121.831,5.616
311.024,-121.831,5.976
313.076,-121.831,5.957
315.129,-121.831,5.928
317.182,-121.831,5.931
319.235,-121.831,6.081
321.287,-121.831,6.300
323.340,-121.831,6.238
325.393,-121.831,6.239
327.446,-121.831,6.115
329.498,-121.831,6.094
331.551,-121.831,6.239
333.604,-121.831,6.044
335.657,-121.831,6.082
337.710,-121.831,6.031
339.762,-121.831,5.934
341.815,-121.831,5.818
343.868,-121.831,5.708
345.921,-121.831,5.761
347.973,-121.831,5.441
350.026,-121.831,5.262
352.079,-121.831,5.054
354.132,-121.831,4.804
356.184,-121.831,4.394
358.237,-121.831,4.269
247.388,-119.777,4.440
249.441,-119.777,4.323
251.494,-119.777,4.296
253.546,-119.777,4.048
255.599,-119.777,3.500
257.652,-119.777,3.004
259.705,-119.777,2.049
261.757,-119.777,1.126
263.810,-119.777,-0.362
265.863,-119.777,-1.982
267.916,-119.777,-4.808
269.968,-119.777,-8.706
272.021,-119.777,-13.195
274.074,-119.777,-21.583
276.127,-119.777,-14.728
278.179,-119.777,-9.492
280.232,-119.777,-5.602
282.285,-119.777,-2.761
284.338,-119.777,-1.424
286.391,-119.777,-0.166
288.443,-119.777,1.133
290.496,-119.777,2.142
292.549,-119.777,2.912
294.602,-119.777,3.742
296.654,-119.777,4.321
298.707,-119.777,4.945
300.760,-119.777,5.221
302.813,-119.777,5.641
304.865,-119.777,5.976
306.918,-119.777,6.173
308.971,-119.777,6.198
311.024,-119.777,6.404
313.076,-119.777,6.666
315.129,-119.777,6.513
317.182,-119.777,6.700
319.235,-119.777,6.744
321.287,-119.777,6.654
323.340,-119.777,6.599
325.393,-119.777,6.736
327.446,-119.777,6.598
329.498,-119.777,6.604
331.551,-119.777,6.650
333.604,-119.777,6.558
335.657,-119.777,6.599
337.710,-119.777,6.476
339.762,-119.777,6.476
341.815,-119.777,6.320
343.868,-119.777,6.163
345.921,-119.777,6.158
347.973,-119.777,6.087
350.026,-119.777,5.816
352.079,-119.777,5.644
354.132,-119.777,5.164
356.184,-119.777,5.029
358.237,-119.777,4.525
247.388,-117.723,5.715
249.441,-117.723,5.849
251.494,-117.723,5.931
253.546,-117.723,5.821
255.599,-117.723,5.605
257.652,-117.723,4.889
259.705,-117.723,4.291
261.757,-117.723,2.873
263.810,-117.723,1.754
265.863,-117.723,0.285
267.916,-117.723,-2.493
269.968,-117.723,-5.578
272.021,-117.723,-10.359
274.074,-117.723,-21.365
276.127,-117.723,-14.005
278.179,-117.723,-8.146
280.232,-117.723,-4.979
282.285,-117.723,-2.319
284.338,-117.723,-0.582
286.391,-117.723,0.813
288.443,-117.723,2.015
290.496,-117.723,2.752
292.549,-117.723,3.656
294.602,-117.723,4.329
296.654,-117.723,5.085
298.707,-117.723,5.433
300.760,-117.723,5.997
302.813,-117.723,6.348
304.865,-117.723,6.513
306.918,-117.723,6.825
308.971,-117.723,6.949
311.024,-117.723,7.170
313.076,-117.723,7.145
315.129,-117.723,7.249
317.182,-117.723,7.247
319.235,-117.723,7.242
321.287,-117.723,7.357
323.340,-117.723,7.408
325.393,-117.723,7.187
327.446,-117.723,7.179
329.498,-117.723,7.190
331.551,-117.723,7.296
333.604,-117.723,7.235
335.657,-117.723,7.070
337.710,-117.723,7.067
339.762,-117.723,6.945
341.815,-117.723,6.782
343.868,-117.723,6.889
345.921,-117.723,6.577
347.973,-117.723,6.422
350.026,-117.723,6.323
352.079,-117.723,6.120
354.132,-117.723,6.014
356.184,-117.723,5.676
358.237,-117.723,5.326
247.388,-115.669,7.394
249.441,-115.669,7.572
