PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
247.388,-125.939,-1.981
249.441,-125.939,-1.114
251.494,-125.939,-0.932
253.546,-125.939,-0.366
255.599,-125.939,-0.055
257.652,-125.939,0.410
259.705,-125.939,0.601
261.757,-125.939,0.763
263.810,-125.939,0.608
265.863,-125.939,0.473
267.916,-125.939,0.070
269.968,-125.939,-0.235
272.021,-125.939,-0.887
274.074,-125.939,-1.660
276.127,-125.939,-2.662
278.179,-125.939,-3.565
280.232,-125.939,-4.791
282.285,-125.939,-5.982
284.338,-125.939,-9.001
286.391,-125.939,-10.513
288.443,-125.939,-14.518
290.496,-125.939,-18.905
292.549,-125.939,-17.889
294.602,-125.939,-13.773
296.654,-125.939,-9.099
298.707,-125.939,-6.675
300.760,-125.939,-5.556
302.813,-125.939,-4.033
304.865,-125.939,-2.495
306.918,-125.939,-1.751
308.971,-125.939,-0.839
311.024,-125.939,-0.045
313.076,-125.939,0.616
315.129,-125.939,1.084
317.182,-125.939,1.851
319.235,-125.939,2.216
321.287,-125.939,2.393
323.340,-125.939,2.757
325.393,-125.939,2.991
327.446,-125.939,3.390
329.498,-125.939,3.028
331.551,-125.939,3.592
333.604,-125.939,3.747
335.657,-125.939,3.877
337.710,-125.939,4.040
339.762,-125.939,3.998
341.815,-125.939,3.825
343.868,-125.939,3.743
345.921,-125.939,3.844
347.973,-125.939,3.656
350.026,-125.939,3.603
352.079,-125.939,3.504
354.132,-125.939,3.397
356.184,-125.939,3.205
358.237,-125.939,2.848
247.388,-123.885,0.180
249.441,-123.885,0.364
251.494,-123.885,1.280
253.546,-123.885,1.954
255.599,-123.885,2.272
257.652,-123.885,2.559
259.705,-123.885,3.200
261.757,-123.885,3.361
263.810,-123.885,3.564
265.863,-123.885,3.430
267.916,-123.885,3.219
269.968,-123.885,2.929
272.021,-123.885,2.449
274.074,-123.885,1.682
276.127,-123.885,1.241
278.179,-123.885,0.345
280.232,-123.885,-0.661
282.285,-123.885,-1.572
284.338,-123.885,-3.067
286.391,-123.885,-4.583
288.443,-123.885,-6.119
290.496,-123.885,-9.687
292.549,-123.885,-13.433
294.602,-123.885,-21.386
296.654,-123.885,-19.777
298.707,-123.885,-13.799
300.760,-123.885,-9.367
302.813,-123.885,-7.397
304.865,-123.885,-4.664
306.918,-123.885,-3.431
308.971,-123.885,-2.334
311.024,-123.885,-1.174
313.076,-123.885,-0.247
315.129,-123.885,0.376
317.182,-123.885,0.955
319.235,-123.885,1.487
321.287,-123.885,2.294
323.340,-123.885,2.369
325.393,-123.885,2.703
327.446,-123.885,2.791
329.498,-123.885,3.186
331.551,-123.885,3.290
333.604,-123.885,3.488
335.657,-123.885,3.717
337.710,-123.885,3.816
339.762,-123.885,3.801
341.815,-123.885,4.022
343.868,-123.885,3.981
345.921,-123.885,3.863
347.973,-123.885,3.830
350.026,-123.885,3.905
352.079,-123.885,3.721
354.132,-123.885,3.631
356.184,-123.885,3.543
358.237,-123.885,3.297
247.388,-121.831,1.705
249.441,-121.831,2.746
251.494,-121.831,3.444
253.546,-121.831,4.258
255.599,-121.831,4.800
257.652,-121.831,5.310
259.705,-121.831,5.689
261.757,-121.831,5.915
263.810,-121.831,6.032
265.863,-121.831,6.099
267.916,-121.831,5.876
269.968,-121.831,5.646
272.021,-121.831,5.472
274.074,-121.831,5.054
276.127,-121.831,4.411
278.179,-121.831,3.738
280.232,-121.831,3.091
282.285,-121.831,2.439
284.338,-121.831,1.143
286.391,-121.831,0.066
288.443,-121.831,-1.017
290.496,-121.831,-3.245
292.549,-121.831,-5.179
294.602,-121.831,-8.158
296.654,-121.831,-13.547
298.707,-121.831,-20.619
300.760,-121.831,-20.474
302.813,-121.831,-13.839
304.865,-121.831,-9.770
