PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
317.147,91.097,-101.541,-101.080,-99.815,-101.908,-102.213,-104.221,-101.578,-99.354,-101.493,-99.483,-99.479,-100.061,-99.902,-100.111,-102.597,-102.536,-100.654,-100.954,-100.083,-100.597,-99.740,-103.047,-100.095,-100.187,-100.787,-101.774,-100.802,-101.222,-103.071,-99.826,-103.812,-100.022,-99.586,-100.851,-101.360,-102.720,-101.367,-99.950,-99.868,-103.102,-101.222,-103.103,-102.411,-101.054,-100.811,-101.144,-97.701,-97.252,-103.335,-101.284,-100.458,-100.518,-102.091,-99.402,-103.142,-102.309,-100.398,-100.783,-98.546,-102.334,-102.809,-101.716,-102.187,-97.250,-101.307,-102.161,-101.496,-99.777,-100.033,-101.607,-99.988,-101.795,-102.930,-100.891,-98.255,-101.014,-103.286,-100.574,-101.028,-102.538,-103.099,-99.922,-99.919,-100.686,-101.969,-101.298,-100.992,-100.273,-102.547,-100.593,-99.746,-99.856,-99.377,-100.246,-100.531,-99.884,-100.649,-97.933,-99.374,-100.645,-101.654
295.624,91.097,-103.146,-99.336,-100.157,-100.808,-97.900,-101.363,-102.524,-100.257,-100.633,-102.328,-102.466,-101.285,-101.401,-99.775,-100.594,-100.957,-104.637,-99.159,-101.700,-103.214,-99.696,-100.797,-100.663,-100.825,-102.164,-101.470,-100.712,-102.702,-101.041,-99.718,-98.745,-98.853,-102.210,-99.917,-98.211,-99.530,-100.190,-101.605,-100.362,-100.404,-99.904,-101.474,-101.959,-100.440,-100.817,-101.928,-101.214,-105.126,-101.017,-101.944,-100.820,-99.988,-101.757,-99.167,-100.604,-100.691,-101.213,-100.440,-100.111,-98.854,-103.021,-102.193,-105.130,-100.310,-101.728,-104.540,-102.346,-99.363,-100.417,-103.160,-101.847,-101.924,-102.529,-99.200,-99.743,-100.613,-101.364,-101.807,-98.405,-101.008,-98.012,-102.082,-99.163,-102.087,-102.389,-100.367,-100.222,-100.962,-98.787,-101.052,-101.922,-99.493,-101.391,-100.003,-100.890,-99.488,-100.677,-102.188,-100.006,-101.283,-102.921
274.100,91.097,-98.683,-101.152,-105.108,-100.880,-101.230,-97.499,-99.890,-101.675,-99.418,-102.573,-101.174,-101.660,-99.991,-101.966,-99.611,-99.518,-102.527,-100.298,-101.760,-100.787,-101.393,-103.686,-98.990,-97.809,-100.665,-99.274,-99.687,-99.025,-102.515,-100.687,-101.795,-100.606,-98.890,-101.059,-100.998,-101.278,-99.177,-99.545,-100.886,-97.602,-103.348,-102.648,-103.087,-101.736,-101.336,-103.668,-100.094,-100.997,-102.830,-101.530,-101.882,-100.478,-101.048,-102.075,-101.529,-100.176,-103.649,-100.541,-102.318,-101.077,-99.290,-101.441,-103.010,-103.624,-101.942,-99.435,-100.135,-102.442,-99.259,-102.638,-102.932,-102.916,-99.875,-101.198,-100.848,-102.972,-99.208,-100.357,-101.892,-98.714,-101.936,-100.251,-102.439,-101.551,-100.584,-100.746,-98.850,-99.465,-100.775,-99.823,-99.481,-101.094,-99.729,-99.652,-103.035,-101.274,-100.676,-104.648,-101.627,-101.122,-101.067
252.577,91.097,-102.419,-102.332,-99.144,-101.911,-102.801,-100.585,-104.655,-102.056,-101.573,-99.857,-100.485,-100.089,-100.327,-100.634,-98.362,-101.182,-100.453,-101.066,-101.270,-99.986,-99.978,-101.114,-101.101,-101.370,-102.770,-101.217,-99.963,-100.626,-98.200,-102.699,-102.017,-102.900,-100.413,-99.461,-100.693,-100.949,-100.352,-100.385,-99.191,-102.693,-100.495,-100.988,-101.271,-100.821,-103.294,-100.921,-101.469,-98.353,-100.670,-101.607,-100.497,-102.078,-100.279,-100.804,-102.841,-101.970,-102.096,-102.173,-99.720,-101.553,-98.625,-102.599,-100.631,-100.631,-101.941,-103.017,-103.223,-101.756,-99.647,-101.511,-100.496,-101.102,-102.623,-101.981,-100.536,-100.536,-100.301,-100.922,-100.509,-101.757,-100.803,-100.474,-101.874,-101.245,-101.476,-101.412,-102.238,-101.155,-102.102,-101.478,-103.932,-100.013,-101.449,-101.559,-101.161,-101.877,-99.318,-98.158,-102.328,-97.063,-99.922
231.054,91.097,-100.495,-100.591,-101.866,-102.461,-99.314,-101.152,-102.340,-101.592,-101.089,-97.787,-102.600,-101.204,-100.049,-100.050,-99.891,-102.074,-100.427,-101.554,-101.700,-101.228,-97.705,-101.921,-99.550,-103.349,-102.167,-100.963,-101.972,-100.879,-101.020,-100.757,-100.171,-99.741,-100.469,-101.032,-99.369,-99.912,-99.297,-100.099,-103.126,-99.944,-99.485,-102.117,-99.919,-101.315,-100.440,-101.730,-101.128,-100.602,-99.393,-101.972,-100.566,-101.814,-98.785,-101.247,-100.749,-101.786,-102.084,-98.023,-101.502,-100.943,-102.710,-101.374,-99.696,-101.833,-101.571,-102.166,-100.616,-98.272,-100.797,-102.781,-104.317,-101.318,-100.464,-101.169,-100.949,-102.361,-99.035,-99.392,-101.949,-101.025,-101.435,-100.650,-101.363,-101.032,-101.442,-100.272,-99.693,-100.486,-101.891,-101.431,-99.279,-101.536,-99.541,-101.588,-100.287,-100.699,-103.078,-101.859,-101.861,-100.653,-98.742
209.530,91.097,-99.646,-101.142,-103.260,-101.086,-100.119,-102.455,-101.506,-100.602,-99.361,-101.931,-100.005,-100.645,-97.407,-100.217,-103.030,-101.459,-99.729,-101.440,-101.413,-100.103,-101.149,-99.672,-101.890,-98.924,-99.658,-101.959,-100.234,-101.300,-100.094,-102.580,-102.079,-101.963,-103.434,-99.164,-101.034,-102.570,-100.227,-104.485,-100.941,-101.498,-102.835,-100.423,-100.359,-103.062,-101.803,-99.367,-99.748,-100.770,-100.598,-102.153,-102.431,-101.557,-99.866,-100.737,-101.693,-102.005,-101.788,-102.133,-100.394,-100.599,-102.140,-100.990,-100.111,-103.840,-103.115,-101.443,-100.426,-102.680,-99.343,-102.936,-101.215,-99.298,-102.670,-99.328,-99.778,-99.351,-100.702,-102.679,-102.262,-99.279,-102.373,-103.802,-101.433,-100.932,-101.458,-97.802,-101.087,-101.212,-99.809,-101.219,-102.339,-101.383,-102.275,-98.953,-102.017,-100.611,-100.943,-102.689,-99.906,-99.951,-100.119
188.007,91.097,-101.619,-98.907,-101.281,-102.209,-99.231,-100.915,-102.468,-102.408,-102.273,-99.614,-102.596,-99.741,-101.069,-101.526,-98.586,-100.309,-100.454,-96.459,-100.446,-101.896,-101.132,-100.835,-98.241,-100.340,-98.769,-100.317,-101.277,-102.376,-101.845,-99.953,-102.271,-102.135,-103.143,-100.606,-100.182,-101.712,-97.820,-102.714,-100.915,-100.920,-97.722,-101.655,-101.519,-102.316,-100.395,-100.055,-99.690,-101.485,-99.420,-102.294,-102.746,-100.557,-102.576,-100.071,-99.965,-100.832,-99.179,-100.062,-101.967,-102.212,-102.083,-102.079,-101.081,-102.566,-98.315,-101.177,-101.164,-99.960,-100.249,-100.595,-101.385,-102.191,-100.090,-100.479,-99.844,-100.391,-101.604,-100.080,-98.247,-98.776,-99.478,-102.508,-99.427,-99.954,-99.938,-100.135,-101.178,-99.492,-99.713,-100.748,-96.840,-101.546,-101.256,-101.715,-100.337,-98.375,-101.546,-100.496,-102.228,-101.742,-102.225
166.484,91.097,-103.275,-101.521,-102.217,-102.942,-101.945,-98.261,-102.188,-103.281,-101.334,-101.468,-103.298,-101.470,-100.850,-101.375,-100.752,-100.641,-102.823,-99.155,-99.803,-102.233,-99.098,-99.678,-101.446,-101.267,-98.038,-99.173,-100.708,-98.937,-103.260,-98.736,-100.745,-99.056,-101.189,-100.350,-99.112,-98.297,-98.857,-102.994,-99.237,-102.323,-99.796,-98.519,-101.898,-100.677,-102.825,-99.993,-102.101,-101.896,-98.778,-102.831,-99.393,-99.206,-100.639,-100.185,-103.146,-100.241,-101.090,-100.759,-101.934,-103.640,-102.006,-101.948,-100.302,-100.519,-100.897,-97.541,-97.415,-100.821,-102.191,-99.892,-100.199,-101.711,-101.494,-99.462,-100.822,-103.719,-100.140,-103.369,-100.625,-102.128,-100.876,-97.812,-99.112,-100.829,-100.711,-99.871,-98.745,-101.994,-99.725,-99.890,-101.012,-101.810,-102.314,-102.586,-102.092,-101.130,-101.064,-102.499,-100.734,-102.675,-98.998
144.960,91.097,-103.772,-99.536,-102.036,-102.123,-100.682,-98.782,-101.679,-101.727,-101.850,-100.893,-101.757,-98.920,-100.739,-98.361,-102.318,-102.559,-99.826,-101.649,-99.116,-100.534,-99.997,-100.110,-101.216,-101.965,-99.662,-102.969,-99.856,-100.509,-99.896,-102.198,-103.388,-100.254,-99.916,-103.534,-98.738,-100.180,-100.843,-101.924,-102.099,-98.759,-102.634,-101.900,-100.408,-101.715,-98.683,-101.729,-102.072,-98.813,-98.768,-100.605,-101.157,-98.308,-99.920,-101.096,-99.717,-99.270,-100.848,-101.003,-99.250,-100.796,-100.844,-97.725,-101.441,-100.439,-98.844,-101.522,-99.747,-100.626,-101.013,-102.554,-101.952,-100.662,-98.609,-102.010,-98.643,-103.037,-101.919,-100.335,-101.102,-99.059,-101.419,-102.217,-100.852,-101.369,-100.345,-101.713,-99.268,-100.382,-102.805,-100.560,-98.731,-99.998,-98.510,-102.950,-102.096,-100.611,-98.424,-99.638,-102.735,-99.963,-101.461
123.437,91.097,-98.039,-102.396,-100.578,-99.519,-98.990,-101.699,-99.361,-100.386,-99.724,-99.563,-100.824,-103.652,-101.545,-101.457,-101.119,-98.711,-101.186,-102.413,-101.524,-101.701,-102.568,-100.830,-101.733,-97.410,-99.114,-98.525,-101.473,-101.629,-101.422,-101.737,-99.943,-101.696,-102.698,-101.518,-101.782,-100.880,-101.108,-100.743,-99.238,-100.433,-99.381,-101.459,-98.515,-99.953,-99.245,-102.415,-99.626,-100.870,-100.780,-100.405,-100.525,-101.782,-99.807,-100.108,-101.017,-98.866,-103.801,-102.345,-100.593,-102.208,-99.149,-98.385,-102.299,-99.210,-102.574,-98.518,-101.891,-99.600,-100.926,-100.720,-98.637,-101.474,-99.320,-102.573,-101.572,-106.211,-100.828,-100.916,-100.388,-99.328,-102.208,-98.978,-101.938,-101.909,-100.098,-99.801,-101.586,-102.485,-100.066,-99.104,-98.836,-99.688,-101.816,-102.541,-101.781,-100.628,-101.535,-98.645,-104.403,-100.332,-101.543
