PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
317.147,91.097,-98.309
289.474,91.097,-98.137
261.801,91.097,-97.997
234.129,91.097,-97.776
206.456,91.097,-97.569
178.783,91.097,-97.943
151.110,91.097,-97.352
123.437,91.097,-98.264
317.147,98.014,-98.195
289.474,98.014,-97.954
261.801,98.014,-98.196
234.129,98.014,-98.063
206.456,98.014,-98.820
178.783,98.014,-98.555
151.110,98.014,-98.265
123.437,98.014,-98.597
317.147,104.931,-97.290
289.474,104.931,-97.526
261.801,104.931,-98.154
234.129,104.931,-98.424
206.456,104.931,-97.956
178.783,104.931,-98.391
151.110,104.931,-98.585
123.437,104.931,-96.625
317.147,111.848,-96.430
289.474,111.848,-98.057
261.801,111.848,-97.922
234.129,111.848,-97.969
206.456,111.848,-98.624
178.783,111.848,-98.757
151.110,111.848,-97.524
123.437,111.848,-97.647
317.147,118.766,-97.060
289.474,118.766,-98.132
261.801,118.766,-98.466
234.129,118.766,-96.605
206.456,118.766,-97.553
178.783,118.766,-98.484
151.110,118.766,-98.594
123.437,118.766,-97.871
317.147,125.683,-98.311
289.474,125.683,-99.031
261.801,125.683,-97.593
234.129,125.683,-98.194
206.456,125.683,-98.061
178.783,125.683,-98.171
151.110,125.683,-98.144
123.437,125.683,-98.701
317.147,132.600,-97.924
289.474,132.600,-97.823
261.801,132.600,-98.158
234.129,132.600,-98.754
206.456,132.600,-98.236
178.783,132.600,-98.028
151.110,132.600,-97.233
123.437,132.600,-98.135
317.147,139.517,-98.021
289.474,139.517,-98.651
261.801,139.517,-97.944
234.129,139.517,-98.262
206.456,139.517,-98.837
178.783,139.517,-97.921
151.110,139.517,-97.482
123.437,139.517,-99.305
