PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
128.977,-187.819,11.120
131.013,-187.819,10.850
133.049,-187.819,11.357
135.084,-187.819,11.619
137.120,-187.819,12.328
139.156,-187.819,12.985
141.192,-187.819,12.907
143.228,-187.819,13.867
145.264,-187.819,13.708
147.300,-187.819,14.187
149.336,-187.819,14.579
151.372,-187.819,14.675
153.408,-187.819,15.166
155.444,-187.819,15.508
157.480,-187.819,15.950
159.516,-187.819,16.191
161.552,-187.819,16.545
163.588,-187.819,16.840
165.624,-187.819,17.177
167.660,-187.819,17.469
169.696,-187.819,18.032
171.732,-187.819,18.385
173.768,-187.819,18.767
175.804,-187.819,18.919
177.840,-187.819,19.392
179.876,-187.819,19.886
181.912,-187.819,20.285
183.948,-187.819,20.594
185.984,-187.819,20.931
188.020,-187.819,21.115
190.056,-187.819,21.254
192.092,-187.819,21.442
194.128,-187.819,21.568
196.164,-187.819,21.754
198.200,-187.819,21.904
200.236,-187.819,22.095
202.272,-187.819,22.208
204.308,-187.819,22.444
206.344,-187.819,22.694
208.380,-187.819,22.830
210.416,-187.819,23.099
212.452,-187.819,23.240
214.488,-187.819,23.350
216.524,-187.819,23.370
218.560,-187.819,23.522
220.596,-187.819,23.591
222.632,-187.819,23.691
224.668,-187.819,23.787
226.704,-187.819,23.785
228.740,-187.819,23.793
230.776,-187.819,23.656
232.812,-187.819,23.578
234.848,-187.819,23.466
236.884,-187.819,23.389
238.920,-187.819,23.409
128.977,-185.772,10.356
131.013,-185.772,10.742
133.049,-185.772,10.584
135.084,-185.772,11.369
137.120,-185.772,11.764
139.156,-185.772,12.336
141.192,-185.772,12.336
143.228,-185.772,12.841
145.264,-185.772,13.126
147.300,-185.772,13.468
149.336,-185.772,13.935
151.372,-185.772,14.134
153.408,-185.772,14.609
155.444,-185.772,14.962
157.480,-185.772,14.963
159.516,-185.772,15.611
161.552,-185.772,15.624
163.588,-185.772,16.236
165.624,-185.772,16.627
167.660,-185.772,16.850
169.696,-185.772,17.291
171.732,-185.772,17.682
173.768,-185.772,18.128
175.804,-185.772,18.508
177.840,-185.772,19.131
179.876,-185.772,19.362
181.912,-185.772,19.831
183.948,-185.772,20.071
185.984,-185.772,20.417
188.020,-185.772,20.816
190.056,-185.772,20.999
192.092,-185.772,21.015
194.128,-185.772,21.105
196.164,-185.772,21.353
198.200,-185.772,21.548
200.236,-185.772,21.766
202.272,-185.772,21.939
204.308,-185.772,22.312
206.344,-185.772,22.627
208.380,-185.772,22.726
210.416,-185.772,22.963
212.452,-185.772,23.127
214.488,-185.772,23.453
216.524,-185.772,23.560
218.560,-185.772,23.776
220.596,-185.772,23.819
222.632,-185.772,23.937
224.668,-185.772,23.884
226.704,-185.772,24.053
228.740,-185.772,23.978
230.776,-185.772,24.078
232.812,-185.772,24.033
234.848,-185.772,24.019
236.884,-185.772,23.915
238.920,-185.772,23.917
128.977,-183.725,9.485
131.013,-183.725,9.776
133.049,-183.725,10.525
135.084,-183.725,10.966
137.120,-183.725,11.033
139.156,-183.725,11.750
141.192,-183.725,12.215
143.228,-183.725,12.259
145.264,-183.725,13.142
147.300,-183.725,13.027
149.336,-183.725,13.714
151.372,-183.725,13.928
153.408,-183.725,13.809
155.444,-183.725,14.308
157.480,-183.725,14.481
159.516,-183.725,14.757
161.552,-183.725,15.083
163.588,-183.725,15.534
165.624,-183.725,15.766
167.660,-183.725,16.179
169.696,-183.725,16.738
171.732,-183.725,17.202
173.768,-183.725,17.312
175.804,-183.725,17.873
177.840,-183.725,18.316
179.876,-183.725,18.766
181.912,-183.725,19.089
183.948,-183.725,19.555
185.984,-183.725,20.093
188.020,-183.725,20.346
190.056,-183.725,20.348
192.092,-183.725,20.659
194.128,-183.725,20.902
196.164,-183.725,21.113
198.200,-183.725,21.284
200.236,-183.725,21.464
202.272,-183.725,21.760
204.308,-183.725,22.063
206.344,-183.725,22.264
208.380,-183.725,22.596
210.416,-183.725,22.792
212.452,-183.725,23.059
214.488,-183.725,23.340
216.524,-183.725,23.524
218.560,-183.725,23.643
220.596,-183.725,23.611
222.632,-183.725,23.892
224.668,-183.725,23.993
226.704,-183.725,24.073
228.740,-183.725,23.873
230.776,-183.725,23.968
232.812,-183.725,24.079
234.848,-183.725,23.961
236.884,-183.725,23.835
238.920,-183.725,23.645
128.977,-181.679,9.765
131.013,-181.679,9.636
133.049,-181.679,9.880
135.084,-181.679,10.664
137.120,-181.679,10.989
139.156,-181.679,11.378
141.192,-181.679,11.832
143.228,-181.679,11.990
145.264,-181.679,12.355
147.300,-181.679,12.657
149.336,-181.679,12.800
151.372,-181.679,13.082
153.408,-181.679,13.113
155.444,-181.679,13.799
157.480,-181.679,13.579
159.516,-181.679,14.103
161.552,-181.679,14.345
163.588,-181.679,14.728
165.624,-181.679,15.112
167.660,-181.679,15.573
169.696,-181.679,15.802
171.732,-181.679,16.355
173.768,-181.679,17.004
175.804,-181.679,17.308
177.840,-181.679,17.854
179.876,-181.679,18.244
181.912,-181.679,18.837
183.948,-181.679,19.196
185.984,-181.679,19.656
188.020,-181.679,19.811
190.056,-181.679,20.141
192.092,-181.679,20.300
194.128,-181.679,20.603
196.164,-181.679,20.773
198.200,-181.679,21.084
200.236,-181.679,21.333
202.272,-181.679,21.427
204.308,-181.679,21.774
206.344,-181.679,22.132
208.380,-181.679,22.524
210.416,-181.679,22.637
212.452,-181.679,23.092
214.488,-181.679,23.136
216.524,-181.679,23.370
218.560,-181.679,23.631
220.596,-181.679,23.695
222.632,-181.679,23.879
224.668,-181.679,23.913
226.704,-181.679,23.951
228.740,-181.679,23.868
230.776,-181.679,23.953
232.812,-181.679,23.940
