PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
128.977,-187.819,17.572
131.013,-187.819,17.737
133.049,-187.819,18.199
135.084,-187.819,18.409
137.120,-187.819,19.047
139.156,-187.819,19.384
141.192,-187.819,19.689
143.228,-187.819,19.807
145.264,-187.819,19.982
147.300,-187.819,20.185
149.336,-187.819,20.279
151.372,-187.819,20.334
153.408,-187.819,20.291
155.444,-187.819,20.579
157.480,-187.819,20.521
159.516,-187.819,20.409
161.552,-187.819,20.546
163.588,-187.819,20.472
165.624,-187.819,20.284
167.660,-187.819,20.333
169.696,-187.819,20.091
171.732,-187.819,20.035
173.768,-187.819,19.943
175.804,-187.819,19.842
177.840,-187.819,19.840
179.876,-187.819,19.524
181.912,-187.819,19.444
183.948,-187.819,19.644
185.984,-187.819,19.525
188.020,-187.819,19.604
190.056,-187.819,19.570
192.092,-187.819,19.684
194.128,-187.819,19.422
196.164,-187.819,19.370
198.200,-187.819,19.058
200.236,-187.819,19.138
202.272,-187.819,18.968
204.308,-187.819,18.749
206.344,-187.819,18.663
208.380,-187.819,18.525
210.416,-187.819,18.071
212.452,-187.819,17.937
214.488,-187.819,17.480
216.524,-187.819,17.257
218.560,-187.819,17.184
220.596,-187.819,16.787
222.632,-187.819,16.544
224.668,-187.819,16.385
226.704,-187.819,16.003
228.740,-187.819,16.115
230.776,-187.819,15.550
232.812,-187.819,15.564
234.848,-187.819,15.135
236.884,-187.819,15.161
238.920,-187.819,15.154
128.977,-185.772,15.074
131.013,-185.772,14.904
133.049,-185.772,15.109
135.084,-185.772,15.298
137.120,-185.772,15.603
139.156,-185.772,16.096
141.192,-185.772,16.777
143.228,-185.772,17.227
145.264,-185.772,17.417
147.300,-185.772,18.187
149.336,-185.772,18.525
151.372,-185.772,18.796
153.408,-185.772,18.915
155.444,-185.772,19.220
157.480,-185.772,19.378
159.516,-185.772,19.309
161.552,-185.772,19.493
163.588,-185.772,19.276
165.624,-185.772,19.580
167.660,-185.772,19.495
169.696,-185.772,19.470
171.732,-185.772,19.462
173.768,-185.772,19.247
175.804,-185.772,19.224
177.840,-185.772,19.226
179.876,-185.772,19.075
181.912,-185.772,19.124
183.948,-185.772,19.156
185.984,-185.772,19.195
188.020,-185.772,19.252
190.056,-185.772,19.193
192.092,-185.772,19.208
194.128,-185.772,19.172
196.164,-185.772,19.310
198.200,-185.772,19.115
200.236,-185.772,18.959
202.272,-185.772,18.920
204.308,-185.772,18.815
206.344,-185.772,18.593
208.380,-185.772,18.298
210.416,-185.772,18.101
212.452,-185.772,17.883
214.488,-185.772,17.720
216.524,-185.772,17.549
218.560,-185.772,17.086
220.596,-185.772,17.119
222.632,-185.772,16.578
224.668,-185.772,16.157
226.704,-185.772,16.139
228.740,-185.772,15.755
230.776,-185.772,15.685
232.812,-185.772,15.567
234.848,-185.772,15.393
236.884,-185.772,15.492
238.920,-185.772,15.361
128.977,-183.725,14.873
131.013,-183.725,14.972
133.049,-183.725,15.190
135.084,-183.725,15.561
137.120,-183.725,15.873
139.156,-183.725,16.435
141.192,-183.725,17.034
143.228,-183.725,17.494
145.264,-183.725,18.051
147.300,-183.725,18.405
149.336,-183.725,18.838
151.372,-183.725,19.068
153.408,-183.725,19.349
155.444,-183.725,19.509
157.480,-183.725,19.754
159.516,-183.725,19.631
161.552,-183.725,19.803
163.588,-183.725,19.761
165.624,-183.725,19.862
167.660,-183.725,19.853
169.696,-183.725,19.788
171.732,-183.725,19.530
173.768,-183.725,19.423
175.804,-183.725,19.484
177.840,-183.725,19.515
179.876,-183.725,19.392
181.912,-183.725,19.576
183.948,-183.725,19.367
185.984,-183.725,19.708
188.020,-183.725,19.763
190.056,-183.725,19.945
192.092,-183.725,19.958
194.128,-183.725,19.878
196.164,-183.725,20.131
198.200,-183.725,19.796
200.236,-183.725,19.863
202.272,-183.725,19.636
204.308,-183.725,19.290
206.344,-183.725,19.325
208.380,-183.725,19.011
210.416,-183.725,18.676
212.452,-183.725,18.586
214.488,-183.725,18.191
216.524,-183.725,18.007
218.560,-183.725,17.591
220.596,-183.725,17.501
222.632,-183.725,17.137
224.668,-183.725,17.024
226.704,-183.725,16.879
228.740,-183.725,16.622
230.776,-183.725,16.650
232.812,-183.725,16.040
234.848,-183.725,16.101
236.884,-183.725,15.699
238.920,-183.725,15.486
128.977,-181.679,15.159
131.013,-181.679,15.488
133.049,-181.679,15.854
135.084,-181.679,16.041
137.120,-181.679,16.595
139.156,-181.679,17.015
141.192,-181.679,17.696
143.228,-181.679,18.253
145.264,-181.679,18.621
147.300,-181.679,19.173
149.336,-181.679,19.153
151.372,-181.679,19.671
153.408,-181.679,19.870
155.444,-181.679,20.068
157.480,-181.679,20.083
159.516,-181.679,20.084
161.552,-181.679,20.276
163.588,-181.679,20.153
165.624,-181.679,20.275
167.660,-181.679,20.217
169.696,-181.679,20.221
171.732,-181.679,19.987
173.768,-181.679,20.002
175.804,-181.679,19.913
177.840,-181.679,19.963
179.876,-181.679,19.889
181.912,-181.679,20.018
183.948,-181.679,20.306
185.984,-181.679,20.271
188.020,-181.679,20.430
190.056,-181.679,20.664
192.092,-181.679,20.824
194.128,-181.679,20.759
196.164,-181.679,20.786
198.200,-181.679,20.759
200.236,-181.679,20.665
202.272,-181.679,20.499
204.308,-181.679,20.154
206.344,-181.679,20.132
208.380,-181.679,19.807
210.416,-181.679,19.478
212.452,-181.679,19.139
214.488,-181.679,18.909
216.524,-181.679,18.690
218.560,-181.679,18.182
220.596,-181.679,18.119
222.632,-181.679,17.745
224.668,-181.679,17.812
226.704,-181.679,17.287
228.740,-181.679,17.257
230.776,-181.679,16.948
232.812,-181.679,16.741
