PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
220.578,-211.661,18.792
222.946,-211.661,18.497
225.314,-211.661,18.758
227.682,-211.661,18.643
230.050,-211.661,18.567
232.418,-211.661,18.062
234.786,-211.661,17.861
237.154,-211.661,17.894
239.522,-211.661,17.907
241.890,-211.661,18.079
244.258,-211.661,17.978
246.626,-211.661,18.085
248.994,-211.661,17.868
251.362,-211.661,18.114
253.730,-211.661,18.026
220.578,-209.545,19.297
222.946,-209.545,19.226
225.314,-209.545,19.180
227.682,-209.545,18.791
230.050,-209.545,18.719
232.418,-209.545,18.501
234.786,-209.545,18.128
237.154,-209.545,17.745
239.522,-209.545,17.530
241.890,-209.545,17.347
244.258,-209.545,17.162
246.626,-209.545,17.650
248.994,-209.545,17.147
251.362,-209.545,17.404
253.730,-209.545,17.549
220.578,-207.429,19.538
222.946,-207.429,19.543
225.314,-207.429,19.588
227.682,-207.429,19.224
230.050,-207.429,18.741
232.418,-207.429,18.647
234.786,-207.429,18.342
237.154,-207.429,18.073
239.522,-207.429,17.534
241.890,-207.429,17.642
244.258,-207.429,17.354
246.626,-207.429,17.209
248.994,-207.429,17.148
251.362,-207.429,16.876
253.730,-207.429,17.003
220.578,-205.313,19.499
222.946,-205.313,19.397
225.314,-205.313,19.591
227.682,-205.313,19.359
230.050,-205.313,18.952
232.418,-205.313,18.755
234.786,-205.313,18.305
237.154,-205.313,18.267
239.522,-205.313,17.957
241.890,-205.313,17.765
244.258,-205.313,17.542
246.626,-205.313,17.223
248.994,-205.313,17.120
251.362,-205.313,16.868
253.730,-205.313,16.955
220.578,-203.197,19.466
222.946,-203.197,19.289
225.314,-203.197,19.283
227.682,-203.197,19.356
230.050,-203.197,18.998
232.418,-203.197,18.777
234.786,-203.197,18.623
237.154,-203.197,18.278
239.522,-203.197,18.334
241.890,-203.197,17.871
244.258,-203.197,17.969
246.626,-203.197,17.595
248.994,-203.197,17.024
251.362,-203.197,16.928
253.730,-203.197,16.859
220.578,-201.081,19.278
222.946,-201.081,19.278
225.314,-201.081,19.390
227.682,-201.081,19.381
230.050,-201.081,18.686
232.418,-201.081,18.932
234.786,-201.081,18.457
237.154,-201.081,18.231
239.522,-201.081,18.363
241.890,-201.081,18.041
244.258,-201.081,17.777
246.626,-201.081,17.187
