PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
220.578,-211.661,16.428
222.946,-211.661,16.594
225.314,-211.661,16.491
227.682,-211.661,16.585
230.050,-211.661,16.614
232.418,-211.661,16.598
234.786,-211.661,16.648
237.154,-211.661,16.821
239.522,-211.661,16.721
241.890,-211.661,16.824
244.258,-211.661,16.996
246.626,-211.661,17.009
248.994,-211.661,16.776
251.362,-211.661,16.888
253.730,-211.661,16.883
220.578,-209.545,16.200
222.946,-209.545,16.317
225.314,-209.545,16.433
227.682,-209.545,16.706
230.050,-209.545,16.588
232.418,-209.545,16.702
234.786,-209.545,16.686
237.154,-209.545,16.679
239.522,-209.545,17.124
241.890,-209.545,16.904
244.258,-209.545,16.689
246.626,-209.545,16.837
248.994,-209.545,16.887
251.362,-209.545,17.071
253.730,-209.545,16.815
220.578,-207.429,16.167
222.946,-207.429,16.157
225.314,-207.429,16.412
227.682,-207.429,16.583
230.050,-207.429,16.447
232.418,-207.429,16.733
234.786,-207.429,16.461
237.154,-207.429,16.658
239.522,-207.429,16.740
241.890,-207.429,16.809
244.258,-207.429,16.862
246.626,-207.429,16.752
248.994,-207.429,16.700
251.362,-207.429,16.772
253.730,-207.429,16.692
220.578,-205.313,16.065
222.946,-205.313,16.399
225.314,-205.313,16.491
227.682,-205.313,16.308
230.050,-205.313,16.413
232.418,-205.313,16.684
234.786,-205.313,16.690
237.154,-205.313,16.654
239.522,-205.313,16.693
241.890,-205.313,16.816
244.258,-205.313,16.857
246.626,-205.313,16.697
248.994,-205.313,16.877
251.362,-205.313,16.712
253.730,-205.313,16.906
220.578,-203.197,16.122
222.946,-203.197,16.194
225.314,-203.197,16.290
227.682,-203.197,16.457
230.050,-203.197,16.483
232.418,-203.197,16.497
234.786,-203.197,16.626
237.154,-203.197,16.558
239.522,-203.197,16.593
241.890,-203.197,16.534
244.258,-203.197,16.687
246.626,-203.197,16.645
248.994,-203.197,16.825
251.362,-203.197,16.837
253.730,-203.197,16.955
220.578,-201.081,16.325
222.946,-201.081,16.403
225.314,-201.081,16.477
227.682,-201.081,16.389
230.050,-201.081,16.426
232.418,-201.081,16.637
234.786,-201.081,16.685
237.154,-201.081,16.359
239.522,-201.081,16.905
241.890,-201.081,17.055
244.258,-201.081,16.951
246.626,-201.081,16.863
248.994,-201.081,16.724
251.362,-201.081,16.737
253.730,-201.081,16.658
220.578,-198.965,16.370
222.946,-198.965,16.381
225.314,-198.965,16.443
227.682,-198.965,16.555
230.050,-198.965,16.544
232.418,-198.965,16.402
234.786,-198.965,16.567
237.154,-198.965,16.386
239.522,-198.965,16.924
241.890,-198.965,16.883
244.258,-198.965,16.845
246.626,-198.965,16.706
248.994,-198.965,16.670
251.362,-198.965,16.838
253.730,-198.965,16.819
220.578,-196.849,16.291
222.946,-196.849,16.268
225.314,-196.849,16.419
227.682,-196.849,16.440
230.050,-196.849,16.487
232.418,-196.849,16.841
234.786,-196.849,16.820
237.154,-196.849,16.489
239.522,-196.849,16.768
241.890,-196.849,16.875
244.258,-196.849,16.961
246.626,-196.849,16.912
248.994,-196.849,16.978
251.362,-196.849,17.109
253.730,-196.849,16.796
220.578,-194.733,16.400
222.946,-194.733,16.514
225.314,-194.733,16.608
227.682,-194.733,16.580
230.050,-194.733,16.651
232.418,-194.733,16.932
234.786,-194.733,16.817
237.154,-194.733,16.992
239.522,-194.733,17.075
241.890,-194.733,17.081
244.258,-194.733,17.032
246.626,-194.733,16.972
248.994,-194.733,16.920
251.362,-194.733,17.058
253.730,-194.733,16.910
220.578,-192.617,16.429
222.946,-192.617,16.463
225.314,-192.617,16.686
227.682,-192.617,16.842
230.050,-192.617,16.759
232.418,-192.617,17.040
234.786,-192.617,16.879
237.154,-192.617,17.049
239.522,-192.617,16.875
241.890,-192.617,16.895
244.258,-192.617,16.910
246.626,-192.617,16.956
248.994,-192.617,17.075
251.362,-192.617,17.001
253.730,-192.617,16.918
220.578,-190.501,16.405
222.946,-190.501,16.498
225.314,-190.501,16.868
227.682,-190.501,16.799
230.050,-190.501,16.887
232.418,-190.501,16.935
234.786,-190.501,17.084
237.154,-190.501,16.980
239.522,-190.501,17.106
241.890,-190.501,16.954
244.258,-190.501,17.115
246.626,-190.501,16.824
248.994,-190.501,16.945
251.362,-190.501,17.171
253.730,-190.501,17.114
220.578,-188.385,16.265
222.946,-188.385,16.799
225.314,-188.385,16.804
227.682,-188.385,16.908
230.050,-188.385,17.018
232.418,-188.385,17.226
234.786,-188.385,17.196
237.154,-188.385,17.123
239.522,-188.385,17.132
241.890,-188.385,17.070
244.258,-188.385,17.221
246.626,-188.385,17.175
248.994,-188.385,17.182
251.362,-188.385,17.099
253.730,-188.385,17.002
220.578,-186.269,16.963
222.946,-186.269,16.996
225.314,-186.269,16.966
227.682,-186.269,16.929
230.050,-186.269,17.118
232.418,-186.269,17.172
234.786,-186.269,17.388
237.154,-186.269,17.223
239.522,-186.269,17.174
241.890,-186.269,17.439
244.258,-186.269,16.963
246.626,-186.269,17.216
248.994,-186.269,17.260
251.362,-186.269,17.255
253.730,-186.269,17.242
220.578,-184.153,17.154
222.946,-184.153,17.176
225.314,-184.153,17.426
227.682,-184.153,17.129
230.050,-184.153,17.034
232.418,-184.153,17.256
234.786,-184.153,17.588
237.154,-184.153,17.369
239.522,-184.153,17.489
241.890,-184.153,17.349
244.258,-184.153,17.301
246.626,-184.153,17.386
248.994,-184.153,17.275
251.362,-184.153,17.131
253.730,-184.153,17.085
220.578,-182.037,17.190
222.946,-182.037,17.256
225.314,-182.037,17.500
227.682,-182.037,17.430
230.050,-182.037,17.547
232.418,-182.037,17.511
234.786,-182.037,17.742
237.154,-182.037,17.625
239.522,-182.037,17.804
241.890,-182.037,17.683
244.258,-182.037,17.437
246.626,-182.037,17.560
248.994,-182.037,17.462
251.362,-182.037,17.297
253.730,-182.037,17.114
220.578,-179.920,17.389
222.946,-179.920,17.369
225.314,-179.920,17.588
227.682,-179.920,17.762
230.050,-179.920,17.735
232.418,-179.920,17.455
234.786,-179.920,17.843
237.154,-179.920,17.638
239.522,-179.920,17.709
241.890,-179.920,17.777
244.258,-179.920,17.463
246.626,-179.920,17.515
248.994,-179.920,17.519
251.362,-179.920,17.236
253.730,-179.920,17.401
220.578,-177.804,17.582
222.946,-177.804,17.914
225.314,-177.804,17.590
227.682,-177.804,17.654
230.050,-177.804,18.151
232.418,-177.804,17.916
234.786,-177.804,17.943
237.154,-177.804,17.785
239.522,-177.804,17.941
241.890,-177.804,17.766
244.258,-177.804,17.635
246.626,-177.804,17.608
248.994,-177.804,17.447
251.362,-177.804,17.462
253.730,-177.804,17.454
220.578,-175.688,17.913
222.946,-175.688,17.632
225.314,-175.688,17.798
227.682,-175.688,18.026
230.050,-175.688,17.911
232.418,-175.688,18.051
234.786,-175.688,18.080
237.154,-175.688,18.069
239.522,-175.688,17.880
241.890,-175.688,17.877
244.258,-175.688,17.807
246.626,-175.688,17.785
248.994,-175.688,17.614
251.362,-175.688,17.455
253.730,-175.688,17.475
220.578,-173.572,18.129
222.946,-173.572,18.132
225.314,-173.572,18.178
227.682,-173.572,18.114
230.050,-173.572,18.198
232.418,-173.572,18.277
234.786,-173.572,18.243
237.154,-173.572,18.198
239.522,-173.572,18.026
241.890,-173.572,17.946
244.258,-173.572,17.956
246.626,-173.572,17.896
248.994,-173.572,17.789
251.362,-173.572,17.486
253.730,-173.572,17.504
220.578,-171.456,18.206
222.946,-171.456,18.228
225.314,-171.456,18.365
227.682,-171.456,18.404
230.050,-171.456,18.417
232.418,-171.456,18.354
234.786,-171.456,18.444
237.154,-171.456,18.497
239.522,-171.456,18.030
241.890,-171.456,18.282
244.258,-171.456,17.995
246.626,-171.456,18.001
248.994,-171.456,17.854
251.362,-171.456,17.545
253.730,-171.456,17.602
220.578,-169.340,18.533
222.946,-169.340,18.488
225.314,-169.340,18.449
227.682,-169.340,18.438
230.050,-169.340,18.567
232.418,-169.340,18.490
234.786,-169.340,18.703
237.154,-169.340,18.492
239.522,-169.340,18.445
241.890,-169.340,18.338
244.258,-169.340,18.076
246.626,-169.340,18.070
248.994,-169.340,18.084
251.362,-169.340,17.904
253.730,-169.340,17.662
220.578,-167.224,18.538
222.946,-167.224,18.684
225.314,-167.224,18.637
227.682,-167.224,18.591
230.050,-167.224,18.844
232.418,-167.224,18.696
234.786,-167.224,18.698
237.154,-167.224,18.692
239.522,-167.224,18.499
241.890,-167.224,18.376
244.258,-167.224,18.423
246.626,-167.224,18.011
248.994,-167.224,17.878
251.362,-167.224,17.836
253.730,-167.224,17.652
220.578,-165.108,18.549
222.946,-165.108,18.756
225.314,-165.108,18.768
227.682,-165.108,18.791
230.050,-165.108,18.889
232.418,-165.108,18.750
234.786,-165.108,18.611
237.154,-165.108,18.567
239.522,-165.108,18.522
241.890,-165.108,18.541
244.258,-165.108,18.401
246.626,-165.108,18.117
248.994,-165.108,18.035
251.362,-165.108,17.897
253.730,-165.108,17.683
220.578,-162.992,18.726
222.946,-162.992,18.668
225.314,-162.992,19.013
227.682,-162.992,18.768
230.050,-162.992,18.898
232.418,-162.992,18.939
234.786,-162.992,19.004
237.154,-162.992,18.799
239.522,-162.992,18.648
241.890,-162.992,18.640
244.258,-162.992,18.539
246.626,-162.992,18.276
248.994,-162.992,18.186
251.362,-162.992,17.966
253.730,-162.992,17.769
220.578,-160.876,18.611
222.946,-160.876,18.785
225.314,-160.876,18.867
227.682,-160.876,19.021
230.050,-160.876,19.036
232.418,-160.876,18.964
234.786,-160.876,19.021
237.154,-160.876,18.831
239.522,-160.876,18.906
241.890,-160.876,18.714
244.258,-160.876,18.616
246.626,-160.876,18.423
248.994,-160.876,18.128
251.362,-160.876,17.976
253.730,-160.876,17.870
220.578,-158.760,18.553
222.946,-158.760,18.680
225.314,-158.760,19.042
227.682,-158.760,18.850
230.050,-158.760,18.922
232.418,-158.760,18.812
234.786,-158.760,19.021
237.154,-158.760,18.908
239.522,-158.760,18.930
241.890,-158.760,18.655
244.258,-158.760,18.593
246.626,-158.760,18.496
248.994,-158.760,18.290
251.362,-158.760,18.175
253.730,-158.760,17.920
220.578,-156.644,18.445
222.946,-156.644,18.612
225.314,-156.644,18.665
227.682,-156.644,18.701
