PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
174.473,-167.603,13.536
176.579,-167.603,13.551
178.685,-167.603,13.875
180.791,-167.603,13.996
182.897,-167.603,13.982
185.003,-167.603,13.987
187.109,-167.603,14.212
189.215,-167.603,14.545
191.321,-167.603,14.451
193.427,-167.603,14.728
195.533,-167.603,14.702
197.639,-167.603,14.817
199.745,-167.603,15.131
201.851,-167.603,15.372
203.957,-167.603,15.388
206.063,-167.603,15.280
208.169,-167.603,15.185
210.275,-167.603,15.439
212.381,-167.603,15.386
214.487,-167.603,15.428
216.593,-167.603,15.345
218.699,-167.603,15.388
220.805,-167.603,15.495
222.911,-167.603,15.304
225.017,-167.603,14.902
227.123,-167.603,14.747
229.229,-167.603,14.203
231.335,-167.603,13.967
233.441,-167.603,12.894
235.547,-167.603,12.742
237.653,-167.603,12.513
239.759,-167.603,12.479
241.865,-167.603,12.318
243.971,-167.603,12.034
246.077,-167.603,11.962
248.183,-167.603,11.569
250.289,-167.603,11.768
252.395,-167.603,11.174
254.501,-167.603,11.051
256.607,-167.603,10.495
258.713,-167.603,11.300
260.819,-167.603,10.663
262.925,-167.603,10.863
265.031,-167.603,10.752
267.137,-167.603,10.125
269.243,-167.603,10.996
271.349,-167.603,10.582
273.455,-167.603,11.220
275.561,-167.603,10.822
277.667,-167.603,10.557
279.773,-167.603,11.249
281.879,-167.603,11.061
283.985,-167.603,11.406
286.091,-167.603,11.079
288.197,-167.603,10.946
174.473,-165.291,13.417
176.579,-165.291,13.299
178.685,-165.291,13.997
180.791,-165.291,13.564
182.897,-165.291,14.093
185.003,-165.291,14.530
187.109,-165.291,14.324
189.215,-165.291,14.398
191.321,-165.291,15.104
193.427,-165.291,14.830
195.533,-165.291,15.115
197.639,-165.291,15.082
199.745,-165.291,14.749
201.851,-165.291,15.412
203.957,-165.291,15.079
206.063,-165.291,15.621
208.169,-165.291,15.409
210.275,-165.291,15.290
212.381,-165.291,15.357
214.487,-165.291,15.227
216.593,-165.291,15.315
218.699,-165.291,15.570
220.805,-165.291,15.189
222.911,-165.291,15.248
225.017,-165.291,15.237
227.123,-165.291,15.155
229.229,-165.291,15.137
231.335,-165.291,14.865
233.441,-165.291,14.619
235.547,-165.291,14.018
237.653,-165.291,13.799
239.759,-165.291,13.173
241.865,-165.291,12.717
243.971,-165.291,12.828
246.077,-165.291,12.688
248.183,-165.291,12.643
250.289,-165.291,12.753
252.395,-165.291,12.455
254.501,-165.291,12.150
256.607,-165.291,11.720
258.713,-165.291,12.157
260.819,-165.291,11.830
262.925,-165.291,12.067
265.031,-165.291,12.394
267.137,-165.291,11.638
269.243,-165.291,11.735
271.349,-165.291,11.456
273.455,-165.291,11.818
275.561,-165.291,11.789
277.667,-165.291,11.829
279.773,-165.291,11.674
281.879,-165.291,11.456
283.985,-165.291,11.651
286.091,-165.291,11.457
288.197,-165.291,10.999
174.473,-162.979,13.376
176.579,-162.979,13.127
178.685,-162.979,13.630
180.791,-162.979,13.573
182.897,-162.979,14.025
185.003,-162.979,14.108
187.109,-162.979,14.511
189.215,-162.979,14.542
191.321,-162.979,14.511
193.427,-162.979,14.459
195.533,-162.979,15.036
197.639,-162.979,15.081
199.745,-162.979,14.833
201.851,-162.979,15.333
203.957,-162.979,15.204
206.063,-162.979,15.144
208.169,-162.979,15.191
210.275,-162.979,15.580
212.381,-162.979,14.995
214.487,-162.979,15.088
216.593,-162.979,15.156
218.699,-162.979,15.223
220.805,-162.979,15.339
222.911,-162.979,15.189
225.017,-162.979,15.160
227.123,-162.979,14.838
229.229,-162.979,14.689
231.335,-162.979,14.634
233.441,-162.979,14.510
235.547,-162.979,14.137
237.653,-162.979,13.999
239.759,-162.979,13.660
241.865,-162.979,13.288
243.971,-162.979,12.507
246.077,-162.979,12.423
248.183,-162.979,12.579
250.289,-162.979,12.409
252.395,-162.979,12.683
254.501,-162.979,12.154
256.607,-162.979,12.089
258.713,-162.979,12.170
260.819,-162.979,12.587
262.925,-162.979,11.944
265.031,-162.979,12.358
267.137,-162.979,12.062
269.243,-162.979,11.940
271.349,-162.979,12.184
273.455,-162.979,12.021
275.561,-162.979,12.022
277.667,-162.979,11.733
279.773,-162.979,11.800
281.879,-162.979,11.923
283.985,-162.979,12.022
286.091,-162.979,11.769
288.197,-162.979,11.303
174.473,-160.667,13.290
176.579,-160.667,13.351
178.685,-160.667,13.360
180.791,-160.667,13.880
182.897,-160.667,14.088
185.003,-160.667,13.943
187.109,-160.667,14.230
189.215,-160.667,14.502
191.321,-160.667,14.621
193.427,-160.667,14.775
195.533,-160.667,14.915
197.639,-160.667,15.173
199.745,-160.667,15.222
201.851,-160.667,14.790
203.957,-160.667,15.124
206.063,-160.667,14.944
208.169,-160.667,15.153
210.275,-160.667,15.194
212.381,-160.667,15.097
214.487,-160.667,14.964
216.593,-160.667,15.108
218.699,-160.667,15.007
220.805,-160.667,15.092
222.911,-160.667,14.919
225.017,-160.667,14.514
227.123,-160.667,14.664
229.229,-160.667,14.305
231.335,-160.667,14.232
233.441,-160.667,13.984
235.547,-160.667,13.778
237.653,-160.667,13.941
239.759,-160.667,13.542
241.865,-160.667,13.084
243.971,-160.667,12.594
246.077,-160.667,12.648
248.183,-160.667,12.370
250.289,-160.667,11.905
252.395,-160.667,11.819
254.501,-160.667,12.408
256.607,-160.667,11.962
258.713,-160.667,12.157
260.819,-160.667,12.689
262.925,-160.667,12.696
265.031,-160.667,12.547
267.137,-160.667,12.315
269.243,-160.667,12.380
271.349,-160.667,12.738
273.455,-160.667,12.606
275.561,-160.667,12.072
277.667,-160.667,12.457
279.773,-160.667,12.158
281.879,-160.667,12.220
283.985,-160.667,12.154
286.091,-160.667,11.742
288.197,-160.667,11.963
174.473,-158.356,13.571
176.579,-158.356,13.241
178.685,-158.356,13.553
180.791,-158.356,13.696
182.897,-158.356,13.900
185.003,-158.356,13.857
187.109,-158.356,14.229
189.215,-158.356,14.348
191.321,-158.356,14.733
193.427,-158.356,14.513
195.533,-158.356,14.724
197.639,-158.356,14.815
199.745,-158.356,15.094
201.851,-158.356,14.798
203.957,-158.356,15.137
206.063,-158.356,14.895
208.169,-158.356,14.716
210.275,-158.356,14.922
212.381,-158.356,14.918
214.487,-158.356,15.008
216.593,-158.356,15.126
218.699,-158.356,14.946
220.805,-158.356,14.725
222.911,-158.356,14.458
225.017,-158.356,14.403
227.123,-158.356,14.188
229.229,-158.356,13.937
231.335,-158.356,14.156
233.441,-158.356,13.954
235.547,-158.356,13.449
237.653,-158.356,13.566
239.759,-158.356,12.952
241.865,-158.356,12.547
243.971,-158.356,12.431
246.077,-158.356,12.429
248.183,-158.356,12.213
250.289,-158.356,11.917
252.395,-158.356,12.627
254.501,-158.356,12.233
256.607,-158.356,12.599
258.713,-158.356,12.409
260.819,-158.356,12.608
262.925,-158.356,12.354
265.031,-158.356,12.528
267.137,-158.356,12.603
269.243,-158.356,12.883
271.349,-158.356,12.776
273.455,-158.356,12.854
275.561,-158.356,12.682
277.667,-158.356,12.681
279.773,-158.356,12.725
281.879,-158.356,12.925
283.985,-158.356,12.623
286.091,-158.356,12.735
288.197,-158.356,13.054
174.473,-156.044,12.942
176.579,-156.044,13.491
178.685,-156.044,13.441
180.791,-156.044,13.674
182.897,-156.044,13.679
185.003,-156.044,13.647
187.109,-156.044,13.989
189.215,-156.044,14.039
191.321,-156.044,13.932
193.427,-156.044,14.652
195.533,-156.044,14.689
197.639,-156.044,14.954
199.745,-156.044,14.336
201.851,-156.044,14.800
203.957,-156.044,14.652
206.063,-156.044,14.966
208.169,-156.044,14.707
210.275,-156.044,14.951
212.381,-156.044,14.864
214.487,-156.044,14.657
216.593,-156.044,14.726
218.699,-156.044,14.839
220.805,-156.044,14.720
222.911,-156.044,14.391
225.017,-156.044,13.880
227.123,-156.044,14.070
229.229,-156.044,13.576
231.335,-156.044,13.633
233.441,-156.044,13.303
235.547,-156.044,13.171
237.653,-156.044,12.992
239.759,-156.044,12.797
241.865,-156.044,12.412
243.971,-156.044,12.291
246.077,-156.044,12.337
248.183,-156.044,11.715
250.289,-156.044,12.296
252.395,-156.044,12.509
254.501,-156.044,12.228
256.607,-156.044,12.001
258.713,-156.044,12.308
260.819,-156.044,12.346
262.925,-156.044,12.227
265.031,-156.044,12.415
267.137,-156.044,12.654
269.243,-156.044,13.016
271.349,-156.044,12.831
273.455,-156.044,12.647
275.561,-156.044,12.767
277.667,-156.044,13.117
279.773,-156.044,12.773
281.879,-156.044,12.921
283.985,-156.044,13.260
286.091,-156.044,13.215
288.197,-156.044,12.839
174.473,-153.732,12.894
176.579,-153.732,13.165
178.685,-153.732,13.590
180.791,-153.732,13.428
182.897,-153.732,13.088
185.003,-153.732,13.686
187.109,-153.732,13.791
189.215,-153.732,14.217
191.321,-153.732,14.156
193.427,-153.732,14.284
195.533,-153.732,14.561
197.639,-153.732,14.639
199.745,-153.732,14.887
201.851,-153.732,14.721
203.957,-153.732,14.883
206.063,-153.732,14.648
208.169,-153.732,14.521
210.275,-153.732,14.691
212.381,-153.732,14.427
214.487,-153.732,14.635
216.593,-153.732,14.508
218.699,-153.732,14.279
220.805,-153.732,14.163
222.911,-153.732,14.047
225.017,-153.732,13.878
227.123,-153.732,13.436
229.229,-153.732,13.303
231.335,-153.732,13.192
233.441,-153.732,12.836
235.547,-153.732,12.189
237.653,-153.732,12.544
239.759,-153.732,12.248
241.865,-153.732,12.228
243.971,-153.732,12.009
246.077,-153.732,11.613
248.183,-153.732,11.655
250.289,-153.732,12.008
252.395,-153.732,11.865
254.501,-153.732,11.984
256.607,-153.732,12.421
258.713,-153.732,12.369
260.819,-153.732,12.339
262.925,-153.732,12.640
265.031,-153.732,12.531
267.137,-153.732,12.540
269.243,-153.732,12.704
271.349,-153.732,12.558
273.455,-153.732,13.097
275.561,-153.732,12.913
277.667,-153.732,13.073
279.773,-153.732,12.996
281.879,-153.732,12.978
283.985,-153.732,13.302
286.091,-153.732,13.054
288.197,-153.732,13.216
174.473,-151.420,12.719
176.579,-151.420,12.707
178.685,-151.420,13.101
180.791,-151.420,13.007
182.897,-151.420,13.456
185.003,-151.420,13.629
187.109,-151.420,13.376
189.215,-151.420,13.886
191.321,-151.420,14.052
193.427,-151.420,13.948
195.533,-151.420,14.135
197.639,-151.420,13.988
199.745,-151.420,14.552
201.851,-151.420,14.504
203.957,-151.420,14.609
206.063,-151.420,14.188
208.169,-151.420,14.486
210.275,-151.420,14.420
212.381,-151.420,14.299
214.487,-151.420,14.229
216.593,-151.420,14.241
218.699,-151.420,13.677
220.805,-151.420,13.839
222.911,-151.420,13.731
225.017,-151.420,13.368
227.123,-151.420,13.213
229.229,-151.420,12.745
231.335,-151.420,12.958
233.441,-151.420,12.505
235.547,-151.420,12.538
237.653,-151.420,11.975
239.759,-151.420,12.385
241.865,-151.420,11.965
243.971,-151.420,11.823
246.077,-151.420,11.793
248.183,-151.420,11.983
250.289,-151.420,12.231
252.395,-151.420,11.984
254.501,-151.420,11.952
256.607,-151.420,11.960
258.713,-151.420,11.820
260.819,-151.420,12.055
262.925,-151.420,12.230
265.031,-151.420,12.119
267.137,-151.420,12.512
269.243,-151.420,12.388
271.349,-151.420,12.065
273.455,-151.420,12.674
275.561,-151.420,13.004
277.667,-151.420,12.734
279.773,-151.420,13.065
281.879,-151.420,12.807
283.985,-151.420,13.038
286.091,-151.420,12.997
288.197,-151.420,13.050
174.473,-149.109,12.330
176.579,-149.109,12.419
178.685,-149.109,12.672
180.791,-149.109,12.887
182.897,-149.109,13.099
185.003,-149.109,13.078
187.109,-149.109,13.685
189.215,-149.109,13.598
191.321,-149.109,13.798
193.427,-149.109,13.886
195.533,-149.109,13.856
197.639,-149.109,13.870
199.745,-149.109,13.979
201.851,-149.109,14.207
203.957,-149.109,14.264
206.063,-149.109,14.293
208.169,-149.109,13.885
210.275,-149.109,14.185
212.381,-149.109,14.043
214.487,-149.109,13.792
216.593,-149.109,13.727
218.699,-149.109,13.385
220.805,-149.109,13.301
222.911,-149.109,12.674
225.017,-149.109,12.695
227.123,-149.109,12.333
229.229,-149.109,12.427
231.335,-149.109,12.466
233.441,-149.109,12.119
235.547,-149.109,12.314
237.653,-149.109,11.797
239.759,-149.109,12.312
241.865,-149.109,11.660
243.971,-149.109,11.878
246.077,-149.109,12.046
248.183,-149.109,11.741
250.289,-149.109,11.285
252.395,-149.109,11.772
254.501,-149.109,11.390
256.607,-149.109,11.356
258.713,-149.109,11.759
260.819,-149.109,11.530
262.925,-149.109,11.637
265.031,-149.109,11.286
267.137,-149.109,11.706
269.243,-149.109,11.894
271.349,-149.109,12.131
273.455,-149.109,12.197
275.561,-149.109,12.511
277.667,-149.109,12.449
279.773,-149.109,12.539
281.879,-149.109,13.112
283.985,-149.109,12.962
286.091,-149.109,12.954
288.197,-149.109,13.130
174.473,-146.797,12.170
176.579,-146.797,12.609
178.685,-146.797,12.766
180.791,-146.797,12.737
182.897,-146.797,13.136
185.003,-146.797,13.163
187.109,-146.797,13.328
189.215,-146.797,13.326
191.321,-146.797,13.603
193.427,-146.797,13.827
195.533,-146.797,13.635
197.639,-146.797,13.639
199.745,-146.797,13.709
201.851,-146.797,13.533
203.957,-146.797,13.812
206.063,-146.797,13.948
208.169,-146.797,13.840
210.275,-146.797,13.715
212.381,-146.797,13.536
214.487,-146.797,13.396
216.593,-146.797,13.353
218.699,-146.797,13.278
220.805,-146.797,12.384
222.911,-146.797,12.306
225.017,-146.797,12.501
227.123,-146.797,12.063
229.229,-146.797,12.046
231.335,-146.797,12.068
233.441,-146.797,12.096
235.547,-146.797,12.094
237.653,-146.797,11.808
239.759,-146.797,12.105
241.865,-146.797,11.966
243.971,-146.797,11.874
246.077,-146.797,11.372
248.183,-146.797,11.713
250.289,-146.797,11.344
252.395,-146.797,11.342
254.501,-146.797,11.469
256.607,-146.797,11.577
258.713,-146.797,11.364
260.819,-146.797,11.625
262.925,-146.797,11.154
265.031,-146.797,11.512
267.137,-146.797,11.629
269.243,-146.797,11.646
271.349,-146.797,11.622
273.455,-146.797,11.970
275.561,-146.797,12.078
277.667,-146.797,12.355
279.773,-146.797,12.530
281.879,-146.797,12.770
283.985,-146.797,12.923
286.091,-146.797,12.894
288.197,-146.797,13.403
174.473,-144.485,12.651
176.579,-144.485,12.158
178.685,-144.485,12.368
180.791,-144.485,12.636
182.897,-144.485,12.567
185.003,-144.485,12.961
187.109,-144.485,13.144
189.215,-144.485,13.435
191.321,-144.485,13.579
193.427,-144.485,13.350
195.533,-144.485,13.483
197.639,-144.485,13.159
199.745,-144.485,13.647
201.851,-144.485,13.232
203.957,-144.485,13.233
206.063,-144.485,12.876
208.169,-144.485,12.934
210.275,-144.485,12.268
212.381,-144.485,12.460
214.487,-144.485,12.638
216.593,-144.485,12.388
218.699,-144.485,12.419
220.805,-144.485,12.888
222.911,-144.485,12.242
225.017,-144.485,12.091
227.123,-144.485,12.147
229.229,-144.485,11.995
231.335,-144.485,12.195
233.441,-144.485,11.974
235.547,-144.485,12.116
237.653,-144.485,11.800
