PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
174.473,-167.603,12.021
176.579,-167.603,12.301
178.685,-167.603,11.861
180.791,-167.603,11.854
182.897,-167.603,11.233
185.003,-167.603,11.257
187.109,-167.603,10.583
189.215,-167.603,10.314
191.321,-167.603,10.014
193.427,-167.603,9.713
195.533,-167.603,8.685
197.639,-167.603,8.798
199.745,-167.603,8.041
201.851,-167.603,7.097
203.957,-167.603,6.130
206.063,-167.603,6.334
208.169,-167.603,4.410
210.275,-167.603,4.514
212.381,-167.603,4.630
214.487,-167.603,3.382
216.593,-167.603,1.968
218.699,-167.603,1.705
220.805,-167.603,2.074
222.911,-167.603,0.524
225.017,-167.603,1.998
227.123,-167.603,2.649
229.229,-167.603,1.308
231.335,-167.603,2.718
233.441,-167.603,2.682
235.547,-167.603,3.368
237.653,-167.603,3.349
239.759,-167.603,5.382
241.865,-167.603,5.423
243.971,-167.603,6.247
246.077,-167.603,7.309
248.183,-167.603,7.318
250.289,-167.603,7.908
252.395,-167.603,8.334
254.501,-167.603,8.630
256.607,-167.603,8.651
258.713,-167.603,9.000
260.819,-167.603,9.432
262.925,-167.603,9.471
265.031,-167.603,9.766
267.137,-167.603,9.927
269.243,-167.603,10.157
271.349,-167.603,10.189
273.455,-167.603,10.279
275.561,-167.603,10.606
277.667,-167.603,10.646
279.773,-167.603,11.493
281.879,-167.603,11.112
283.985,-167.603,11.847
286.091,-167.603,11.239
288.197,-167.603,11.444
174.473,-165.291,12.564
176.579,-165.291,12.270
178.685,-165.291,12.033
180.791,-165.291,12.022
182.897,-165.291,11.113
185.003,-165.291,11.271
187.109,-165.291,10.820
189.215,-165.291,10.372
191.321,-165.291,9.817
193.427,-165.291,9.543
195.533,-165.291,8.989
197.639,-165.291,8.134
199.745,-165.291,7.464
201.851,-165.291,6.824
203.957,-165.291,6.968
206.063,-165.291,5.784
208.169,-165.291,4.589
210.275,-165.291,4.903
212.381,-165.291,2.504
214.487,-165.291,3.701
216.593,-165.291,1.331
218.699,-165.291,2.837
220.805,-165.291,1.733
222.911,-165.291,1.749
225.017,-165.291,1.204
227.123,-165.291,2.396
229.229,-165.291,2.728
231.335,-165.291,3.669
233.441,-165.291,4.781
235.547,-165.291,4.304
237.653,-165.291,5.082
239.759,-165.291,5.850
241.865,-165.291,6.455
243.971,-165.291,6.112
246.077,-165.291,6.772
248.183,-165.291,7.485
250.289,-165.291,7.776
252.395,-165.291,8.461
254.501,-165.291,8.676
256.607,-165.291,8.745
258.713,-165.291,8.612
260.819,-165.291,9.825
262.925,-165.291,9.759
265.031,-165.291,10.538
267.137,-165.291,10.153
269.243,-165.291,10.675
271.349,-165.291,9.845
273.455,-165.291,10.334
275.561,-165.291,10.127
277.667,-165.291,10.701
279.773,-165.291,11.346
281.879,-165.291,11.290
283.985,-165.291,10.593
286.091,-165.291,10.738
288.197,-165.291,10.990
174.473,-162.979,12.668
176.579,-162.979,12.286
178.685,-162.979,11.950
180.791,-162.979,11.819
182.897,-162.979,11.176
185.003,-162.979,10.892
