PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
168.364,-212.730,15.314
170.476,-212.730,15.528
172.588,-212.730,15.888
174.699,-212.730,16.294
176.811,-212.730,16.390
178.923,-212.730,16.736
181.034,-212.730,17.040
183.146,-212.730,17.244
185.257,-212.730,17.742
187.369,-212.730,17.840
189.481,-212.730,18.371
191.592,-212.730,18.615
193.704,-212.730,18.744
195.816,-212.730,19.227
197.927,-212.730,19.583
200.039,-212.730,19.985
202.150,-212.730,20.403
204.262,-212.730,20.405
206.374,-212.730,20.937
208.485,-212.730,21.298
210.597,-212.730,21.732
212.709,-212.730,22.117
214.820,-212.730,22.496
216.932,-212.730,22.873
219.043,-212.730,23.256
221.155,-212.730,23.519
223.267,-212.730,23.676
225.378,-212.730,23.707
227.490,-212.730,23.778
229.602,-212.730,23.845
231.713,-212.730,23.819
233.825,-212.730,23.941
235.936,-212.730,23.972
238.048,-212.730,23.914
240.160,-212.730,24.036
242.271,-212.730,24.150
244.383,-212.730,24.161
246.495,-212.730,24.276
248.606,-212.730,24.429
250.718,-212.730,24.517
252.829,-212.730,24.701
254.941,-212.730,24.691
257.053,-212.730,24.791
259.164,-212.730,24.756
261.276,-212.730,24.809
263.388,-212.730,24.944
265.499,-212.730,24.916
267.611,-212.730,24.982
269.722,-212.730,25.011
271.834,-212.730,25.074
273.946,-212.730,25.120
276.057,-212.730,25.220
278.169,-212.730,25.277
280.281,-212.730,25.220
282.392,-212.730,25.363
168.364,-210.647,14.735
170.476,-210.647,15.247
172.588,-210.647,15.628
174.699,-210.647,15.653
176.811,-210.647,15.961
178.923,-210.647,16.230
181.034,-210.647,16.249
183.146,-210.647,16.561
185.257,-210.647,16.791
187.369,-210.647,17.023
189.481,-210.647,17.335
191.592,-210.647,17.641
193.704,-210.647,17.706
195.816,-210.647,18.239
197.927,-210.647,18.485
200.039,-210.647,18.635
202.150,-210.647,19.055
204.262,-210.647,19.146
206.374,-210.647,19.493
208.485,-210.647,19.800
210.597,-210.647,19.855
212.709,-210.647,20.229
214.820,-210.647,20.508
216.932,-210.647,20.924
219.043,-210.647,21.247
221.155,-210.647,21.633
223.267,-210.647,21.977
225.378,-210.647,22.233
227.490,-210.647,22.467
229.602,-210.647,22.766
231.713,-210.647,22.900
233.825,-210.647,23.208
235.936,-210.647,23.428
238.048,-210.647,23.403
240.160,-210.647,23.490
242.271,-210.647,23.540
244.383,-210.647,23.480
246.495,-210.647,23.624
248.606,-210.647,23.761
250.718,-210.647,23.966
252.829,-210.647,24.021
254.941,-210.647,24.244
257.053,-210.647,24.289
259.164,-210.647,24.618
261.276,-210.647,24.790
263.388,-210.647,24.884
265.499,-210.647,25.089
267.611,-210.647,25.282
269.722,-210.647,25.418
271.834,-210.647,25.406
273.946,-210.647,25.512
276.057,-210.647,25.569
278.169,-210.647,25.762
280.281,-210.647,25.718
282.392,-210.647,25.735
168.364,-208.564,14.422
170.476,-208.564,14.948
172.588,-208.564,15.068
174.699,-208.564,15.070
176.811,-208.564,15.658
178.923,-208.564,16.071
181.034,-208.564,16.098
183.146,-208.564,16.316
185.257,-208.564,16.755
187.369,-208.564,16.653
189.481,-208.564,16.792
191.592,-208.564,17.265
193.704,-208.564,17.489
195.816,-208.564,17.697
197.927,-208.564,17.895
200.039,-208.564,18.064
202.150,-208.564,18.386
204.262,-208.564,18.600
206.374,-208.564,18.897
208.485,-208.564,19.038
210.597,-208.564,19.262
212.709,-208.564,19.723
214.820,-208.564,19.834
216.932,-208.564,20.188
219.043,-208.564,20.525
221.155,-208.564,21.018
223.267,-208.564,21.160
225.378,-208.564,21.569
227.490,-208.564,21.752
229.602,-208.564,22.030
231.713,-208.564,22.038
233.825,-208.564,22.359
235.936,-208.564,22.787
238.048,-208.564,22.967
240.160,-208.564,23.017
242.271,-208.564,23.122
244.383,-208.564,23.232
246.495,-208.564,23.369
248.606,-208.564,23.614
250.718,-208.564,23.720
252.829,-208.564,23.983
254.941,-208.564,24.201
257.053,-208.564,24.445
259.164,-208.564,24.621
261.276,-208.564,24.781
263.388,-208.564,25.037
265.499,-208.564,25.146
267.611,-208.564,25.260
269.722,-208.564,25.460
271.834,-208.564,25.486
273.946,-208.564,25.565
276.057,-208.564,25.763
278.169,-208.564,25.741
280.281,-208.564,25.852
282.392,-208.564,25.885
168.364,-206.481,14.389
170.476,-206.481,14.550
172.588,-206.481,14.917
174.699,-206.481,14.939
176.811,-206.481,15.669
178.923,-206.481,15.700
181.034,-206.481,15.931
183.146,-206.481,16.069
185.257,-206.481,16.559
187.369,-206.481,16.501
189.481,-206.481,16.799
191.592,-206.481,16.815
193.704,-206.481,17.059
195.816,-206.481,17.127
197.927,-206.481,17.381
200.039,-206.481,17.762
202.150,-206.481,17.765
204.262,-206.481,18.051
206.374,-206.481,18.353
208.485,-206.481,18.370
210.597,-206.481,18.808
212.709,-206.481,18.905
214.820,-206.481,19.171
216.932,-206.481,19.547
219.043,-206.481,19.946
221.155,-206.481,20.297
223.267,-206.481,20.588
225.378,-206.481,20.891
227.490,-206.481,21.120
229.602,-206.481,21.406
231.713,-206.481,21.828
233.825,-206.481,22.056
235.936,-206.481,22.337
238.048,-206.481,22.674
240.160,-206.481,22.653
242.271,-206.481,22.878
244.383,-206.481,23.130
246.495,-206.481,23.200
248.606,-206.481,23.522
250.718,-206.481,23.670
252.829,-206.481,23.750
254.941,-206.481,24.020
257.053,-206.481,24.399
259.164,-206.481,24.590
261.276,-206.481,24.763
263.388,-206.481,24.987
265.499,-206.481,25.200
267.611,-206.481,25.422
269.722,-206.481,25.572
271.834,-206.481,25.571
273.946,-206.481,25.713
276.057,-206.481,25.749
278.169,-206.481,25.919
280.281,-206.481,25.948
282.392,-206.481,25.921
168.364,-204.398,14.309
170.476,-204.398,14.850
172.588,-204.398,15.016
174.699,-204.398,15.222
176.811,-204.398,15.411
178.923,-204.398,15.666
181.034,-204.398,15.610
183.146,-204.398,15.917
185.257,-204.398,16.279
187.369,-204.398,15.982
189.481,-204.398,16.263
191.592,-204.398,16.878
193.704,-204.398,16.899
195.816,-204.398,16.987
197.927,-204.398,17.097
200.039,-204.398,17.195
202.150,-204.398,17.410
204.262,-204.398,17.379
206.374,-204.398,17.781
208.485,-204.398,17.996
210.597,-204.398,18.249
212.709,-204.398,18.432
214.820,-204.398,18.628
216.932,-204.398,18.888
219.043,-204.398,19.060
221.155,-204.398,19.401
223.267,-204.398,19.921
225.378,-204.398,20.171
227.490,-204.398,20.670
229.602,-204.398,20.841
231.713,-204.398,21.171
233.825,-204.398,21.415
235.936,-204.398,21.903
238.048,-204.398,22.499
240.160,-204.398,22.332
242.271,-204.398,22.556
244.383,-204.398,22.813
246.495,-204.398,23.115
248.606,-204.398,23.323
250.718,-204.398,23.660
252.829,-204.398,23.697
254.941,-204.398,24.027
257.053,-204.398,24.347
259.164,-204.398,24.591
261.276,-204.398,24.878
263.388,-204.398,25.063
265.499,-204.398,25.303
267.611,-204.398,25.432
269.722,-204.398,25.548
271.834,-204.398,25.743
273.946,-204.398,25.895
276.057,-204.398,25.957
278.169,-204.398,26.064
280.281,-204.398,26.081
282.392,-204.398,26.101
168.364,-202.315,14.480
170.476,-202.315,14.725
172.588,-202.315,14.745
174.699,-202.315,14.854
176.811,-202.315,15.211
178.923,-202.315,15.401
181.034,-202.315,15.543
183.146,-202.315,15.955
185.257,-202.315,15.602
187.369,-202.315,16.026
189.481,-202.315,16.032
191.592,-202.315,16.302
193.704,-202.315,16.157
195.816,-202.315,16.456
197.927,-202.315,16.623
200.039,-202.315,16.581
202.150,-202.315,16.863
204.262,-202.315,16.935
206.374,-202.315,16.935
208.485,-202.315,17.043
210.597,-202.315,17.162
212.709,-202.315,17.338
