PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
168.364,-212.730,20.533
170.476,-212.730,20.791
172.588,-212.730,20.774
174.699,-212.730,21.011
176.811,-212.730,21.038
178.923,-212.730,21.112
181.034,-212.730,21.037
183.146,-212.730,21.189
185.257,-212.730,21.050
187.369,-212.730,21.375
189.481,-212.730,21.154
191.592,-212.730,21.326
193.704,-212.730,21.297
195.816,-212.730,21.333
197.927,-212.730,21.331
200.039,-212.730,21.530
202.150,-212.730,21.418
204.262,-212.730,21.396
206.374,-212.730,21.370
208.485,-212.730,21.333
210.597,-212.730,21.320
212.709,-212.730,21.420
214.820,-212.730,21.491
216.932,-212.730,21.431
219.043,-212.730,21.569
221.155,-212.730,21.619
223.267,-212.730,21.907
225.378,-212.730,22.260
227.490,-212.730,22.154
229.602,-212.730,22.493
231.713,-212.730,22.727
233.825,-212.730,22.893
235.936,-212.730,23.047
238.048,-212.730,23.158
240.160,-212.730,23.171
242.271,-212.730,23.273
244.383,-212.730,23.266
246.495,-212.730,23.330
248.606,-212.730,23.405
250.718,-212.730,23.335
252.829,-212.730,23.239
254.941,-212.730,23.107
257.053,-212.730,23.225
259.164,-212.730,23.090
261.276,-212.730,22.962
263.388,-212.730,22.729
265.499,-212.730,22.640
267.611,-212.730,22.521
269.722,-212.730,22.435
271.834,-212.730,22.173
273.946,-212.730,21.902
276.057,-212.730,21.723
278.169,-212.730,21.377
280.281,-212.730,21.056
282.392,-212.730,20.544
168.364,-210.647,19.447
170.476,-210.647,19.799
172.588,-210.647,19.886
174.699,-210.647,20.132
176.811,-210.647,20.314
178.923,-210.647,20.303
181.034,-210.647,20.456
183.146,-210.647,20.716
185.257,-210.647,20.701
187.369,-210.647,20.920
189.481,-210.647,20.773
191.592,-210.647,21.054
193.704,-210.647,21.080
195.816,-210.647,21.147
197.927,-210.647,21.309
200.039,-210.647,21.309
202.150,-210.647,21.352
204.262,-210.647,21.281
206.374,-210.647,21.204
208.485,-210.647,21.441
210.597,-210.647,21.466
212.709,-210.647,21.615
214.820,-210.647,21.637
216.932,-210.647,21.663
219.043,-210.647,21.732
221.155,-210.647,21.935
223.267,-210.647,22.168
225.378,-210.647,22.359
227.490,-210.647,22.454
229.602,-210.647,22.793
231.713,-210.647,22.852
233.825,-210.647,23.057
235.936,-210.647,23.116
238.048,-210.647,23.179
240.160,-210.647,23.405
242.271,-210.647,23.518
244.383,-210.647,23.328
246.495,-210.647,23.460
248.606,-210.647,23.326
250.718,-210.647,23.255
252.829,-210.647,23.211
254.941,-210.647,23.319
257.053,-210.647,23.115
259.164,-210.647,23.103
261.276,-210.647,22.890
263.388,-210.647,22.882
265.499,-210.647,22.779
267.611,-210.647,22.652
269.722,-210.647,22.575
271.834,-210.647,22.445
273.946,-210.647,22.076
276.057,-210.647,21.980
278.169,-210.647,21.733
280.281,-210.647,21.511
282.392,-210.647,21.400
168.364,-208.564,19.209
170.476,-208.564,19.507
172.588,-208.564,19.715
174.699,-208.564,19.885
176.811,-208.564,20.018
178.923,-208.564,20.321
181.034,-208.564,20.490
183.146,-208.564,20.569
185.257,-208.564,20.630
187.369,-208.564,20.697
