PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
212.633,-206.841,4.252
215.054,-206.841,4.503
217.475,-206.841,2.687
219.896,-206.841,1.562
222.317,-206.841,1.683
224.738,-206.841,-2.902
227.159,-206.841,-3.954
229.580,-206.841,6.035
232.001,-206.841,5.133
234.422,-206.841,5.184
236.843,-206.841,5.952
239.264,-206.841,4.060
241.685,-206.841,4.203
244.106,-206.841,2.587
246.527,-206.841,2.696
212.633,-204.768,4.046
215.054,-204.768,5.392
217.475,-204.768,6.176
219.896,-204.768,7.370
222.317,-204.768,8.147
224.738,-204.768,8.867
227.159,-204.768,9.595
229.580,-204.768,11.078
232.001,-204.768,11.468
234.422,-204.768,11.947
236.843,-204.768,10.105
239.264,-204.768,7.653
241.685,-204.768,4.743
244.106,-204.768,4.739
246.527,-204.768,4.943
212.633,-202.694,7.404
215.054,-202.694,8.299
217.475,-202.694,8.876
219.896,-202.694,9.066
222.317,-202.694,9.972
224.738,-202.694,9.864
227.159,-202.694,11.131
229.580,-202.694,11.277
232.001,-202.694,11.510
234.422,-202.694,11.804
236.843,-202.694,10.481
239.264,-202.694,9.749
241.685,-202.694,6.707
244.106,-202.694,5.828
246.527,-202.694,6.350
212.633,-200.621,6.967
215.054,-200.621,7.591
217.475,-200.621,8.302
219.896,-200.621,9.092
222.317,-200.621,8.816
224.738,-200.621,9.569
227.159,-200.621,10.756
229.580,-200.621,10.747
232.001,-200.621,10.492
234.422,-200.621,10.088
236.843,-200.621,9.857
239.264,-200.621,8.867
241.685,-200.621,8.410
244.106,-200.621,8.379
246.527,-200.621,9.044
212.633,-198.548,5.298
215.054,-198.548,5.241
217.475,-198.548,5.494
219.896,-198.548,5.961
222.317,-198.548,6.450
224.738,-198.548,7.356
227.159,-198.548,7.828
229.580,-198.548,7.758
232.001,-198.548,8.681
234.422,-198.548,9.554
236.843,-198.548,9.241
239.264,-198.548,9.365
241.685,-198.548,10.085
244.106,-198.548,10.824
246.527,-198.548,11.183
212.633,-196.474,-1.517
215.054,-196.474,0.432
217.475,-196.474,4.198
219.896,-196.474,3.981
222.317,-196.474,5.622
224.738,-196.474,6.051
227.159,-196.474,7.522
229.580,-196.474,7.925
232.001,-196.474,8.971
234.422,-196.474,9.288
236.843,-196.474,9.997
239.264,-196.474,10.161
241.685,-196.474,11.067
244.106,-196.474,11.009
246.527,-196.474,11.497
212.633,-194.401,-7.656
215.054,-194.401,-0.047
217.475,-194.401,2.266
219.896,-194.401,3.706
222.317,-194.401,4.737
224.738,-194.401,5.492
227.159,-194.401,6.703
229.580,-194.401,7.878
232.001,-194.401,8.553
234.422,-194.401,9.114
236.843,-194.401,9.927
239.264,-194.401,10.645
241.685,-194.401,10.876
244.106,-194.401,11.182
246.527,-194.401,11.891
212.633,-192.328,-4.708
215.054,-192.328,-0.917
217.475,-192.328,-0.798
219.896,-192.328,2.317
222.317,-192.328,4.598
224.738,-192.328,5.721
227.159,-192.328,6.267
229.580,-192.328,7.452
232.001,-192.328,8.666
234.422,-192.328,9.580
236.843,-192.328,10.130
239.264,-192.328,10.509
241.685,-192.328,10.911
244.106,-192.328,11.557
246.527,-192.328,12.216
212.633,-190.254,-8.199
215.054,-190.254,-6.673
217.475,-190.254,-3.343
219.896,-190.254,0.777
222.317,-190.254,3.254
224.738,-190.254,4.810
227.159,-190.254,6.801
229.580,-190.254,7.833
232.001,-190.254,8.438
234.422,-190.254,9.523
236.843,-190.254,10.132
239.264,-190.254,10.736
241.685,-190.254,10.851
244.106,-190.254,11.364
246.527,-190.254,11.926
212.633,-188.181,-5.755
215.054,-188.181,-7.469
217.475,-188.181,-2.524
