PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
212.633,-206.841,8.025
215.054,-206.841,8.603
217.475,-206.841,8.341
219.896,-206.841,8.137
222.317,-206.841,8.000
224.738,-206.841,7.748
227.159,-206.841,8.393
229.580,-206.841,8.099
232.001,-206.841,7.696
234.422,-206.841,7.625
236.843,-206.841,7.838
239.264,-206.841,7.680
241.685,-206.841,7.913
244.106,-206.841,8.313
246.527,-206.841,7.351
212.633,-204.768,8.057
215.054,-204.768,8.328
217.475,-204.768,8.128
219.896,-204.768,8.330
222.317,-204.768,8.219
224.738,-204.768,8.201
227.159,-204.768,8.610
229.580,-204.768,8.365
232.001,-204.768,8.448
234.422,-204.768,8.095
236.843,-204.768,8.086
239.264,-204.768,8.098
241.685,-204.768,8.201
244.106,-204.768,8.202
246.527,-204.768,8.366
212.633,-202.694,8.818
215.054,-202.694,8.746
217.475,-202.694,8.653
219.896,-202.694,8.537
222.317,-202.694,8.544
224.738,-202.694,9.167
227.159,-202.694,8.741
229.580,-202.694,8.910
232.001,-202.694,8.708
234.422,-202.694,8.362
236.843,-202.694,8.753
239.264,-202.694,8.591
241.685,-202.694,8.005
244.106,-202.694,8.753
246.527,-202.694,8.570
212.633,-200.621,9.786
215.054,-200.621,9.040
217.475,-200.621,9.215
219.896,-200.621,9.096
222.317,-200.621,8.843
224.738,-200.621,8.909
227.159,-200.621,9.579
229.580,-200.621,9.456
232.001,-200.621,9.111
234.422,-200.621,9.149
236.843,-200.621,9.084
239.264,-200.621,8.535
241.685,-200.621,8.671
244.106,-200.621,8.503
246.527,-200.621,8.662
212.633,-198.548,9.378
215.054,-198.548,9.491
217.475,-198.548,9.103
219.896,-198.548,9.355
222.317,-198.548,9.903
224.738,-198.548,9.568
227.159,-198.548,9.808
229.580,-198.548,8.822
232.001,-198.548,9.218
234.422,-198.548,9.121
236.843,-198.548,8.902
239.264,-198.548,9.103
241.685,-198.548,8.975
244.106,-198.548,8.516
246.527,-198.548,8.691
212.633,-196.474,9.378
215.054,-196.474,9.781
217.475,-196.474,9.553
219.896,-196.474,9.354
222.317,-196.474,9.801
224.738,-196.474,9.284
227.159,-196.474,9.641
229.580,-196.474,9.853
232.001,-196.474,9.760
234.422,-196.474,9.419
236.843,-196.474,9.398
239.264,-196.474,9.108
241.685,-196.474,9.033
244.106,-196.474,8.670
246.527,-196.474,9.165
212.633,-194.401,9.729
215.054,-194.401,9.496
217.475,-194.401,10.001
219.896,-194.401,9.838
222.317,-194.401,10.295
224.738,-194.401,9.759
227.159,-194.401,8.999
229.580,-194.401,9.448
232.001,-194.401,9.809
234.422,-194.401,8.931
236.843,-194.401,9.339
239.264,-194.401,9.256
241.685,-194.401,8.839
244.106,-194.401,8.701
246.527,-194.401,8.967
212.633,-192.328,10.029
215.054,-192.328,9.843
217.475,-192.328,9.947
219.896,-192.328,9.532
