PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
175.691,-211.473,18.074
177.767,-211.473,17.885
179.843,-211.473,18.095
181.919,-211.473,18.237
183.995,-211.473,18.138
186.071,-211.473,18.310
188.147,-211.473,18.441
190.223,-211.473,18.539
192.299,-211.473,18.808
194.376,-211.473,18.698
196.452,-211.473,18.862
198.528,-211.473,19.175
200.604,-211.473,19.165
202.680,-211.473,19.149
204.756,-211.473,19.319
206.832,-211.473,19.458
208.908,-211.473,19.587
210.984,-211.473,19.681
213.060,-211.473,19.664
215.136,-211.473,19.730
217.213,-211.473,19.671
219.289,-211.473,19.851
221.365,-211.473,19.868
223.441,-211.473,19.823
225.517,-211.473,19.783
227.593,-211.473,19.695
229.669,-211.473,19.773
231.745,-211.473,19.781
233.821,-211.473,19.773
235.897,-211.473,19.769
237.973,-211.473,19.485
240.050,-211.473,19.478
242.126,-211.473,19.462
244.202,-211.473,19.444
246.278,-211.473,19.498
248.354,-211.473,19.253
250.430,-211.473,19.331
252.506,-211.473,19.086
254.582,-211.473,19.159
256.658,-211.473,18.998
258.734,-211.473,18.986
260.810,-211.473,18.701
262.886,-211.473,18.524
264.963,-211.473,18.577
267.039,-211.473,18.342
269.115,-211.473,18.310
271.191,-211.473,18.224
273.267,-211.473,18.126
275.343,-211.473,18.022
277.419,-211.473,17.903
279.495,-211.473,17.935
281.571,-211.473,18.074
283.647,-211.473,17.872
285.723,-211.473,17.881
287.800,-211.473,17.919
175.691,-209.396,17.634
177.767,-209.396,17.859
179.843,-209.396,18.433
181.919,-209.396,18.431
183.995,-209.396,18.490
186.071,-209.396,18.648
188.147,-209.396,18.910
190.223,-209.396,19.141
192.299,-209.396,19.214
194.376,-209.396,19.516
196.452,-209.396,19.632
198.528,-209.396,19.885
200.604,-209.396,19.823
202.680,-209.396,20.056
204.756,-209.396,20.140
206.832,-209.396,20.291
208.908,-209.396,20.318
210.984,-209.396,20.419
213.060,-209.396,20.572
215.136,-209.396,20.575
217.213,-209.396,20.603
219.289,-209.396,20.817
221.365,-209.396,20.726
223.441,-209.396,20.736
225.517,-209.396,20.827
227.593,-209.396,20.874
229.669,-209.396,20.732
231.745,-209.396,20.730
233.821,-209.396,20.515
235.897,-209.396,20.620
237.973,-209.396,20.427
240.050,-209.396,20.234
242.126,-209.396,20.253
244.202,-209.396,20.090
246.278,-209.396,19.967
248.354,-209.396,19.653
250.430,-209.396,19.944
252.506,-209.396,19.570
254.582,-209.396,19.656
256.658,-209.396,19.320
258.734,-209.396,19.266
260.810,-209.396,18.940
262.886,-209.396,18.873
264.963,-209.396,18.716
267.039,-209.396,18.794
269.115,-209.396,18.763
271.191,-209.396,18.464
273.267,-209.396,18.580
275.343,-209.396,18.334
277.419,-209.396,18.446
279.495,-209.396,18.531
281.571,-209.396,18.305
283.647,-209.396,18.344
285.723,-209.396,18.101
287.800,-209.396,18.045
175.691,-207.319,18.006
177.767,-207.319,18.337
179.843,-207.319,18.438
181.919,-207.319,18.774
183.995,-207.319,18.886
186.071,-207.319,19.169
188.147,-207.319,19.034
190.223,-207.319,19.451
192.299,-207.319,19.371
194.376,-207.319,19.751
196.452,-207.319,19.920
198.528,-207.319,20.106
200.604,-207.319,20.197
202.680,-207.319,20.391
204.756,-207.319,20.318
206.832,-207.319,20.559
208.908,-207.319,20.517
210.984,-207.319,20.581
213.060,-207.319,20.630
215.136,-207.319,20.876
217.213,-207.319,20.808
219.289,-207.319,20.844
221.365,-207.319,20.926
223.441,-207.319,20.823
225.517,-207.319,20.929
227.593,-207.319,21.062
229.669,-207.319,20.944
231.745,-207.319,21.001
233.821,-207.319,21.012
235.897,-207.319,20.631
237.973,-207.319,20.540
240.050,-207.319,20.316
242.126,-207.319,20.457
244.202,-207.319,20.396
246.278,-207.319,20.151
248.354,-207.319,20.105
250.430,-207.319,20.034
252.506,-207.319,19.728
254.582,-207.319,19.836
256.658,-207.319,19.703
258.734,-207.319,19.475
260.810,-207.319,19.322
262.886,-207.319,19.100
264.963,-207.319,19.180
267.039,-207.319,18.978
269.115,-207.319,18.766
271.191,-207.319,18.822
273.267,-207.319,18.485
