PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
175.705,-212.721,15.299
177.768,-212.721,15.522
179.831,-212.721,15.231
181.895,-212.721,15.090
183.958,-212.721,14.972
186.022,-212.721,14.910
188.085,-212.721,14.892
190.149,-212.721,14.708
192.212,-212.721,14.880
194.275,-212.721,14.761
196.339,-212.721,14.742
198.402,-212.721,14.405
200.466,-212.721,14.110
202.529,-212.721,13.987
204.593,-212.721,13.590
206.656,-212.721,13.918
208.720,-212.721,13.930
210.783,-212.721,14.139
212.846,-212.721,14.091
214.910,-212.721,14.233
216.973,-212.721,14.256
219.037,-212.721,14.132
221.100,-212.721,13.970
223.164,-212.721,13.742
225.227,-212.721,13.405
227.290,-212.721,13.064
229.354,-212.721,12.821
231.417,-212.721,12.956
233.481,-212.721,10.782
235.544,-212.721,8.226
237.608,-212.721,8.350
239.671,-212.721,9.137
241.734,-212.721,8.850
243.798,-212.721,8.601
245.861,-212.721,8.520
247.925,-212.721,8.956
249.988,-212.721,10.296
252.052,-212.721,10.205
254.115,-212.721,11.406
256.179,-212.721,12.197
258.242,-212.721,13.223
260.305,-212.721,14.058
262.369,-212.721,15.488
264.432,-212.721,16.782
266.496,-212.721,16.666
268.559,-212.721,16.909
270.623,-212.721,17.048
272.686,-212.721,16.888
274.749,-212.721,16.679
276.813,-212.721,16.252
278.876,-212.721,16.500
280.940,-212.721,16.229
283.003,-212.721,16.251
285.067,-212.721,16.195
287.130,-212.721,16.313
175.705,-210.642,15.382
177.768,-210.642,15.516
179.831,-210.642,15.494
181.895,-210.642,15.712
183.958,-210.642,15.569
186.022,-210.642,15.494
188.085,-210.642,15.558
190.149,-210.642,15.429
192.212,-210.642,15.562
194.275,-210.642,15.176
196.339,-210.642,15.233
198.402,-210.642,15.396
200.466,-210.642,14.894
202.529,-210.642,15.364
204.593,-210.642,14.953
206.656,-210.642,15.216
208.720,-210.642,15.324
210.783,-210.642,15.000
212.846,-210.642,15.079
214.910,-210.642,14.643
216.973,-210.642,14.870
219.037,-210.642,15.141
221.100,-210.642,14.613
223.164,-210.642,14.612
225.227,-210.642,14.830
227.290,-210.642,14.397
229.354,-210.642,14.389
231.417,-210.642,14.153
233.481,-210.642,13.939
235.544,-210.642,13.964
237.608,-210.642,13.810
239.671,-210.642,13.974
241.734,-210.642,13.806
243.798,-210.642,13.344
245.861,-210.642,12.808
247.925,-210.642,12.481
249.988,-210.642,13.236
252.052,-210.642,13.545
254.115,-210.642,13.572
256.179,-210.642,12.478
258.242,-210.642,12.481
260.305,-210.642,12.130
262.369,-210.642,13.323
264.432,-210.642,14.104
266.496,-210.642,14.120
268.559,-210.642,13.355
270.623,-210.642,12.841
272.686,-210.642,11.935
274.749,-210.642,11.170
276.813,-210.642,9.717
278.876,-210.642,8.271
280.940,-210.642,7.287
283.003,-210.642,4.070
285.067,-210.642,2.613
287.130,-210.642,0.874
175.705,-208.563,15.917
177.768,-208.563,15.426
179.831,-208.563,15.441
181.895,-208.563,15.567
183.958,-208.563,15.453
186.022,-208.563,15.305
188.085,-208.563,15.477
190.149,-208.563,15.168
192.212,-208.563,15.126
194.275,-208.563,15.148
196.339,-208.563,15.158
198.402,-208.563,15.060
200.466,-208.563,14.850
202.529,-208.563,14.753
204.593,-208.563,14.839
206.656,-208.563,14.783
208.720,-208.563,14.549
210.783,-208.563,14.560
212.846,-208.563,14.387
214.910,-208.563,14.181
216.973,-208.563,14.242
219.037,-208.563,14.012
221.100,-208.563,14.257
223.164,-208.563,14.011
225.227,-208.563,14.276
227.290,-208.563,14.327
229.354,-208.563,13.866
231.417,-208.563,13.987
233.481,-208.563,13.899
235.544,-208.563,13.814
237.608,-208.563,14.084
239.671,-208.563,13.798
241.734,-208.563,13.686
243.798,-208.563,14.068
245.861,-208.563,14.257
247.925,-208.563,14.158
249.988,-208.563,14.627
252.052,-208.563,15.107
254.115,-208.563,15.030
256.179,-208.563,15.093
258.242,-208.563,14.722
260.305,-208.563,14.389
262.369,-208.563,14.731
264.432,-208.563,14.538
266.496,-208.563,13.977
268.559,-208.563,13.321
270.623,-208.563,12.682
272.686,-208.563,11.835
274.749,-208.563,11.142
276.813,-208.563,9.805
278.876,-208.563,8.638
280.940,-208.563,7.941
283.003,-208.563,7.993
285.067,-208.563,7.797
287.130,-208.563,8.921
175.705,-206.484,15.576
177.768,-206.484,15.378
179.831,-206.484,15.301
181.895,-206.484,15.454
183.958,-206.484,15.035
186.022,-206.484,15.386
188.085,-206.484,15.050
190.149,-206.484,15.109
192.212,-206.484,14.929
194.275,-206.484,15.072
196.339,-206.484,15.013
198.402,-206.484,14.995
200.466,-206.484,14.739
202.529,-206.484,14.260
204.593,-206.484,14.543
206.656,-206.484,14.073
208.720,-206.484,13.749
210.783,-206.484,13.857
212.846,-206.484,13.859
214.910,-206.484,13.695
216.973,-206.484,13.848
219.037,-206.484,13.671
221.100,-206.484,13.725
223.164,-206.484,13.836
225.227,-206.484,13.774
227.290,-206.484,13.684
229.354,-206.484,13.751
231.417,-206.484,13.561
233.481,-206.484,13.646
235.544,-206.484,13.836
237.608,-206.484,14.089
239.671,-206.484,13.768
241.734,-206.484,14.089
243.798,-206.484,14.294
245.861,-206.484,14.334
247.925,-206.484,14.753
249.988,-206.484,14.680
252.052,-206.484,15.166
254.115,-206.484,15.436
256.179,-206.484,16.117
258.242,-206.484,16.114
260.305,-206.484,15.816
262.369,-206.484,15.632
264.432,-206.484,15.486
266.496,-206.484,14.783
268.559,-206.484,14.045
270.623,-206.484,13.304
272.686,-206.484,13.181
274.749,-206.484,13.223
276.813,-206.484,12.690
278.876,-206.484,13.016
280.940,-206.484,12.962
283.003,-206.484,13.530
285.067,-206.484,14.795
287.130,-206.484,15.370
175.705,-204.405,15.529
177.768,-204.405,15.514
179.831,-204.405,15.494
181.895,-204.405,15.738
183.958,-204.405,15.286
186.022,-204.405,15.234
188.085,-204.405,15.308
190.149,-204.405,15.356
192.212,-204.405,14.938
194.275,-204.405,15.088
196.339,-204.405,14.831
198.402,-204.405,14.735
200.466,-204.405,14.735
202.529,-204.405,14.477
204.593,-204.405,14.152
206.656,-204.405,13.903
208.720,-204.405,14.163
210.783,-204.405,13.426
212.846,-204.405,13.403
214.910,-204.405,13.119
216.973,-204.405,13.069
219.037,-204.405,12.978
221.100,-204.405,13.008
223.164,-204.405,13.020
225.227,-204.405,13.656
227.290,-204.405,13.244
229.354,-204.405,13.944
231.417,-204.405,13.643
233.481,-204.405,13.725
235.544,-204.405,13.642
237.608,-204.405,13.851
239.671,-204.405,14.049
241.734,-204.405,14.342
243.798,-204.405,14.250
245.861,-204.405,14.497
247.925,-204.405,14.633
249.988,-204.405,14.855
252.052,-204.405,15.055
254.115,-204.405,15.467
256.179,-204.405,15.749
258.242,-204.405,16.155
260.305,-204.405,16.024
262.369,-204.405,15.975
264.432,-204.405,15.655
266.496,-204.405,15.072
268.559,-204.405,14.978
270.623,-204.405,14.322
272.686,-204.405,14.566
274.749,-204.405,14.684
276.813,-204.405,14.897
278.876,-204.405,15.150
280.940,-204.405,15.557
283.003,-204.405,16.106
285.067,-204.405,16.838
287.130,-204.405,17.839
175.705,-202.326,15.876
177.768,-202.326,15.735
179.831,-202.326,15.647
181.895,-202.326,15.685
183.958,-202.326,16.135
186.022,-202.326,15.808
188.085,-202.326,15.584
190.149,-202.326,15.577
192.212,-202.326,15.771
194.275,-202.326,15.452
196.339,-202.326,15.487
198.402,-202.326,15.174
200.466,-202.326,15.096
202.529,-202.326,14.744
204.593,-202.326,14.446
206.656,-202.326,14.583
208.720,-202.326,14.098
210.783,-202.326,13.764
212.846,-202.326,13.766
214.910,-202.326,13.361
216.973,-202.326,13.456
219.037,-202.326,13.238
221.100,-202.326,13.206
223.164,-202.326,12.916
225.227,-202.326,13.225
227.290,-202.326,13.156
229.354,-202.326,12.323
231.417,-202.326,12.487
233.481,-202.326,14.103
235.544,-202.326,13.979
237.608,-202.326,13.510
239.671,-202.326,13.549
241.734,-202.326,13.909
243.798,-202.326,14.392
245.861,-202.326,14.335
247.925,-202.326,14.645
249.988,-202.326,14.599
252.052,-202.326,15.021
254.115,-202.326,14.937
256.179,-202.326,15.638
258.242,-202.326,15.608
260.305,-202.326,16.382
262.369,-202.326,16.083
264.432,-202.326,16.307
266.496,-202.326,15.777
268.559,-202.326,15.402
270.623,-202.326,15.380
272.686,-202.326,15.519
274.749,-202.326,15.691
276.813,-202.326,16.125
278.876,-202.326,16.529
280.940,-202.326,17.379
283.003,-202.326,17.548
285.067,-202.326,18.242
287.130,-202.326,19.125
175.705,-200.247,15.917
177.768,-200.247,15.987
179.831,-200.247,15.953
181.895,-200.247,16.029
183.958,-200.247,15.877
186.022,-200.247,16.153
188.085,-200.247,16.016
190.149,-200.247,15.511
