PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBuV/m)
175.691,-211.473,7.778
177.767,-211.473,8.448
179.843,-211.473,8.859
181.919,-211.473,8.659
183.995,-211.473,8.414
186.071,-211.473,8.450
188.147,-211.473,8.516
190.223,-211.473,8.518
192.299,-211.473,8.574
194.375,-211.473,8.909
196.452,-211.473,9.388
198.528,-211.473,9.745
200.604,-211.473,9.926
202.680,-211.473,9.717
204.756,-211.473,9.644
206.832,-211.473,9.990
208.908,-211.473,10.450
210.984,-211.473,10.465
213.060,-211.473,10.421
215.136,-211.473,10.303
217.212,-211.473,10.381
219.289,-211.473,10.413
221.365,-211.473,10.425
223.441,-211.473,10.125
225.517,-211.473,9.809
227.593,-211.473,9.275
229.669,-211.473,8.954
231.745,-211.473,8.812
233.821,-211.473,8.799
235.897,-211.473,8.542
237.973,-211.473,8.111
240.049,-211.473,7.150
242.126,-211.473,6.571
244.202,-211.473,6.938
246.278,-211.473,7.111
248.354,-211.473,5.391
250.430,-211.473,3.794
252.506,-211.473,3.085
254.582,-211.473,2.307
256.658,-211.473,-0.621
258.734,-211.473,-3.101
260.810,-211.473,-2.895
262.886,-211.473,-1.590
264.963,-211.473,-0.315
267.039,-211.473,1.170
269.115,-211.473,3.850
271.191,-211.473,6.375
273.267,-211.473,7.477
275.343,-211.473,8.111
277.419,-211.473,9.185
279.495,-211.473,10.411
281.571,-211.473,11.578
283.647,-211.473,12.423
285.723,-211.473,13.106
287.800,-211.473,13.726
175.691,-209.396,8.921
177.767,-209.396,9.052
179.843,-209.396,9.033
181.919,-209.396,8.968
183.995,-209.396,8.953
186.071,-209.396,9.003
188.147,-209.396,8.986
190.223,-209.396,8.830
192.299,-209.396,8.731
194.375,-209.396,8.886
196.452,-209.396,9.194
198.528,-209.396,9.447
200.604,-209.396,9.458
202.680,-209.396,9.205
204.756,-209.396,9.043
206.832,-209.396,9.241
208.908,-209.396,9.454
210.984,-209.396,9.334
213.060,-209.396,9.075
215.136,-209.396,9.010
217.212,-209.396,9.116
219.289,-209.396,9.247
221.365,-209.396,9.142
223.441,-209.396,8.661
225.517,-209.396,8.071
227.593,-209.396,7.710
229.669,-209.396,7.567
231.745,-209.396,7.504
233.821,-209.396,7.324
235.897,-209.396,6.900
237.973,-209.396,6.289
240.049,-209.396,5.722
242.126,-209.396,5.286
244.202,-209.396,4.820
246.278,-209.396,3.969
248.354,-209.396,2.578
250.430,-209.396,1.206
252.506,-209.396,0.266
254.582,-209.396,-0.811
256.658,-209.396,-2.381
258.734,-209.396,-3.524
260.810,-209.396,-3.055
262.886,-209.396,-1.471
264.963,-209.396,0.539
267.039,-209.396,2.663
269.115,-209.396,4.803
271.191,-209.396,6.710
273.267,-209.396,8.124
275.343,-209.396,9.217
277.419,-209.396,10.199
279.495,-209.396,11.172
281.571,-209.396,12.058
283.647,-209.396,12.741
285.723,-209.396,13.292
287.800,-209.396,13.828
175.691,-207.319,9.870
177.767,-207.319,9.603
179.843,-207.319,9.272
181.919,-207.319,9.359
183.995,-207.319,9.535
186.071,-207.319,9.595
188.147,-207.319,9.536
190.223,-207.319,9.241
192.299,-207.319,9.010
194.375,-207.319,9.092
196.452,-207.319,9.261
198.528,-207.319,9.419
200.604,-207.319,9.342
202.680,-207.319,9.116
204.756,-207.319,8.870
206.832,-207.319,9.025
208.908,-207.319,9.054
210.984,-207.319,8.853
213.060,-207.319,8.408
215.136,-207.319,8.448
217.212,-207.319,8.467
219.289,-207.319,8.646
221.365,-207.319,8.467
223.441,-207.319,7.831
225.517,-207.319,6.961
227.593,-207.319,6.788
229.669,-207.319,6.757
231.745,-207.319,6.873
233.821,-207.319,6.638
235.897,-207.319,6.045
237.973,-207.319,5.088
240.049,-207.319,4.722
242.126,-207.319,4.341
244.202,-207.319,3.206
246.278,-207.319,1.700
248.354,-207.319,0.754
250.430,-207.319,-0.277
252.506,-207.319,-0.982
254.582,-207.319,-1.921
256.658,-207.319,-1.947
258.734,-207.319,-2.149
260.810,-207.319,-1.445
262.886,-207.319,-0.202
264.963,-207.319,2.103
267.039,-207.319,4.433
269.115,-207.319,5.754
271.191,-207.319,6.934
273.267,-207.319,8.443
275.343,-207.319,9.968
277.419,-207.319,10.855
279.495,-207.319,11.645
281.571,-207.319,12.357
283.647,-207.319,12.931
285.723,-207.319,13.411
287.800,-207.319,13.948
175.691,-205.242,10.247
177.767,-205.242,10.166
179.843,-205.242,10.020
181.919,-205.242,9.994
183.995,-205.242,10.048
186.071,-205.242,10.066
188.147,-205.242,9.952
190.223,-205.242,9.697
192.299,-205.242,9.517
194.375,-205.242,9.596
196.452,-205.242,9.758
198.528,-205.242,9.790
200.604,-205.242,9.693
202.680,-205.242,9.585
204.756,-205.242,9.511
206.832,-205.242,9.488
208.908,-205.242,9.447
210.984,-205.242,9.344
213.060,-205.242,9.155
215.136,-205.242,8.964
217.212,-205.242,8.819
219.289,-205.242,8.737
221.365,-205.242,8.505
223.441,-205.242,7.983
225.517,-205.242,7.320
227.593,-205.242,6.845
